Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,14:30:00,41.08,41.19,40.34,40.48,1579130.0,1.0,0.0,0.0
2016-01-05,13:00:00,40.48,40.95,40.37,40.46,2383079.0,1.0,0.0,0.0
2016-01-06,11:31:00,40.455,40.77,40.05,40.715,1766307.0,1.0,0.0,0.0
2016-01-07,10:02:00,40.715,40.99,39.51,39.5299,1757216.0,1.0,0.0,0.0
2016-01-07,15:02:00,39.52,39.96,38.81,38.865,1786620.0,1.0,0.0,0.0
2016-01-08,13:32:00,38.86,39.705,38.65,38.7075,2595206.0,1.0,0.0,0.0
2016-01-11,12:03:00,38.705,38.97,37.76,37.94,2459793.0,1.0,0.0,0.0
2016-01-12,10:33:00,37.94,38.58,37.41,38.27,2017060.0,1.0,0.0,0.0
2016-01-12,15:33:00,38.27,38.35,37.6462,38.13,1071861.0,1.0,0.0,0.0
2016-01-13,14:03:00,38.12,38.46,37.08,37.1801,2208296.0,1.0,0.0,0.0
2016-01-14,12:33:00,37.18,37.65,36.55,37.585,2915100.0,1.0,0.0,0.0
2016-01-15,11:03:00,37.59,37.8799,36.55,37.13,2664940.0,1.0,0.0,0.0
2016-01-19,09:33:00,37.13,37.76,36.85,37.55,1895484.0,1.0,0.0,0.0
2016-01-19,14:33:00,37.59,37.93,36.81,37.02,1434109.0,1.0,0.0,0.0
2016-01-20,13:03:00,37.02,37.39,36.12,36.61,2036500.0,1.0,0.0,0.0
2016-01-21,11:33:00,36.62,37.61,36.52,37.41,1638747.0,1.0,0.0,0.0
2016-01-22,10:03:00,37.42,37.98,37.02,37.88,1539878.0,1.0,0.0,0.0
2016-01-22,15:03:00,37.88,38.18,37.82,37.93,1100419.0,1.0,0.0,0.0
2016-01-25,13:35:00,37.93,38.03,37.4,37.98,1087842.0,1.0,0.0,0.0
2016-01-26,12:06:00,37.98,37.98,37.36,37.5525,1448082.0,1.0,0.0,0.0
2016-01-27,10:39:00,37.56,37.76,37.29,37.46,1314898.0,1.0,0.0,0.0
2016-01-27,15:39:00,37.46,37.92,36.81,36.97,861119.0,1.0,0.0,0.0
2016-01-28,14:09:00,36.97,37.27,36.12,36.58,2226447.0,1.0,0.0,0.0
2016-01-29,12:39:00,36.59,37.13,36.01,37.12,2127320.0,1.0,0.0,0.0
2016-02-01,11:09:00,37.12,37.78,37.075,37.19,2174837.0,1.0,0.0,0.0
2016-02-02,09:40:00,37.19,37.945,37.0,37.26,1788895.0,1.0,0.0,0.0
2016-02-02,14:40:00,37.25,37.55,36.95,37.15,1085338.0,1.0,0.0,0.0
2016-02-03,13:10:00,37.14,37.37,36.29,36.69,1358586.0,1.0,0.0,0.0
2016-02-04,11:40:00,36.68,37.79,36.32,37.485,2043260.0,1.0,0.0,0.0
2016-02-05,10:10:00,37.49,37.56,36.63,36.75,2470552.0,1.0,0.0,0.0
2016-02-05,15:10:00,36.75,36.89,35.83,36.01,2789242.0,1.0,0.0,0.0
2016-02-08,13:40:00,36.02,36.13,34.62,34.745,2179192.0,1.0,0.0,0.0
2016-02-09,12:10:00,34.745,35.53,34.15,35.37,3266011.0,1.0,0.0,0.0
2016-02-10,10:40:00,35.37,36.73,34.99,36.315,2526373.0,1.0,0.0,0.0
2016-02-10,15:40:00,36.32,36.555,35.96,36.0,1958340.0,1.0,0.0,0.0
2016-02-11,14:11:00,35.99,36.01,34.99,35.165,1972276.0,1.0,0.0,0.0
2016-02-12,12:41:00,35.1725,36.06,34.935,35.83,2772287.0,1.0,0.0,0.0
2016-02-16,11:11:00,35.83,37.07,35.72,36.6,2742569.0,1.0,0.0,0.0
2016-02-17,09:42:00,36.6,37.17,34.75,36.31,2139174.0,1.0,0.0,0.0
2016-02-17,14:42:00,36.31,38.13,36.31,37.71,3404673.0,1.0,0.0,0.0
2016-02-18,13:12:00,37.71,37.96,37.3,37.7,2332088.0,1.0,0.0,0.0
2016-02-19,11:42:00,37.7,37.71,36.85,37.52,1627105.0,1.0,0.0,0.0
2016-02-22,10:12:00,37.53,38.19,37.27,37.95,1395437.0,1.0,0.0,0.0
2016-02-22,15:13:00,37.94,38.13,37.78,37.87,845764.0,1.0,0.0,0.0
2016-02-23,13:43:00,37.88,38.06,36.95,37.1001,1133860.0,1.0,0.0,0.0
2016-02-24,12:15:00,37.109,37.29,36.47,36.85,984700.0,1.0,0.0,0.0
2016-02-25,10:45:00,36.86,37.71,36.74,37.19,1036400.0,1.0,0.0,0.0
2016-02-25,15:45:00,37.19,37.58,36.97,37.5721,919391.0,1.0,0.0,0.0
2016-02-26,14:18:00,37.57,37.92,37.5,37.57,602485.0,1.0,0.0,0.0
2016-02-29,12:51:00,37.5699,37.7,37.33,37.615,1119625.0,1.0,0.0,0.0
2016-03-01,11:21:00,37.62,38.27,37.33,38.14,1859029.0,1.0,0.0,0.0
2016-03-02,09:51:00,38.14,39.11,38.13,38.92,2057966.0,1.0,0.0,0.0
2016-03-02,14:52:00,38.92,39.27,38.63,38.92,2606878.0,1.0,0.0,0.0
2016-03-03,13:23:00,38.92,39.05,38.74,38.95,829299.0,1.0,0.0,0.0
2016-03-04,11:56:00,38.97,39.55,38.91,39.33,840591.0,1.0,0.0,0.0
2016-03-07,10:28:00,39.33,39.58,38.96,39.3984,697203.0,1.0,0.0,0.0
2016-03-07,15:32:00,39.39,39.68,39.3,39.42,753615.0,1.0,0.0,0.0
2016-03-08,14:03:00,39.43,39.46,38.12,38.245,1158654.0,1.0,0.0,0.0
2016-03-09,12:34:00,38.245,38.4,37.95,38.21,1194342.0,1.0,0.0,0.0
2016-03-10,11:06:00,38.21,38.51,37.93,37.97,1372420.0,1.0,0.0,0.0
2016-03-11,09:38:00,37.98,38.54,37.62,38.41,1135849.0,1.0,0.0,0.0
2016-03-11,14:46:00,38.42,39.17,38.38,39.07,811548.0,1.0,0.0,0.0
2016-03-14,13:17:00,39.06,39.275,38.7,39.01,861428.0,1.0,0.0,0.0
2016-03-15,11:49:00,39.0,39.17,38.235,38.25,676692.0,1.0,0.0,0.0
2016-03-16,10:29:00,38.25,38.52,38.02,38.335,849827.0,1.0,0.0,0.0
2016-03-16,15:35:00,38.34,39.105,38.28,39.06,1282457.0,1.0,0.0,0.0
2016-03-17,14:07:00,39.06,39.36,38.59,39.345,1380984.0,1.0,0.0,0.0
2016-03-18,12:38:00,39.35,40.43,39.245,40.39,1762424.0,1.0,0.0,0.0
2016-03-21,11:08:00,40.39,40.48,39.76,39.91,1299684.0,1.0,0.0,0.0
