Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,57.4566,57.7139,55.5962,56.8134,22203752.4216,1,0,0.0
2016-01-11,55.9326,57.2389,52.281000000000006,53.3102,25237423.900000006,1,0,0.0
2016-01-14,53.9039,56.8295,50.71,54.57,30878992.290000007,1,0,0.0
2016-01-20,53.01,57.93,53.01,57.17,47719344.00000001,1,0,0.0
2016-01-25,57.29,59.81,56.92,58.67,29439909.000000007,1,0,0.0
2016-01-28,59.01,59.27,54.77,55.73,24702756.000000007,1,0,0.0
2016-02-02,53.43,55.31,52.51,53.95,32239454.000000007,1,0,0.0
2016-02-05,54.49,57.31,52.62,53.12,36984082.00000001,1,0,0.0
2016-02-10,52.1,54.69,51.941,52.72,23865949.000000007,1,0,0.0
2016-02-16,52.3,53.87,51.6,53.51,22839842.000000007,1,0,0.0
2016-02-19,54.34,55.53,53.35,54.27,20725316.000000007,1,0,0.0
2016-02-24,54.75,56.31,53.74,54.86,20739962.000000007,1,0,0.0
2016-02-29,55.17,56.79,54.42,54.6,16331804.000000007,1,0,0.0
2016-03-03,54.78,56.43,54.24,55.93,20976440.000000007,1,0,0.0
2016-03-08,56.0,56.7,54.83,55.32,17250536.000000007,1,0,0.0
2016-03-11,55.51,57.87,55.04,57.71,17651744.000000007,1,0,0.0
2016-03-16,57.67,57.73,55.128,56.31,15109918.000000007,1,0,0.0
2016-03-21,56.46,56.775,54.4,56.01,18927936.000000007,1,0,0.0
2016-03-24,55.75,57.54,55.67,56.14,15411843.000000007,1,0,0.0
