Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,32.1967,32.7525,31.8691,32.1669,1977120.039,1,0,0.0
2016-01-05,32.2761,32.5837,31.7203,32.1272,1651354.4606000006,1,0,0.0
2016-01-06,31.5515,31.76,30.8568,31.095,1471925.4724999992,1,0,0.0
2016-01-07,30.7178,31.4126,30.4796,30.6583,1626606.9688999993,1,0,0.0
2016-01-08,30.7476,31.0057,29.9437,29.9933,1686477.0337999994,1,0,0.0
2016-01-11,30.1224,30.3109,29.4574,29.6658,1995383.8631000007,1,0,0.0
2016-01-12,29.9735,30.0529,28.7229,29.2093,2689103.1939999973,1,0,0.0
2016-01-13,29.4375,29.8941,29.1795,29.4375,3395356.528,1,0,0.0
2016-01-14,29.5368,30.2812,29.0604,30.1422,2239821.3811999992,1,0,0.0
2016-01-15,29.4772,29.7154,28.316,28.6336,2614944.2429999975,1,0,0.0
2016-01-19,28.9115,29.3383,28.1969,28.6634,2431968.9929999975,1,0,0.0
2016-01-20,28.1274,28.7229,26.9265,28.5244,2707379.7410000004,1,0,0.0
2016-01-21,28.4847,29.3085,28.2168,28.3855,2289321.744899999,1,0,0.0
2016-01-22,28.9314,29.239,28.6535,29.11,2257803.4009999987,1,0,0.0
2016-01-25,29.11,29.31,28.78,28.84,2267776.9999999986,1,0,0.22
2016-01-26,28.85,29.33,28.73,29.16,1659953.9999999986,1,0,0.0
2016-01-27,29.11,29.45,28.64,28.84,1476070.9999999986,1,0,0.0
2016-01-28,29.2,29.55,28.475,28.58,1352654.9999999986,1,0,0.0
2016-01-29,28.79,29.6,28.79,29.57,1317684.9999999986,1,0,0.0
2016-02-01,29.34,29.93,28.96,29.59,2247360.9999999986,1,0,0.0
2016-02-02,27.58,27.65,24.22,24.93,11057947.999999998,1,0,0.0
2016-02-03,25.72,27.61,25.63,26.88,6964305.0,1,0,0.0
2016-02-04,26.67,27.42,26.51,26.97,2481434.0,1,0,0.0
2016-02-05,26.82,28.43,26.82,27.97,4590583.0,1,0,0.0
2016-02-08,27.5,27.88,26.26,27.0,2640240.0,1,0,0.0
2016-02-09,26.69,28.02,26.64,27.39,3273849.0,1,0,0.0
2016-02-10,27.52,28.165,27.29,27.34,1757956.0,1,0,0.0
2016-02-11,26.87,27.15,25.99,26.36,1710614.0,1,0,0.0
2016-02-12,26.71,27.1,26.4,26.87,1325710.0,1,0,0.0
2016-02-16,40.62,41.3,39.45,39.6601,61600061.0,1,0,0.0
2016-02-17,39.75,40.07,39.6,39.605,17673540.0,1,0,0.0
2016-02-18,39.75,39.9,39.68,39.79,8879540.0,1,0,0.0
2016-02-19,39.83,40.0,39.72,40.0,7560524.0,1,0,0.0
2016-02-22,40.12,40.2401,39.98,40.03,6215655.0,1,0,0.0
2016-02-23,40.02,40.16,39.93,39.96,4715690.0,1,0,0.0
2016-02-24,39.9,40.12,39.86,40.1,2823638.0,1,0,0.0
2016-02-25,40.13,40.47,40.05,40.29,3742871.0,1,0,0.0
2016-02-26,40.3,40.6,40.3,40.41,3092404.0,1,0,0.0
2016-02-29,40.4,40.52,40.35,40.36,2174956.0,1,0,0.0
2016-03-01,40.44,40.74,40.43,40.735,2048955.0,1,0,0.0
2016-03-02,40.62,40.8,40.51,40.52,2209448.0,1,0,0.0
2016-03-03,40.51,40.75,40.33,40.61,2686685.0,1,0,0.0
2016-03-04,40.57,40.905,40.51,40.845,1806440.0,1,0,0.0
2016-03-07,40.79,41.15,40.78,40.965,2504707.0,1,0,0.0
2016-03-08,40.87,40.95,40.6,40.68,3463627.0,1,0,0.0
2016-03-09,40.74,40.77,40.61,40.66,1961426.0,1,0,0.0
2016-03-10,40.81,41.19,40.76,41.07,5223876.0,1,0,0.0
2016-03-11,41.1,41.43,41.03,41.38,2021077.0,1,0,0.0
2016-03-14,41.17,41.42,41.1,41.35,1810550.0,1,0,0.0
2016-03-15,41.22,41.35,41.02,41.09,2452168.0,1,0,0.0
2016-03-16,41.11,41.33,41.11,41.17,1429945.0,1,0,0.0
2016-03-17,41.15,41.36,41.15,41.22,1806089.0,1,0,0.0
2016-03-18,41.28,41.29,41.05,41.08,2650764.0,1,0,0.0
2016-03-21,41.16,41.22,41.08,41.1,2114216.0,1,0,0.0
2016-03-22,41.1,41.15,40.91,40.92,2464563.0,1,0,0.0
2016-03-23,40.95,41.2,40.93,40.95,2140749.0,1,0,0.0
2016-03-24,40.97,41.15,40.95,41.1,1183809.0,1,0,0.0
