Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,42.7427,43.6792,41.9697,43.1094,11481853.447300006,1,0,0.0
2016-01-15,43.148999999999994,43.5752,42.4751,43.1094,8705188.156700002,1,0,0.0
2016-01-25,43.5355,43.6049,41.1273,42.2968,12458620.777000004,1,0,0.0
2016-02-01,42.376000000000005,45.3987,42.1481,45.2302,7910844.318900004,1,0,0.0
2016-02-08,45.1212,47.4699,44.923,45.7604,14305663.683100002,1,0,0.0
2016-02-16,45.5176,46.0825,44.4374,45.1608,8566964.89,1,0,0.0
2016-02-23,45.141000000000005,46.2707,44.695,46.0973,12068384.741100002,1,0,0.0
2016-03-01,46.1122,47.787,45.8743,46.5185,10929711.400300004,1,0,0.0
2016-03-08,46.2113,47.89,45.141000000000005,47.86,7618116.0985,1,0,0.0
2016-03-15,47.8,48.53,47.39,48.17,7612513.0,1,0,0.0
2016-03-22,48.06,49.42,47.5402,48.86,7645274.0,1,0,0.0
