Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,306.56,310.89799999999997,298.42,299.03,12238221.0,1,0,0
2016-01-15,300.22,302.37,282.65,295.07,14426915.0,1,0,0
2016-01-25,298.21,302.0,283.0,296.58,11520207.0,1,0,0
2016-02-01,296.34,297.37,277.79,282.27,12380185.0,1,0,0
2016-02-08,278.88,284.96,261.59,266.1,13025589.0,1,0,0
2016-02-16,263.08,285.0,262.48,284.2,11933932.0,1,0,0
2016-02-23,287.0,288.84,273.22,286.64,13112590.0,1,0,0
2016-03-01,285.48,301.32,281.89,295.37,12918940.0,1,0,0
2016-03-08,295.34,296.7,283.01,284.43,10469131.0,1,0,0
2016-03-15,288.0,299.12,281.25,283.0,12849226.0,1,0,0
2016-03-22,283.0,283.57,265.6,277.96,23177660.0,1,0,0
