Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,2.15,2.35,2.15,2.35,5859060.0,1,0,0
2016-01-05,2.35,2.44,2.22,2.435,5459949.0,1,0,0
2016-01-06,2.38,2.55,2.255,2.52,8938772.0,1,0,0
2016-01-07,2.44,2.49,2.29,2.33,6925697.0,1,0,0
2016-01-08,2.4,2.4730000000000003,2.31,2.34,5080470.0,1,0,0
2016-01-11,2.33,2.36,2.02,2.07,7713001.0,1,0,0
2016-01-12,2.13,2.19,2.02,2.17,7993760.0,1,0,0
2016-01-13,2.21,2.23,1.99,2.06,7745563.0,1,0,0
2016-01-14,2.05,2.07,1.97,2.04,5840718.0,1,0,0
2016-01-15,1.97,1.99,1.81,1.88,7519292.0,1,0,0
2016-01-19,1.96,1.96,1.84,1.89,5107186.0,1,0,0
2016-01-20,1.82,1.84,1.64,1.83,6672287.0,1,0,0
2016-01-21,1.84,1.99,1.83,1.92,3447789.0,1,0,0
2016-01-22,2.0,2.04,1.86,1.9,4612514.0,1,0,0
2016-01-25,1.95,2.015,1.81,1.82,4195643.0,1,0,0
2016-01-26,2.0,2.15,1.89,1.9999,8577484.0,1,0,0
2016-01-27,2.02,2.05,1.85,1.93,7218805.0,1,0,0
2016-01-28,1.97,2.01,1.9,1.94,3578423.0,1,0,0
2016-01-29,1.98,2.04,1.95,2.03,4515669.0,1,0,0
2016-02-01,1.96,2.11,1.93,2.07,4165366.0,1,0,0
2016-02-02,2.05,2.15,2.0,2.08,3306367.0,1,0,0
2016-02-03,2.14,2.25,2.0,2.21,6658370.0,1,0,0
2016-02-04,2.23,2.48,2.22,2.395,7035971.0,1,0,0
2016-02-05,2.35,2.45,2.25,2.27,4849564.0,1,0,0
2016-02-08,2.21,2.25,2.12,2.23,2825445.0,1,0,0
2016-02-09,2.15,2.24,2.04,2.22,5396297.0,1,0,0
2016-02-10,2.22,2.3,2.14,2.21,4686498.0,1,0,0
2016-02-11,2.19,2.23,2.11,2.17,4269065.0,1,0,0
2016-02-12,2.19,2.44,2.19,2.3,5811904.0,1,0,0
2016-02-16,2.37,2.44,2.27,2.39,3509811.0,1,0,0
2016-02-17,2.44,2.605,2.42,2.56,7641076.0,1,0,0
2016-02-18,2.6,2.63,2.45,2.57,4010800.0,1,0,0
2016-02-19,2.56,2.59,2.47,2.51,2493009.0,1,0,0
2016-02-22,2.58,2.68,2.57,2.66,3868631.0,1,0,0
2016-02-23,2.63,2.71,2.58,2.68,3536113.0,1,0,0
2016-02-24,2.6,2.64,2.48,2.63,5144670.0,1,0,0
2016-02-25,2.66,2.72,2.53,2.54,4131381.0,1,0,0
2016-02-26,2.65,2.87,2.62,2.73,5537775.0,1,0,0
2016-02-29,2.85,2.94,2.77,2.85,7180871.0,1,0,0
2016-03-01,2.95,2.95,2.77,2.935,5111679.0,1,0,0
2016-03-02,3.02,3.57,3.01,3.5210000000000004,16286632.0,1,0,0
2016-03-03,3.5,3.99,3.445,3.6,23455139.0,1,0,0
2016-03-04,3.76,3.99,3.6,3.74,18587947.0,1,0,0
2016-03-07,3.97,4.2,3.9,4.04,13135581.0,1,0,0
2016-03-08,3.95,3.9699,3.59,3.62,10681635.0,1,0,0
2016-03-09,3.71,3.91,3.4689,3.7,7877227.0,1,0,0
2016-03-10,3.55,4.2,3.53,4.17,14079031.0,1,0,0
2016-03-11,4.17,4.18,3.85,4.01,11117557.0,1,0,0
2016-03-14,3.9,4.12,3.87,4.02,7501749.0,1,0,0
2016-03-15,3.88,3.97,3.77,3.77,7688622.0,1,0,0
2016-03-16,3.75,4.1,3.73,4.07,8306628.0,1,0,0
2016-03-17,4.1,4.43,3.94,4.16,12576862.0,1,0,0
2016-03-18,4.27,4.48,4.2,4.22,8873092.0,1,0,0
2016-03-21,4.22,4.31,4.1,4.28,6853607.0,1,0,0
2016-03-22,4.2,4.4,4.18,4.35,4936918.0,1,0,0
2016-03-23,4.32,4.43,4.05,4.08,6260230.0,1,0,0
2016-03-24,3.98,4.17,3.76,4.16,9000982.0,1,0,0
