Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:34:00,2.15,2.21,2.15,2.2,177123.0,1.0,0.0,0.0
2016-01-04,09:39:00,2.2,2.25,2.19,2.235,126231.0,1.0,0.0,0.0
2016-01-04,09:44:00,2.24,2.24,2.19,2.205,105119.0,1.0,0.0,0.0
2016-01-04,09:49:00,2.2,2.2,2.175,2.19,36463.0,1.0,0.0,0.0
2016-01-04,09:54:00,2.19,2.22,2.1866,2.215,101500.0,1.0,0.0,0.0
2016-01-04,09:59:00,2.215,2.22,2.19,2.194,7831.0,1.0,0.0,0.0
2016-01-04,10:04:00,2.19,2.2,2.18,2.1966,50313.0,1.0,0.0,0.0
2016-01-04,10:09:00,2.1999,2.21,2.18,2.21,40187.0,1.0,0.0,0.0
2016-01-04,10:15:00,2.205,2.22,2.19,2.22,96415.0,1.0,0.0,0.0
2016-01-04,10:20:00,2.219,2.25,2.215,2.24,120403.0,1.0,0.0,0.0
2016-01-04,10:25:00,2.24,2.2499,2.22,2.23,38261.0,1.0,0.0,0.0
2016-01-04,10:30:00,2.2323,2.239,2.2,2.2,86945.0,1.0,0.0,0.0
2016-01-04,10:35:00,2.2,2.2,2.18,2.18,55851.0,1.0,0.0,0.0
2016-01-04,10:40:00,2.18,2.19,2.16,2.17,163973.0,1.0,0.0,0.0
2016-01-04,10:46:00,2.17,2.19,2.17,2.185,79332.0,1.0,0.0,0.0
2016-01-04,10:52:00,2.18,2.19,2.18,2.18,8179.0,1.0,0.0,0.0
2016-01-04,10:57:00,2.18,2.19,2.17,2.19,127153.0,1.0,0.0,0.0
2016-01-04,11:02:00,2.1830000000000003,2.2,2.18,2.2,63880.0,1.0,0.0,0.0
2016-01-04,11:07:00,2.19,2.2,2.18,2.19,23826.0,1.0,0.0,0.0
2016-01-04,11:12:00,2.1802,2.19,2.18,2.19,29560.0,1.0,0.0,0.0
2016-01-04,11:17:00,2.19,2.19,2.18,2.19,4967.0,1.0,0.0,0.0
2016-01-04,11:22:00,2.19,2.2,2.18,2.2,63488.0,1.0,0.0,0.0
2016-01-04,11:28:00,2.2,2.21,2.19,2.21,27238.0,1.0,0.0,0.0
2016-01-04,11:33:00,2.21,2.21,2.205,2.21,9975.0,1.0,0.0,0.0
2016-01-04,11:38:00,2.21,2.21,2.2,2.205,11757.0,1.0,0.0,0.0
2016-01-04,11:43:00,2.21,2.22,2.205,2.215,69827.0,1.0,0.0,0.0
