Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,6.2,6.27,6.08,6.12,409751.0,1,0,0
2016-01-05,6.17,6.21,6.04,6.18,496713.0,1,0,0
2016-01-06,6.07,6.42,6.05,6.1,474995.0,1,0,0
2016-01-07,5.95,6.06,5.82,5.89,609712.0,1,0,0
2016-01-08,5.93,6.04,5.56,5.56,981687.0,1,0,0
2016-01-11,5.59,5.685,5.32,5.48,822548.0,1,0,0
2016-01-12,5.56,5.75,5.42,5.515,309669.0,1,0,0
2016-01-13,5.53,5.64,5.275,5.29,360945.0,1,0,0
2016-01-14,5.32,5.6,5.21,5.49,405750.0,1,0,0
2016-01-15,5.24,5.33,5.12,5.29,709978.0,1,0,0
2016-01-19,5.4,5.42,5.05,5.2,584570.0,1,0,0
2016-01-20,5.1,5.59,5.07,5.53,675185.0,1,0,0
2016-01-21,5.53,5.785,5.4,5.58,660529.0,1,0,0
2016-01-22,5.67,5.8599,5.598,5.8,416149.0,1,0,0
2016-01-25,5.8,5.82,5.64,5.73,403581.0,1,0,0
2016-01-26,5.76,5.85,5.62,5.81,338744.0,1,0,0
2016-01-27,5.76,5.81,5.52,5.61,571600.0,1,0,0
2016-01-28,5.67,5.72,5.46,5.52,480991.0,1,0,0
2016-01-29,5.25,5.56,4.96,5.56,973929.0,1,0,0
2016-02-01,5.49,5.56,5.295,5.505,471213.0,1,0,0
2016-02-02,5.4,5.46,5.31,5.4,647133.0,1,0,0
2016-02-03,5.43,5.46,5.29,5.35,565671.0,1,0,0
2016-02-04,5.34,5.525,5.32,5.47,437476.0,1,0,0
2016-02-05,5.45,5.45,5.2601,5.29,527366.0,1,0,0
2016-02-08,5.25,5.3,5.13,5.26,612951.0,1,0,0
2016-02-09,5.16,5.25,5.05,5.15,568726.0,1,0,0
2016-02-10,5.21,5.34,5.07,5.08,1079754.0,1,0,0
2016-02-11,5.0,5.21,4.93,5.17,409076.0,1,0,0
2016-02-12,5.23,5.272,5.08,5.15,253217.0,1,0,0
2016-02-16,5.2,5.39,5.19,5.35,501905.0,1,0,0
2016-02-17,5.38,5.5,5.21,5.28,1016656.0,1,0,0
2016-02-18,5.31,5.54,5.2410000000000005,5.395,726011.0,1,0,0
2016-02-19,5.39,5.5,5.35,5.39,370121.0,1,0,0
2016-02-22,5.48,5.63,5.41,5.59,477630.0,1,0,0
2016-02-23,5.57,5.7,5.5,5.65,451839.0,1,0,0
2016-02-24,5.58,5.69,5.435,5.67,346806.0,1,0,0
2016-02-25,5.71,5.74,5.43,5.51,344030.0,1,0,0
2016-02-26,5.55,5.67,5.55,5.65,386612.0,1,0,0
2016-02-29,5.66,5.92,5.66,5.78,456228.0,1,0,0
2016-03-01,5.84,5.98,5.76,5.94,288988.0,1,0,0
2016-03-02,5.94,6.07,5.88,6.0,245325.0,1,0,0
2016-03-03,5.99,6.19,5.98,6.13,371985.0,1,0,0
2016-03-04,6.16,6.1999,6.0,6.02,475437.0,1,0,0
2016-03-07,6.0,6.1,5.93,6.06,377542.0,1,0,0
2016-03-08,6.01,6.07,5.69,5.7,453516.0,1,0,0
2016-03-09,5.71,6.13,5.6639,5.96,799511.0,1,0,0
2016-03-10,6.0,6.06,5.74,5.89,535509.0,1,0,0
2016-03-11,5.9,6.22,5.9,6.22,723376.0,1,0,0
2016-03-14,6.22,6.24,6.0,6.035,304647.0,1,0,0
2016-03-15,6.04,6.08,5.82,6.0,549474.0,1,0,0
2016-03-16,5.95,6.14,5.89,6.13,462584.0,1,0,0
2016-03-17,6.12,6.31,6.04,6.235,486086.0,1,0,0
2016-03-18,6.25,6.6,6.235,6.48,876395.0,1,0,0
2016-03-21,6.44,6.51,6.16,6.4,394904.0,1,0,0
2016-03-22,6.41,6.54,6.29,6.5,436373.0,1,0,0
2016-03-23,6.5,6.6,6.25,6.28,331173.0,1,0,0
2016-03-24,6.2,6.4,6.15,6.4,339533.0,1,0,0
