Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:32:00,155.11,155.91,153.9,155.388,11588.0,1.0,0.0,0.0
2016-01-04,09:36:00,155.75,155.75,154.06,154.41,108.0,1.0,0.0,0.0
2016-01-04,09:39:00,155.27,155.36,153.18,153.85,11819.0,1.0,0.0,0.0
2016-01-04,09:42:00,154.14,154.73,153.76,154.35,2133.0,1.0,0.0,0.0
2016-01-04,09:45:00,154.347,154.347,153.8,153.82,701.0,1.0,0.0,0.0
2016-01-04,09:48:00,153.82,154.37,153.66,154.1,1410.0,1.0,0.0,0.0
2016-01-04,09:51:00,154.14,155.19,154.14,155.19,1125.0,1.0,0.0,0.0
2016-01-04,09:54:00,155.31,155.39700000000002,155.25,155.35,987.0,1.0,0.0,0.0
2016-01-04,09:57:00,155.12,155.51,155.01,155.01,636.0,1.0,0.0,0.0
2016-01-04,10:00:00,155.02,155.127,154.65,154.9,2428.0,1.0,0.0,0.0
2016-01-04,10:03:00,154.72,155.0,154.23,154.75,5393.0,1.0,0.0,0.0
2016-01-04,10:06:00,154.78,154.84,154.5,154.53,2420.0,1.0,0.0,0.0
2016-01-04,10:09:00,154.54,155.215,154.54,154.85,5505.0,1.0,0.0,0.0
2016-01-04,10:12:00,155.16,155.16,154.875,154.98,1134.0,1.0,0.0,0.0
2016-01-04,10:15:00,155.19,155.55,155.04,155.53,2055.0,1.0,0.0,0.0
2016-01-04,10:18:00,155.27,156.07,155.27,156.03,6388.0,1.0,0.0,0.0
2016-01-04,10:21:00,156.0,156.24,155.75,156.02,4861.0,1.0,0.0,0.0
2016-01-04,10:24:00,156.02,156.02,155.56,155.77,3643.0,1.0,0.0,0.0
2016-01-04,10:27:00,156.048,156.048,155.54,155.95,2087.0,1.0,0.0,0.0
2016-01-04,10:30:00,155.855,155.855,155.36,155.37,1429.0,1.0,0.0,0.0
2016-01-04,10:33:00,155.374,155.627,155.2,155.23,2449.0,1.0,0.0,0.0
2016-01-04,10:36:00,155.32,155.32,154.99,155.22,1085.0,1.0,0.0,0.0
2016-01-04,10:40:00,155.21,155.21,154.73,154.73,1286.0,1.0,0.0,0.0
2016-01-04,10:43:00,154.71,154.96,154.21,154.54,18089.0,1.0,0.0,0.0
2016-01-04,10:46:00,154.55,154.77,154.55,154.74,2078.0,1.0,0.0,0.0
2016-01-04,10:49:00,154.75,154.95,154.60299999999998,154.95,1213.0,1.0,0.0,0.0
2016-01-04,10:52:00,154.87,154.945,154.513,154.513,1111.0,1.0,0.0,0.0
2016-01-04,10:56:00,154.5,154.87,154.44,154.54,2162.0,1.0,0.0,0.0
2016-01-04,10:59:00,154.47,154.67,154.22,154.22,1348.0,1.0,0.0,0.0
2016-01-04,11:02:00,154.19,154.33,153.65,153.65,2880.0,1.0,0.0,0.0
2016-01-04,11:05:00,153.9,154.12,153.54,153.54,4353.0,1.0,0.0,0.0
2016-01-04,11:08:00,153.88,153.92,153.73,153.77,1480.0,1.0,0.0,0.0
2016-01-04,11:12:00,153.84,153.97,153.56,153.907,4119.0,1.0,0.0,0.0
2016-01-04,11:15:00,153.8,154.17,153.8,154.15,1495.0,1.0,0.0,0.0
2016-01-04,11:18:00,154.16,154.27,153.98,154.007,1164.0,1.0,0.0,0.0
2016-01-04,11:21:00,153.92,153.92,153.53,153.695,1239.0,1.0,0.0,0.0
2016-01-04,11:24:00,153.83,154.27,153.72,154.27,1551.0,1.0,0.0,0.0
2016-01-04,11:27:00,154.03,154.28,153.98,154.19,1181.0,1.0,0.0,0.0
2016-01-04,11:30:00,154.04,154.4,153.99,154.4,1812.0,1.0,0.0,0.0
2016-01-04,11:33:00,154.33,154.749,154.33,154.749,1543.0,1.0,0.0,0.0
2016-01-04,11:36:00,154.55,154.77,154.2,154.266,4219.0,1.0,0.0,0.0
2016-01-04,11:39:00,154.48,154.54,154.21,154.54,909.0,1.0,0.0,0.0
2016-01-04,11:42:00,154.47,154.96,154.47,154.96,2558.0,1.0,0.0,0.0
