Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,14:29:00,96.29,96.6,95.09,95.93,1672131.0,1.0,0.0,0.0
2016-01-05,12:59:00,95.96,98.06,95.7,97.86,2357185.0,1.0,0.0,0.0
2016-01-06,11:29:00,97.87,98.75,97.52,98.31,1677352.0,1.0,0.0,0.0
2016-01-07,10:00:00,98.32,98.59,96.74,96.94,1363133.0,1.0,0.0,0.0
2016-01-07,15:00:00,96.94,96.98,95.385,95.385,1930042.0,1.0,0.0,0.0
2016-01-08,13:30:00,95.385,96.4899,94.62,95.27,1539908.0,1.0,0.0,0.0
2016-01-11,12:00:00,95.28,95.51,93.84,94.54,1365711.0,1.0,0.0,0.0
2016-01-12,10:31:00,94.54,95.18,93.91,94.43,1159071.0,1.0,0.0,0.0
2016-01-12,15:31:00,94.45,94.65,93.78,94.3575,1022794.0,1.0,0.0,0.0
2016-01-13,14:01:00,94.34,95.07,93.33,93.49,1291517.0,1.0,0.0,0.0
2016-01-14,12:31:00,93.4714,93.66,91.7,92.56,1965634.0,1.0,0.0,0.0
2016-01-15,11:01:00,92.565,92.99,90.0,90.84,1984544.0,1.0,0.0,0.0
2016-01-19,09:31:00,90.823,91.7,87.85,91.23,4265938.0,1.0,0.0,0.0
2016-01-19,14:31:00,91.17,93.53,89.91,90.5801,2704954.0,1.0,0.0,0.0
2016-01-20,13:01:00,90.61,91.27,86.21,86.9103,3234192.0,1.0,0.0,0.0
2016-01-21,11:31:00,86.9123,90.36,86.8,89.94,2324646.0,1.0,0.0,0.0
2016-01-22,10:01:00,89.98,92.69,89.22,92.59,2275997.0,1.0,0.0,0.0
2016-01-22,15:01:00,92.57,93.6,92.09,93.21,2011944.0,1.0,0.0,0.0
2016-01-25,13:31:00,93.2,93.41,92.04,92.66,2061699.0,1.0,0.0,0.0
2016-01-26,12:01:00,92.6598,93.69,90.92,93.005,2215815.0,1.0,0.0,0.0
2016-01-27,10:31:00,93.01,93.38,91.42,91.81,1547119.0,1.0,0.0,0.0
2016-01-27,15:31:00,91.79,93.46,91.69,92.14,1265551.0,1.0,0.0,0.0
2016-01-28,14:01:00,92.14,93.46,92.01,92.87,1329500.0,1.0,0.0,0.0
2016-01-29,12:31:00,92.91,94.5,92.37,94.49,1465742.0,1.0,0.0,0.0
2016-02-01,11:01:00,94.48,94.49,92.83,93.09,1809878.0,1.0,0.0,0.0
2016-02-02,09:31:00,93.04,93.89,92.2,92.39,1976093.0,1.0,0.0,0.0
2016-02-02,14:31:00,92.51,92.51,91.2,91.318,978121.0,1.0,0.0,0.0
2016-02-03,13:01:00,91.29,91.97,88.47,88.61,2738084.0,1.0,0.0,0.0
2016-02-04,11:31:00,88.6,91.72,88.4,90.97,2924909.0,1.0,0.0,0.0
2016-02-05,10:01:00,90.96,91.8399,89.95,89.99,1616288.0,1.0,0.0,0.0
2016-02-05,15:01:00,89.9936,90.1699,88.65,88.69,1179181.0,1.0,0.0,0.0
2016-02-08,13:31:00,88.6999,89.04,85.2,85.36,1730794.0,1.0,0.0,0.0
2016-02-09,12:01:00,85.3799,85.84,83.91,84.2199,2561165.0,1.0,0.0,0.0
2016-02-10,10:31:00,84.22,86.67,84.05,86.52,1864670.0,1.0,0.0,0.0
2016-02-10,15:31:00,86.58,87.13,86.09,86.24,848433.0,1.0,0.0,0.0
2016-02-11,14:01:00,86.259,86.31,83.171,83.26,1883084.0,1.0,0.0,0.0
2016-02-12,12:31:00,83.27,85.37,83.07,84.86,2197590.0,1.0,0.0,0.0
2016-02-16,11:01:00,84.86,87.63,84.73,86.36,1308284.0,1.0,0.0,0.0
2016-02-17,09:31:00,86.37200000000001,87.39,86.1775,87.05,1059934.0,1.0,0.0,0.0
2016-02-17,14:31:00,87.22,87.29,86.29,86.9499,1259078.0,1.0,0.0,0.0
2016-02-18,13:01:00,86.94,87.3,85.78,87.02,2015327.0,1.0,0.0,0.0
2016-02-19,11:31:00,87.02,88.01,86.51,87.62,1946131.0,1.0,0.0,0.0
2016-02-22,10:02:00,87.6185,89.76,87.15,89.696,1495606.0,1.0,0.0,0.0
2016-02-22,15:02:00,89.72,89.82,89.0,89.28,1431839.0,1.0,0.0,0.0
2016-02-23,13:32:00,89.28,89.36,87.97,88.02,1825695.0,1.0,0.0,0.0
2016-02-24,12:02:00,88.03,88.21,87.01,87.8,1998270.0,1.0,0.0,0.0
2016-02-25,10:32:00,87.78,90.0,87.035,89.46,3151528.0,1.0,0.0,0.0
2016-02-25,15:32:00,89.46,90.14,89.13,89.62,2441214.0,1.0,0.0,0.0
2016-02-26,14:02:00,89.6299,91.8,87.285,89.6,3754712.0,1.0,0.0,0.0
2016-02-29,12:32:00,89.6,93.25,89.58,93.15,2911157.0,1.0,0.0,0.0
2016-03-01,11:02:00,93.18,94.169,91.64,94.13,2434884.0,1.0,0.0,0.0
