Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,90.3933,91.1308,88.9683,89.5662,4074941.9055000013,1,0,0.0
2016-01-11,87.9718,88.789,85.2315,86.1183,3948324.1110999985,1,0,0.0
2016-01-14,86.8956,87.7924,85.1518,87.065,2906726.0264999988,1,0,0.0
2016-01-20,87.344,87.344,83.5274,84.6435,3926296.2516999976,1,0,0.0
2016-01-25,84.9325,86.3873,83.9459,85.4706,3022168.6114999973,1,0,0.0
2016-01-28,85.8891,88.0,84.9524,86.06,3220500.730399997,1,0,0.3
2016-02-02,86.73,87.98,85.91,86.2,3074731.9999999963,1,0,0.0
2016-02-05,87.06,92.89,86.31,92.88,4603296.999999996,1,0,0.0
2016-02-10,92.27,94.79,91.95,92.82,5149189.999999996,1,0,0.0
2016-02-16,91.31,95.0,90.75,94.135,4361323.999999996,1,0,0.0
2016-02-19,95.09,95.5817,92.98,93.55,4678828.999999996,1,0,0.0
2016-02-24,94.34,95.13,92.92,94.65,4939078.999999996,1,0,0.0
2016-02-29,94.91,96.51,94.52,95.27,3867795.9999999963,1,0,0.0
2016-03-03,95.99,98.36,95.47,98.21,3900139.9999999963,1,0,0.0
2016-03-08,98.0,99.61,97.88,98.43,3189554.9999999963,1,0,0.0
2016-03-11,98.74,100.59,97.62,100.48,2721288.9999999963,1,0,0.0
2016-03-16,99.63,100.65,98.8,99.79,3413688.9999999963,1,0,0.0
2016-03-21,99.94,102.58,99.57,101.58,6306321.999999996,1,0,0.0
2016-03-24,101.31,102.23,99.67,101.13,6766501.999999996,1,0,0.0
