Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:36:00,50.941,51.1305,50.7515,50.7914,41290.298,1.0,0.0,0.0
2016-01-04,09:43:00,50.7614,51.0806,50.6318,50.7814,38509.27999999999,1.0,0.0,0.0
2016-01-04,09:50:00,50.8712,50.8911,50.7116,50.8642,11803.809999999989,1.0,0.0,0.0
2016-01-04,09:57:00,50.8113,50.92100000000001,50.6218,50.6218,17037.039999999986,1.0,0.0,0.0
2016-01-04,10:04:00,50.6916,50.7116,50.3724,50.4921,70665.59999999998,1.0,0.0,0.0
2016-01-04,10:11:00,50.4522,50.552,50.4023,50.4223,18452.618299999944,1.0,0.0,0.0
2016-01-04,10:18:00,50.4223,50.6018,50.4023,50.542,20902.799999999945,1.0,0.0,0.0
2016-01-04,10:25:00,50.5221,50.6832,50.4921,50.5619,11802.818999999941,1.0,0.0,0.0
2016-01-04,10:32:00,50.5919,50.6617,50.5021,50.552,15715.689999999937,1.0,0.0,0.0
2016-01-04,10:40:00,50.5819,50.6018,50.5021,50.522,15554.291999999934,1.0,0.0,0.0
2016-01-04,10:47:00,50.522,50.6018,50.4921,50.532,18611.021999999935,1.0,0.0,0.0
2016-01-04,10:54:00,50.552,50.6417,50.4821,50.4821,11712.58799999993,1.0,0.0,0.0
2016-01-04,11:01:00,50.4821,50.522,50.3625,50.3924,12960.737999999927,1.0,0.0,0.0
2016-01-04,11:08:00,50.3625,50.4023,50.3026,50.3326,13492.06799999993,1.0,0.0,0.0
2016-01-04,11:15:00,50.3824,50.4123,50.2827,50.3668,33041.521999999924,1.0,0.0,0.0
2016-01-04,11:22:00,50.3724,50.3924,50.3026,50.3525,12241.928999999927,1.0,0.0,0.0
2016-01-04,11:29:00,50.3525,50.4123,50.3226,50.3525,15347.769999999928,1.0,0.0,0.0
2016-01-04,11:36:00,50.3824,50.5121,50.3425,50.3824,29277.94999999992,1.0,0.0,0.0
2016-01-04,11:43:00,50.4023,50.532,50.3525,50.4921,34805.92999999992,1.0,0.0,0.0
2016-01-04,11:50:00,50.4921,50.6318,50.4821,50.6318,14020.409999999922,1.0,0.0,0.0
