Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,7.6,7.65,6.93,7.19,4279010.0,1,0,0
2016-01-11,7.05,7.68,6.31,6.38,9921699.0,1,0,0
2016-01-14,7.24,7.69,6.81,7.3,10349920.0,1,0,0
2016-01-20,7.03,8.005,6.87,7.54,8255573.0,1,0,0
2016-01-25,7.55,7.87,7.41,7.655,4570767.0,1,0,0
2016-01-28,7.78,8.09,7.26,7.61,5895625.0,1,0,0
2016-02-02,7.6,7.94,6.8,6.92,5773257.0,1,0,0
2016-02-05,7.01,7.3,6.75,6.95,3368824.0,1,0,0
2016-02-10,8.8,8.85,8.2,8.54,21232981.0,1,0,0
2016-02-16,8.46,8.94,8.335,8.83,6323704.0,1,0,0
2016-02-19,8.9,8.935,8.62,8.68,5108033.0,1,0,0
2016-02-24,8.72,8.74,8.2,8.23,3717918.0,1,0,0
2016-02-29,8.26,8.3023,8.005,8.19,3274805.0,1,0,0
2016-03-03,8.3,8.57,8.25,8.525,2476075.0,1,0,0
2016-03-08,8.55,8.69,8.2,8.31,3003360.0,1,0,0
2016-03-11,8.35,8.47,8.2,8.38,2376068.0,1,0,0
2016-03-16,8.27,8.48,8.17,8.28,2083428.0,1,0,0
2016-03-21,8.24,8.43,8.18,8.4,2861265.0,1,0,0
2016-03-24,8.39,8.41,8.16,8.26,2882664.0,1,0,0
