Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:36:00,182.35,182.46,181.71,182.4,21114.0,1.0,0.0,0.0
2016-01-04,09:43:00,182.46,182.7,181.5,181.91,12894.0,1.0,0.0,0.0
2016-01-04,09:50:00,181.91,182.26,181.52,182.25,13753.0,1.0,0.0,0.0
2016-01-04,09:57:00,182.12,182.26,181.67,181.76,10837.0,1.0,0.0,0.0
2016-01-04,10:04:00,181.85,181.89,181.0,181.185,11771.0,1.0,0.0,0.0
2016-01-04,10:11:00,181.09,181.27,180.7,180.81,23376.0,1.0,0.0,0.0
2016-01-04,10:18:00,180.73,181.0,180.68,180.88,14565.0,1.0,0.0,0.0
2016-01-04,10:26:00,180.97,181.0,180.48,180.68,8400.0,1.0,0.0,0.0
2016-01-04,10:34:00,180.82,180.82,180.28,180.34,15668.0,1.0,0.0,0.0
2016-01-04,10:41:00,180.36,180.5,180.2,180.48,7284.0,1.0,0.0,0.0
2016-01-04,10:48:00,180.38,181.08,180.32,180.96,10043.0,1.0,0.0,0.0
2016-01-04,10:55:00,180.886,181.13,180.6,180.6,18469.0,1.0,0.0,0.0
2016-01-04,11:02:00,180.55,180.57,180.12,180.18,10191.0,1.0,0.0,0.0
2016-01-04,11:09:00,180.14,180.31,179.88,180.01,8942.0,1.0,0.0,0.0
2016-01-04,11:16:00,179.91,180.04,179.77,179.95,8684.0,1.0,0.0,0.0
2016-01-04,11:23:00,180.01,180.54,179.91,180.52,14378.0,1.0,0.0,0.0
2016-01-04,11:30:00,180.54,180.73,180.36,180.54,13650.0,1.0,0.0,0.0
2016-01-04,11:37:00,180.62,181.03799999999998,180.37,180.59,6766.0,1.0,0.0,0.0
2016-01-04,11:44:00,180.6,181.0,180.51,180.81,13766.0,1.0,0.0,0.0
2016-01-04,11:51:00,180.78,180.86,180.51,180.51,6012.0,1.0,0.0,0.0
2016-01-04,11:59:00,180.64,180.67,179.951,180.22,11708.0,1.0,0.0,0.0
2016-01-04,12:06:00,180.21,180.21,179.83,179.83,5128.0,1.0,0.0,0.0
2016-01-04,12:13:00,179.86,180.04,179.73,179.84,6818.0,1.0,0.0,0.0
2016-01-04,12:20:00,179.79,180.22,179.78,179.93900000000002,9429.0,1.0,0.0,0.0
2016-01-04,12:28:00,179.93,180.22,179.85,180.22,6997.0,1.0,0.0,0.0
2016-01-04,12:35:00,180.27,180.27,179.898,180.16,5838.0,1.0,0.0,0.0
2016-01-04,12:42:00,180.16,180.28,179.935,179.99,5450.0,1.0,0.0,0.0
2016-01-04,12:49:00,180.01,180.28,179.905,179.92,6649.0,1.0,0.0,0.0
2016-01-04,12:56:00,180.01,180.65,180.01,180.46,7933.0,1.0,0.0,0.0
