Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,187.865,187.865,182.43200000000002,183.66099999999997,574303.1171999996,1,0,0.0
2016-01-05,184.33,185.438,183.38099999999997,184.53900000000002,590980.5661,1,0,0.0
2016-01-06,182.762,184.74900000000002,181.773,183.83,452725.10269999993,1,0,0.0
2016-01-07,181.72299999999998,184.579,181.074,183.94,606241.2984,1,0,0.0
2016-01-08,184.26,185.199,179.546,179.84599999999998,314711.95570000017,1,0,0.0
2016-01-11,180.525,181.683,176.34,177.699,447531.9934,1,0,0.0
2016-01-12,178.118,181.354,176.67,178.737,371324.68560000026,1,0,0.0
2016-01-13,179.33599999999998,181.00400000000002,175.56099999999998,175.821,461707.37389999983,1,0,0.0
2016-01-14,176.24099999999999,178.418,175.641,176.71,527531.5318999998,1,0,0.0
2016-01-15,175.592,177.459,171.956,176.66,557394.1568999998,1,0,0.0
2016-01-19,182.782,182.782,177.46900000000002,178.44799999999998,502441.4376000002,1,0,0.0
2016-01-20,176.45,177.739,172.326,176.71,571486.2190999996,1,0,0.0
2016-01-21,181.42,181.7,175.75,178.87,484614.0,1,0,0.24
2016-01-22,182.44,183.16,179.44,183.08,471419.0,1,0,0.0
2016-01-25,183.48,186.4,182.47,184.13,561301.0,1,0,0.0
2016-01-26,183.01,184.54,181.49,183.16,411933.0,1,0,0.0
2016-01-27,183.13,186.0,181.77,183.29,541531.0,1,0,0.0
2016-01-28,183.11,183.185,176.95,178.35,835955.0,1,0,0.0
2016-01-29,182.53,188.195,179.83,183.23,1092548.0,1,0,0.0
2016-02-01,182.79,188.66,182.79,188.04,844314.0,1,0,0.0
2016-02-02,186.96,189.715,185.66,188.96,689722.0,1,0,0.0
2016-02-03,187.3,190.45,183.46,185.11,627366.0,1,0,0.0
2016-02-04,184.51,187.49,182.98,187.12,535711.0,1,0,0.0
2016-02-05,186.92,187.0,182.06,182.89,466196.0,1,0,0.0
2016-02-08,181.27,182.06,177.46,179.59,769704.0,1,0,0.0
2016-02-09,177.97,182.91,177.89,181.52,645152.0,1,0,0.0
2016-02-10,183.0,188.12,182.43,186.2,784287.0,1,0,0.0
2016-02-11,184.05,185.4,181.42,181.48,725116.0,1,0,0.0
2016-02-12,182.09,184.37,180.43,183.67,511729.0,1,0,0.0
2016-02-16,183.7,187.93,183.7,187.38,394590.0,1,0,0.0
2016-02-17,188.9,188.9,186.62,188.07,470991.0,1,0,0.0
2016-02-18,187.87,189.97,186.69,187.41,329700.0,1,0,0.0
2016-02-19,187.47,189.6,185.72,189.06,380305.0,1,0,0.0
2016-02-22,189.05,190.55,188.68,189.39,499047.0,1,0,0.0
2016-02-23,189.32,192.36,189.32,191.52,604266.0,1,0,0.0
2016-02-24,190.85,193.98,189.69,193.61,566752.0,1,0,0.0
2016-02-25,194.07,196.68,193.44,196.6,567426.0,1,0,0.0
2016-02-26,196.02,197.49,195.23,195.64,458615.0,1,0,0.0
2016-02-29,195.26,196.47,192.42,192.43,479189.0,1,0,0.0
2016-03-01,193.35,194.99,190.52,194.44,469820.0,1,0,0.0
2016-03-02,194.25,194.89,192.48,192.98,381064.0,1,0,0.0
2016-03-03,192.57,193.47,190.98,193.27,336527.0,1,0,0.0
2016-03-04,192.98,194.72,191.99,194.25,288039.0,1,0,0.0
2016-03-07,193.63,195.13,192.7,194.05,294369.0,1,0,0.0
2016-03-08,193.34,195.09,191.94,194.0,287791.0,1,0,0.0
2016-03-09,193.94,195.52,193.1,195.52,484556.0,1,0,0.0
2016-03-10,195.5,197.41,194.043,195.5,501383.0,1,0,0.0
2016-03-11,195.97,196.53,194.73,195.13,657021.0,1,0,0.0
2016-03-14,193.73,197.5,193.55,195.41,640550.0,1,0,0.0
2016-03-15,193.89,195.55,193.54,194.28,393507.0,1,0,0.0
2016-03-16,194.31,195.37,192.95,194.21,478838.0,1,0,0.0
2016-03-17,194.06,195.08,191.79,193.69,475642.0,1,0,0.0
2016-03-18,194.08,197.42,193.33,196.78,429824.0,1,0,0.0
2016-03-21,195.75,196.71,194.93,196.1,285504.0,1,0,0.0
2016-03-22,196.04,198.71,194.93,197.93,329513.0,1,0,0.0
2016-03-23,198.41,199.95,197.69,198.87,402291.0,1,0,0.0
2016-03-24,198.03,198.65,196.28,198.25,287242.0,1,0,0.0
