Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,14:47:00,187.865,187.865,183.12099999999998,183.581,397999.90579999983,1.0,0.0,0.0
2016-01-05,13:32:00,183.442,185.438,182.43200000000002,183.66099999999997,459050.6786000003,1.0,0.0,0.0
2016-01-06,12:07:00,183.66099999999997,184.74900000000002,181.773,184.045,470380.02650000015,1.0,0.0,0.0
2016-01-07,10:57:00,184.11,184.547,181.074,183.301,394055.57409999997,1.0,0.0,0.0
2016-01-08,09:35:00,183.291,184.74400000000003,181.893,184.739,508139.1844000001,1.0,0.0,0.0
2016-01-08,15:01:00,184.18,185.199,180.605,180.85,219730.0870999995,1.0,0.0,0.0
2016-01-11,13:44:00,180.864,181.683,176.82,177.09900000000002,302738.62049999955,1.0,0.0,0.0
2016-01-12,12:31:00,177.046,181.354,176.34,178.428,412572.6399999995,1.0,0.0,0.0
2016-01-13,11:23:00,178.148,181.00400000000002,176.67,180.515,294535.5385999998,1.0,0.0,0.0
2016-01-14,10:15:00,180.315,180.725,175.56099999999998,176.261,397534.3015999993,1.0,0.0,0.0
2016-01-14,15:20:00,176.12099999999998,178.418,175.90099999999998,177.519,329007.28769999894,1.0,0.0,0.0
2016-01-15,14:05:00,177.489,177.519,171.956,175.05200000000002,471760.9507999977,1.0,0.0,0.0
2016-01-19,12:54:00,175.072,182.782,174.982,179.896,430075.3224999982,1.0,0.0,0.0
2016-01-20,11:33:00,179.801,179.946,174.842,175.68099999999998,456119.6884999982,1.0,0.0,0.0
2016-01-21,10:08:00,175.74099999999999,181.7,172.326,177.69,465667.63179999817,1.0,0.0,0.24
2016-01-21,15:11:00,177.69,180.1,177.4,178.9,337993.99999999814,1.0,0.0,0.24
2016-01-22,13:56:00,178.9,182.63,178.495,182.3,410363.99999999814,1.0,0.0,0.0
2016-01-25,12:33:00,182.31,185.76,181.95,185.61,399139.99999999814,1.0,0.0,0.0
2016-01-26,11:12:00,185.54,186.4,181.49,182.91,439578.99999999814,1.0,0.0,0.0
2016-01-27,10:03:00,182.78,183.98,182.0,182.975,341232.99999999814,1.0,0.0,0.0
2016-01-27,15:13:00,182.92,186.0,182.1,182.29,362477.99999999814,1.0,0.0,0.0
2016-01-28,13:56:00,182.19,183.445,176.95,178.24,635283.9999999981,1.0,0.0,0.0
2016-01-29,12:27:00,178.355,188.195,177.77,182.31,891628.9999999981,1.0,0.0,0.0
2016-02-01,11:00:00,182.308,185.92,180.41,185.02,709141.9999999981,1.0,0.0,0.0
2016-02-02,09:40:00,184.93,188.66,183.63,186.97,694035.9999999981,1.0,0.0,0.0
2016-02-02,14:52:00,186.76,189.33,185.66,189.0,404630.99999999814,1.0,0.0,0.0
2016-02-03,13:31:00,188.98,190.45,184.05,184.62,581241.9999999981,1.0,0.0,0.0
2016-02-04,12:08:00,184.55,186.55,182.98,184.55,493925.99999999814,1.0,0.0,0.0
2016-02-05,10:44:00,184.94,187.49,184.58,184.975,453594.99999999814,1.0,0.0,0.0
2016-02-05,15:53:00,184.91,185.57,182.06,182.558,339878.99999999814,1.0,0.0,0.0
2016-02-08,14:26:00,182.55,182.91,177.47,178.0,618487.9999999981,1.0,0.0,0.0
2016-02-09,13:05:00,178.14,182.0,177.46,180.42,549474.9999999981,1.0,0.0,0.0
2016-02-10,11:46:00,180.54,187.0,180.26,186.36,505132.99999999814,1.0,0.0,0.0
2016-02-11,10:25:00,186.36,188.12,182.73,184.02,668012.9999999981,1.0,0.0,0.0
2016-02-11,15:31:00,183.89,185.09,181.52,182.09,494630.99999999814,1.0,0.0,0.0
2016-02-12,14:20:00,182.12,184.37,180.43,183.23,463899.99999999814,1.0,0.0,0.0
2016-02-16,13:03:00,183.34,187.895,182.63,187.84,372362.99999999814,1.0,0.0,0.0
2016-02-17,11:42:00,187.84,188.9,187.11,187.7,368166.99999999814,1.0,0.0,0.0
2016-02-18,10:31:00,187.67,189.97,186.62,189.54,365064.99999999814,1.0,0.0,0.0
2016-02-18,15:48:00,189.42,189.62,187.26,187.34,215283.99999999814,1.0,0.0,0.0
2016-02-19,14:45:00,187.4,189.6,185.72,188.94,341200.99999999814,1.0,0.0,0.0
2016-02-22,13:34:00,188.93,190.55,188.54,189.98,357064.99999999814,1.0,0.0,0.0
2016-02-23,12:15:00,189.97,192.36,188.68,191.5,510437.99999999814,1.0,0.0,0.0
2016-02-24,10:59:00,191.52,192.17,189.69,191.5,420654.99999999814,1.0,0.0,0.0
2016-02-25,09:51:00,191.3,195.66,190.62,194.13,543733.9999999981,1.0,0.0,0.0
2016-02-25,15:08:00,193.99,195.53,193.44,195.5,357143.99999999814,1.0,0.0,0.0
2016-02-26,13:55:00,195.47,197.49,195.47,195.695,401125.99999999814,1.0,0.0,0.0
2016-02-29,12:59:00,195.67,196.47,194.13,194.37,329595.99999999814,1.0,0.0,0.0
2016-03-01,11:46:00,194.49,194.88,190.52,191.98,555604.9999999981,1.0,0.0,0.0
