Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,10:29:00,35.59,36.1,35.41,36.005,895120.0,1.0,0.0,0.0
2016-01-04,11:29:00,36.005,36.02,35.71,35.81,791108.0,1.0,0.0,0.0
2016-01-04,12:29:00,35.82,36.055,35.785,35.83,340884.0,1.0,0.0,0.0
2016-01-04,13:29:00,35.82,36.13,35.76,36.09,399856.0,1.0,0.0,0.0
2016-01-04,14:29:00,36.0876,36.12,35.93,36.0,341256.0,1.0,0.0,0.0
2016-01-04,15:29:00,36.01,36.02,35.73,35.81,500581.0,1.0,0.0,0.0
2016-01-05,09:59:00,35.81,36.43,35.81,35.905,920330.0,1.0,0.0,0.0
2016-01-05,10:59:00,35.91,36.0,35.7334,35.92,445201.0,1.0,0.0,0.0
2016-01-05,11:59:00,35.92,35.96,35.73,35.81,241595.0,1.0,0.0,0.0
2016-01-05,12:59:00,35.81,35.82,35.7,35.76,244012.0,1.0,0.0,0.0
2016-01-05,13:59:00,35.77,36.0599,35.71,36.01,202730.0,1.0,0.0,0.0
2016-01-05,14:59:00,36.0162,36.21,35.935,36.13,273522.0,1.0,0.0,0.0
2016-01-05,15:59:00,36.13,36.24,36.0,36.14,729063.0,1.0,0.0,0.0
2016-01-06,10:29:00,35.45,35.66,35.3,35.44,612614.0,1.0,0.0,0.0
2016-01-06,11:29:00,35.43,35.56,35.24,35.51,342279.0,1.0,0.0,0.0
2016-01-06,12:29:00,35.51,35.59,35.296,35.32,270329.0,1.0,0.0,0.0
2016-01-06,13:29:00,35.31,35.49,35.19,35.2599,182621.0,1.0,0.0,0.0
2016-01-06,14:29:00,35.255,35.35,35.2,35.3199,246795.0,1.0,0.0,0.0
2016-01-06,15:29:00,35.31,35.33,34.94,35.14,450605.0,1.0,0.0,0.0
2016-01-07,09:59:00,35.15,35.22,34.12,34.55,1019103.0,1.0,0.0,0.0
2016-01-07,10:59:00,34.55,34.955,34.47,34.89,761601.0,1.0,0.0,0.0
2016-01-07,11:59:00,34.89,34.94,34.59,34.59,525172.0,1.0,0.0,0.0
2016-01-07,12:59:00,34.59,34.71,34.51,34.52,296792.0,1.0,0.0,0.0
2016-01-07,13:59:00,34.515,34.58,34.085,34.1,869366.0,1.0,0.0,0.0
2016-01-07,14:59:00,34.11,34.29,33.9,34.12,668235.0,1.0,0.0,0.0
2016-01-07,15:59:00,34.12,34.34,34.0,34.09,1256797.0,1.0,0.0,0.0
2016-01-08,10:29:00,34.21,34.47,33.85,34.0,672126.0,1.0,0.0,0.0
2016-01-08,11:29:00,34.0,34.095,33.87,33.975,605836.0,1.0,0.0,0.0
2016-01-08,12:29:00,33.98,34.1701,33.8701,34.15,478963.0,1.0,0.0,0.0
2016-01-08,13:29:00,34.15,34.15,33.905,33.95,417471.0,1.0,0.0,0.0
2016-01-08,14:29:00,33.96,34.11,33.9,33.91,425364.0,1.0,0.0,0.0
2016-01-08,15:29:00,33.9,34.01,33.8,33.81,729019.0,1.0,0.0,0.0
2016-01-11,09:59:00,33.8,33.91,33.07,33.16,1857403.0,1.0,0.0,0.0
2016-01-11,10:59:00,33.15,33.43,32.97,33.03,729289.0,1.0,0.0,0.0
2016-01-11,11:59:00,33.01,33.26,32.955,33.17,606002.0,1.0,0.0,0.0
2016-01-11,12:59:00,33.165,33.33,33.125,33.315,627841.0,1.0,0.0,0.0
2016-01-11,13:59:00,33.33,33.36,33.15,33.2,652589.0,1.0,0.0,0.0
2016-01-11,14:59:00,33.21,33.48,33.205,33.4,717939.0,1.0,0.0,0.0
2016-01-11,15:59:00,33.4,33.695,33.28,33.5,1765836.0,1.0,0.0,0.0
2016-01-12,10:29:00,33.62,34.46,33.37,33.46,800185.0,1.0,0.0,0.0
2016-01-12,11:29:00,33.46,33.555,33.39,33.47,868168.0,1.0,0.0,0.0
2016-01-12,12:29:00,33.47,33.625,33.39,33.46,561253.0,1.0,0.0,0.0
2016-01-12,13:29:00,33.45,33.61,33.39,33.47,494109.0,1.0,0.0,0.0
2016-01-12,14:29:00,33.46,33.77,33.44,33.545,444219.0,1.0,0.0,0.0
2016-01-12,15:29:00,33.53,33.96,33.515,33.91,548056.0,1.0,0.0,0.0
2016-01-13,09:59:00,33.9,34.38,33.8,34.1,1281163.0,1.0,0.0,0.0
2016-01-13,10:59:00,34.1,34.31,33.87,34.14,661122.0,1.0,0.0,0.0
2016-01-13,11:59:00,34.13,34.155,33.845,33.89,606638.0,1.0,0.0,0.0
2016-01-13,12:59:00,33.885,34.02,33.625,33.65,658235.0,1.0,0.0,0.0
2016-01-13,13:59:00,33.64,33.69,33.27,33.29,491618.0,1.0,0.0,0.0
2016-01-13,14:59:00,33.29,33.49,32.95,33.195,590163.0,1.0,0.0,0.0
2016-01-13,15:59:00,33.2,33.3,32.94,32.98,1545206.0,1.0,0.0,0.0
2016-01-14,10:29:00,33.09,33.4,32.39,33.02,910373.0,1.0,0.0,0.0
2016-01-14,11:29:00,33.02,33.46,32.83,32.9,420150.0,1.0,0.0,0.0
2016-01-14,12:29:00,32.9,33.125,32.815,33.04,312794.0,1.0,0.0,0.0
2016-01-14,13:29:00,33.05,33.44,33.01,33.34,529585.0,1.0,0.0,0.0
2016-01-14,14:29:00,33.35,33.43,33.185,33.31,436174.0,1.0,0.0,0.0
2016-01-14,15:29:00,33.32,33.56,33.28,33.5,1161549.0,1.0,0.0,0.0
2016-01-15,09:59:00,33.5,33.51,32.22,32.33,1526706.0,1.0,0.0,0.0
2016-01-15,10:59:00,32.3397,32.67,32.13,32.45,462434.0,1.0,0.0,0.0
2016-01-15,11:59:00,32.45,32.53,32.22,32.28,472559.0,1.0,0.0,0.0
2016-01-15,12:59:00,32.28,32.33,31.965,32.134,704842.0,1.0,0.0,0.0
2016-01-15,13:59:00,32.13,32.45,31.97,32.37,831740.0,1.0,0.0,0.0
2016-01-15,14:59:00,32.37,32.81,32.34,32.79,402047.0,1.0,0.0,0.0
2016-01-15,15:59:00,32.79,32.8,32.51,32.62,1121897.0,1.0,0.0,0.0
2016-01-19,10:29:00,33.04,33.3401,32.57,33.32,624256.0,1.0,0.0,0.0
2016-01-19,11:29:00,33.32,33.38,32.94,33.38,878987.0,1.0,0.0,0.0
2016-01-19,12:29:00,33.38,33.54,32.84,32.95,733556.0,1.0,0.0,0.0
2016-01-19,13:29:00,32.95,33.09,32.78,33.0341,449453.0,1.0,0.0,0.0
2016-01-19,14:29:00,33.03,33.1,32.61,32.785,766230.0,1.0,0.0,0.0
2016-01-19,15:29:00,32.78,33.2,32.67,33.16,1043822.0,1.0,0.0,0.0
2016-01-20,10:02:00,33.16,33.2544,32.1,32.14,1265461.0,1.0,0.0,0.0
2016-01-20,11:02:00,32.13,32.23,31.87,32.0525,759650.0,1.0,0.0,0.0
2016-01-20,12:02:00,32.06,32.3175,31.94,32.01,460022.0,1.0,0.0,0.0
2016-01-20,13:02:00,32.0,32.48,31.925,32.32,1136530.0,1.0,0.0,0.0
2016-01-20,14:02:00,32.325,32.95,32.08,32.575,870710.0,1.0,0.0,0.0
2016-01-20,15:02:00,32.57,32.81,32.46,32.68,823906.0,1.0,0.0,0.0
2016-01-21,09:32:00,32.69,33.34,32.66,32.85,1599649.0,1.0,0.0,0.0
2016-01-21,10:32:00,32.92,33.69,32.86,33.6,557694.0,1.0,0.0,0.0
2016-01-21,11:32:00,33.6,34.17,33.6,33.96,680441.0,1.0,0.0,0.0
