Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,14:29:00,300.34,301.025,293.34,295.35,1621548.0,1.0,0.0,0.0
2016-01-05,12:59:00,295.55,298.64,291.4,294.85,1310220.0,1.0,0.0,0.0
2016-01-06,11:29:00,294.85,298.05,291.002,295.37,970193.0,1.0,0.0,0.0
2016-01-07,09:59:00,295.55,296.71,285.65,288.57,1251814.0,1.0,0.0,0.0
2016-01-07,14:59:00,288.38,289.998,283.03,285.55,999526.0,1.0,0.0,0.0
2016-01-08,13:29:00,285.52,288.11,281.36,281.88,1362721.0,1.0,0.0,0.0
2016-01-11,11:59:00,281.75,284.77,276.863,279.65,1668314.0,1.0,0.0,0.0
2016-01-12,10:29:00,279.59,285.56,271.57,279.82,1432866.0,1.0,0.0,0.0
2016-01-12,15:29:00,279.52,281.5,271.0,276.31,1086359.0,1.0,0.0,0.0
2016-01-13,13:59:00,276.16,281.99,270.77,271.02,1193322.0,1.0,0.0,0.0
2016-01-14,12:29:00,271.1,279.0,265.24,277.96,2102771.0,1.0,0.0,0.0
2016-01-15,10:59:00,278.05,283.3,270.64,277.57,1653812.0,1.0,0.0,0.0
2016-01-15,15:59:00,277.42,278.18,269.25,273.38,1487011.0,1.0,0.0,0.0
2016-01-19,14:29:00,277.06,277.49,264.7,265.665,1431264.0,1.0,0.0,0.0
2016-01-20,12:59:00,265.85,271.52,257.66,262.5,1800831.0,1.0,0.0,0.0
2016-01-21,11:29:00,262.24,272.79,261.3,264.9,1732050.0,1.0,0.0,0.0
2016-01-22,09:59:00,265.08799999999997,268.86,261.02,268.25,1867604.0,1.0,0.0,0.0
2016-01-22,14:59:00,268.26,269.48,264.62,268.64099999999996,1143599.0,1.0,0.0,0.0
2016-01-25,13:29:00,268.66,271.23,267.01,267.86,1221175.0,1.0,0.0,0.0
2016-01-26,11:59:00,267.93,268.47,257.78,260.876,1573845.0,1.0,0.0,0.0
2016-01-27,10:29:00,260.88,280.0,258.7,271.15,2583920.0,1.0,0.0,0.0
2016-01-27,15:29:00,271.22,285.3,270.51,274.25,2911710.0,1.0,0.0,0.0
2016-01-28,13:59:00,274.25,276.32,261.7,266.74,2751735.0,1.0,0.0,0.0
2016-01-29,12:29:00,266.53,273.9,265.0,270.232,2117393.0,1.0,0.0,0.0
2016-02-01,10:59:00,270.0,274.81,267.56,272.18,1714132.0,1.0,0.0,0.0
2016-02-01,15:59:00,272.11,275.86,269.524,273.5,1187923.0,1.0,0.0,0.0
2016-02-02,14:29:00,267.74,270.91,265.16,266.41,1210511.0,1.0,0.0,0.0
2016-02-03,12:59:00,266.17,268.96,261.0,263.76,1670582.0,1.0,0.0,0.0
2016-02-04,11:29:00,263.6,279.375,262.05,274.06,1711370.0,1.0,0.0,0.0
2016-02-05,09:59:00,273.89599999999996,275.39,267.0,267.371,1372942.0,1.0,0.0,0.0
2016-02-05,14:59:00,267.4,268.38,258.46,261.55,1647620.0,1.0,0.0,0.0
2016-02-08,13:29:00,261.6,264.13,248.12,249.17,2549990.0,1.0,0.0,0.0
2016-02-09,11:59:00,249.05,255.0,243.82,248.28,1898142.0,1.0,0.0,0.0
2016-02-10,10:29:00,248.24,255.0,246.86,254.868,1647321.0,1.0,0.0,0.0
2016-02-10,15:29:00,254.99,257.4,250.71,253.5,1018887.0,1.0,0.0,0.0
2016-02-11,13:59:00,253.65,254.21,243.01,245.47400000000002,1554425.0,1.0,0.0,0.0
2016-02-12,12:29:00,245.45,249.2,242.07,245.582,1739315.0,1.0,0.0,0.0
2016-02-16,10:59:00,245.65,255.15,243.02,253.55,1490521.0,1.0,0.0,0.0
2016-02-16,15:59:00,253.34,257.42,251.8,256.52,1202981.0,1.0,0.0,0.0
2016-02-17,14:29:00,257.0,265.32,256.0,264.762,1082384.0,1.0,0.0,0.0
