Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,43.672,44.9939,43.0657,43.9503,4451374.7274,1,0,0.0
2016-01-15,44.0895,45.0138,42.857,43.8708,4253569.9788,1,0,0.0
2016-01-25,44.2485,44.3677,42.1911,42.9763,4122853.0397999976,1,0,0.0
2016-02-01,42.9663,47.578,42.867,46.931999999999995,6298578.418799998,1,0,0.0
2016-02-08,46.5146,48.3831,46.0276,46.7829,4870489.581599999,1,0,0.0
2016-02-16,46.3357,48.9596,46.1766,47.89,3890289.195099999,1,0,0.0
2016-02-23,48.08,48.37,46.66,47.55,3600365.999999998,1,0,0.0
2016-03-01,47.19,50.37,47.19,50.07,2785047.999999998,1,0,0.0
2016-03-08,49.89,51.09,49.57,50.58,3016913.999999998,1,0,0.0
2016-03-15,50.71,52.46,50.62,52.24,3369475.999999998,1,0,0.0
2016-03-22,52.01,54.19,51.961000000000006,52.68,3755618.999999998,1,0,0.0
