Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,66.0527,67.2478,64.9071,67.1688,7978146.160000006,1,0,0.0
2016-01-05,67.5342,67.6033,65.5984,66.4379,5810612.190999998,1,0,0.0
2016-01-06,65.1639,66.0231,64.7984,65.4206,6332280.4100000085,1,0,0.0
2016-01-07,64.275,64.7194,62.8726,63.1392,7893059.490000008,1,0,0.0
2016-01-08,63.5343,63.7417,62.1516,62.5071,7758081.619999999,1,0,0.0
2016-01-11,62.8824,62.9121,60.0973,60.6997,9319804.299999995,1,0,0.0
2016-01-12,61.6676,61.7269,59.643,60.8183,8071029.810000004,1,0,0.0
2016-01-13,61.1245,61.9837,59.643,60.1467,7017672.110000001,1,0,0.0
2016-01-14,60.4825,62.1911,59.6331,61.48,8763344.420000004,1,0,0.0
2016-01-15,59.52,60.09,58.75,59.86,11785117.0,1,0,0.77
2016-01-19,60.26,60.54,58.48,59.04,7012440.0,1,0,0.0
2016-01-20,57.99,59.38,56.36,58.82,10410146.0,1,0,0.0
2016-01-21,59.0,60.42,58.25,59.69,8111538.0,1,0,0.0
2016-01-22,61.21,62.56,60.6,60.9899,7375495.0,1,0,0.0
2016-01-25,58.96,59.35,57.76,57.9,9809987.0,1,0,0.0
2016-01-26,58.4,59.66,58.09,59.24,7558437.0,1,0,0.0
2016-01-27,58.43,59.89,57.46,58.33,8805731.0,1,0,0.0
2016-01-28,62.01,62.45,58.57,61.08,11809584.0,1,0,0.0
2016-01-29,61.69,62.29,60.75,62.24,7038589.0,1,0,0.0
2016-02-01,61.97,63.09,61.378,62.67,5361372.0,1,0,0.0
2016-02-02,61.79,61.79,60.48,60.69,5969166.0,1,0,0.0
2016-02-03,61.47,63.6,59.8,63.26,7434953.0,1,0,0.0
2016-02-04,63.59,66.99,63.59,65.955,12209449.0,1,0,0.0
2016-02-05,65.67,66.76,65.18,66.11,7109817.0,1,0,0.0
2016-02-08,65.42,65.643,63.66,64.585,5957055.0,1,0,0.0
2016-02-09,63.87,64.41,63.12,63.92,5288121.0,1,0,0.0
2016-02-10,64.27,64.38,62.0,62.13,5629706.0,1,0,0.0
2016-02-11,60.91,62.35,60.51,61.4,6531046.0,1,0,0.0
2016-02-12,61.99,63.47,61.81,63.15,3983499.0,1,0,0.0
2016-02-16,64.16,65.55,63.5,65.2,4214165.0,1,0,0.0
2016-02-17,65.95,67.79,65.72,67.26,6852527.0,1,0,0.0
2016-02-18,67.15,67.6,65.14,66.12,5706163.0,1,0,0.0
2016-02-19,65.0,65.52,64.08,65.41,4599161.0,1,0,0.0
2016-02-22,66.41,67.5299,66.03,67.3,4623338.0,1,0,0.0
2016-02-23,67.11,67.24,65.7,65.78,5145580.0,1,0,0.0
2016-02-24,64.68,65.97,63.06,65.87,6163639.0,1,0,0.0
2016-02-25,65.89,66.47,64.844,66.47,3811213.0,1,0,0.0
2016-02-26,67.39,68.0,66.45,66.87,3895191.0,1,0,0.0
2016-02-29,67.14,68.579,66.49,67.69,4788886.0,1,0,0.0
2016-03-01,68.44,69.49,67.34,69.05,4145448.0,1,0,0.0
2016-03-02,68.75,69.9285,68.21,69.38,4436129.0,1,0,0.0
2016-03-03,69.62,72.08,69.39,71.76,6756012.0,1,0,0.0
2016-03-04,71.97,73.96,71.53,72.83,9115446.0,1,0,0.0
2016-03-07,72.8,75.73,72.67,74.74,9553906.0,1,0,0.0
2016-03-08,73.78,74.11,71.52,71.72,7955743.0,1,0,0.0
2016-03-09,72.33,72.7,71.26,71.84,4597174.0,1,0,0.0
2016-03-10,72.03,72.03,70.49,71.36,5985814.0,1,0,0.0
2016-03-11,72.41,73.1,72.26,72.8,4522278.0,1,0,0.0
2016-03-14,72.73,73.44,72.1301,72.73,4729709.0,1,0,0.0
2016-03-15,71.44,72.47,70.86,72.41,4459575.0,1,0,0.0
2016-03-16,72.59,74.51,72.2,74.36,6421569.0,1,0,0.0
2016-03-17,74.2,76.3,73.51,75.87,12070356.0,1,0,0.0
2016-03-18,76.08,76.94,74.64,75.47,7681642.0,1,0,0.0
2016-03-21,75.53,76.35,75.04,75.89,4123093.0,1,0,0.0
2016-03-22,75.59,76.08,75.24,75.54,3138830.0,1,0,0.0
2016-03-23,74.9,75.1399,73.57,73.68,4990339.0,1,0,0.0
2016-03-24,72.93,75.35,72.73,75.29,6424456.0,1,0,0.0
