Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,116.91,118.43,116.1,117.61,4571016.0,1,0,0
2016-01-05,118.89,119.64,116.68,117.93,3715481.0,1,0,0
2016-01-06,116.17,117.86,115.57,116.71,3615614.0,1,0,0
2016-01-07,114.23,115.48899999999999,111.6,111.89,5024264.0,1,0,0
2016-01-08,112.82,114.73,108.79,108.97,6901731.0,1,0,0
2016-01-11,109.55,109.96,99.33,103.08,15172894.0,1,0,0
2016-01-12,104.22,107.92,102.85,106.89,7738523.0,1,0,0
2016-01-13,107.49,108.63,100.29,100.67,7150694.0,1,0,0
2016-01-14,101.34,107.2,99.44,105.64,7655774.0,1,0,0
2016-01-15,102.04,104.845,100.81,103.01,8402620.0,1,0,0
2016-01-19,104.75,105.63,101.36,103.0,6736830.0,1,0,0
2016-01-20,101.68,109.56,101.22,107.51,10357041.0,1,0,0
2016-01-21,108.2,109.42,105.39,105.46,7833684.0,1,0,0
2016-01-22,108.09,109.71,106.46,108.82,5271156.0,1,0,0
2016-01-25,108.83,109.91,106.55,106.71,4703172.0,1,0,0
2016-01-26,107.07,107.58,104.0,105.97,4246884.0,1,0,0
2016-01-27,107.21,108.33,101.17,102.31,6726991.0,1,0,0
2016-01-28,101.51,102.35,95.1,97.21,13027985.0,1,0,0
2016-01-29,97.27,100.42,95.56,99.76,8751234.0,1,0,0
2016-02-01,99.69,101.83,96.9,100.76,10089412.0,1,0,0
2016-02-02,99.14,100.64,96.22,96.85,7077488.0,1,0,0
2016-02-03,97.86,99.95,93.05,99.53,9045833.0,1,0,0
2016-02-04,99.43,103.69,98.78,101.94,7594211.0,1,0,0
2016-02-05,101.72,101.95,96.4,97.87,7236413.0,1,0,0
2016-02-08,96.46,100.72,95.51,99.18,8583854.0,1,0,0
2016-02-09,96.73,102.96,95.7101,100.55,6902736.0,1,0,0
2016-02-10,101.77,105.98,101.11,103.16,6958053.0,1,0,0
2016-02-11,100.21,102.15,98.35,99.59,6509687.0,1,0,0
2016-02-12,100.99,102.771,97.42,102.45,5602118.0,1,0,0
2016-02-16,104.2,105.18,103.08,104.49,4738171.0,1,0,0
2016-02-17,105.62,106.42,104.0,105.31,4708075.0,1,0,0
2016-02-18,105.45,106.0,103.22,103.52,4140333.0,1,0,0
2016-02-19,103.05,103.85,102.1,102.6,4765593.0,1,0,0
2016-02-22,104.21,104.6,102.4,104.57,4102947.0,1,0,0
2016-02-23,104.34,105.73,101.88,102.02,5099359.0,1,0,0
2016-02-24,100.69,102.59,99.91,102.07,5078660.0,1,0,0
2016-02-25,103.04,103.27,101.16,102.35,4661256.0,1,0,0
2016-02-26,103.1,104.35,102.54,103.37,3555118.0,1,0,0
2016-02-29,102.87,103.31,100.8,100.8,4534036.0,1,0,0
2016-03-01,101.83,105.0,100.72,105.0,4818060.0,1,0,0
2016-03-02,104.09,106.14,103.44,104.73,4437535.0,1,0,0
2016-03-03,104.08,104.35,102.48,102.73,3623763.0,1,0,0
2016-03-04,102.77,103.67,101.21,102.51,4866782.0,1,0,0
2016-03-07,101.69,104.99,101.56,104.25,3755399.0,1,0,0
2016-03-08,103.46,104.95,102.44,102.62,4675292.0,1,0,0
2016-03-09,102.87,103.24,99.64,101.04,6551949.0,1,0,0
2016-03-10,101.26,102.32,99.1,100.06,5577132.0,1,0,0
2016-03-11,101.26,102.03,99.12,101.85,6931288.0,1,0,0
2016-03-14,101.6,101.76,99.92,99.99,4834265.0,1,0,0
2016-03-15,99.41,99.6163,97.63,97.98,6748391.0,1,0,0
2016-03-16,97.26,98.6599,96.66,97.53,5041169.0,1,0,0
2016-03-17,97.04,97.71,94.39,96.71,8439415.0,1,0,0
2016-03-18,96.84,99.257,96.075,98.79,7890431.0,1,0,0
2016-03-21,98.15,101.76,98.09,101.14,5025854.0,1,0,0
2016-03-22,100.34,103.74,100.25,102.74,6013026.0,1,0,0
2016-03-23,102.7,102.87,99.48,99.94,4684991.0,1,0,0
2016-03-24,99.21,101.98,98.1,100.56,3494040.0,1,0,0
