Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,59.03,59.25,57.755,58.15,2864053.0,1,0,0
2016-01-05,58.09,58.65,57.81,58.08,1313794.0,1,0,0
2016-01-06,57.3,57.95,57.11,57.62,1462439.0,1,0,0
2016-01-07,57.31,58.84,57.22,57.67,2375894.0,1,0,0
2016-01-08,58.08,59.34,57.73,58.74,2820211.0,1,0,0
2016-01-11,58.97,59.48,56.55,57.26,2397932.0,1,0,0
2016-01-12,57.37,59.17,57.2008,59.15,1871796.0,1,0,0
2016-01-13,59.3,59.92,58.23,58.33,2380269.0,1,0,0
2016-01-14,58.53,58.75,57.52,58.18,1428553.0,1,0,0
2016-01-15,57.4,57.4,55.84,56.76,2227222.0,1,0,0
2016-01-19,57.36,57.76,56.02,56.4,2373569.0,1,0,0
2016-01-20,55.83,56.56,53.91,56.02,1969895.0,1,0,0
2016-01-21,56.11,56.61,55.11,55.81,1287462.0,1,0,0
2016-01-22,56.66,57.49,56.35,57.37,1396997.0,1,0,0
2016-01-25,56.96,57.26,56.02,56.18,1121972.0,1,0,0
2016-01-26,56.2,56.7,55.91,56.52,1321963.0,1,0,0
2016-01-27,56.59,57.411,55.97,56.3,1380972.0,1,0,0
2016-01-28,56.7,57.04,55.39,55.95,1939333.0,1,0,0
2016-01-29,56.24,58.02,56.02,57.97,1695079.0,1,0,0
2016-02-01,57.38,57.99,56.76,57.64,1300945.0,1,0,0
2016-02-02,56.83,57.17,55.91,56.64,1513291.0,1,0,0
2016-02-03,57.26,57.81,55.91,57.21,1322509.0,1,0,0
2016-02-04,57.19,59.07,57.05,58.5,2108181.0,1,0,0
2016-02-05,58.36,58.48,55.03,55.3,2140828.0,1,0,0
2016-02-08,54.89,54.97,52.9011,54.29,2209753.0,1,0,0
2016-02-09,53.64,54.67,53.39,53.71,2176742.0,1,0,0
2016-02-10,54.26,55.51,53.97,54.56,1599293.0,1,0,0
2016-02-11,53.58,54.33,53.46,53.95,1372156.0,1,0,0
2016-02-12,54.37,54.98,53.76,54.9,1583558.0,1,0,0
2016-02-16,55.39,56.01,55.0201,55.45,2429785.0,1,0,0
2016-02-17,50.1,53.5,49.87,52.81,15136025.0,1,0,0
2016-02-18,53.0,53.46,50.9,52.15,6836850.0,1,0,0
2016-02-19,51.82,52.26,50.37,51.46,4512616.0,1,0,0
2016-02-22,51.77,52.495,51.44,52.47,3737667.0,1,0,0
2016-02-23,51.11,51.4,50.22,50.67,3032834.0,1,0,0
2016-02-24,50.17,51.85,50.0,51.79,2765614.0,1,0,0
2016-02-25,51.87,52.115,51.09,51.36,1611308.0,1,0,0
2016-02-26,51.82,52.17,51.3,52.02,1703466.0,1,0,0
2016-02-29,51.84,52.16,51.05,51.06,1359145.0,1,0,0
2016-03-01,51.48,51.53,51.07,51.48,1994704.0,1,0,0
2016-03-02,51.18,51.85,50.66,51.3,2154566.0,1,0,0
2016-03-03,51.1,51.3,49.59,50.0,5357010.0,1,0,0
2016-03-04,50.21,52.15,49.9,51.65,4892444.0,1,0,0
2016-03-07,51.24,53.42,51.18,52.62,3466757.0,1,0,0
2016-03-08,52.57,53.78,52.22,52.8,3327382.0,1,0,0
2016-03-09,53.03,53.71,52.98,53.55,2536382.0,1,0,0
2016-03-10,53.65,54.45,52.83,53.4,2294437.0,1,0,0
2016-03-11,53.87,54.06,53.18,54.0,2140542.0,1,0,0
2016-03-14,54.0,54.65,53.15,53.29,1847372.0,1,0,0
2016-03-15,52.97,53.2,51.915,52.08,1771539.0,1,0,0
2016-03-16,52.03,53.04,51.86,52.65,1268334.0,1,0,0
2016-03-17,52.59,52.9,51.91,52.3,1460329.0,1,0,0
2016-03-18,52.53,53.6,52.42,53.46,2283639.0,1,0,0
2016-03-21,53.19,53.43,52.6996,53.14,1551693.0,1,0,0
2016-03-22,52.76,54.85,52.64,54.57,2577272.0,1,0,0
2016-03-23,54.54,54.55,52.22,52.66,3387634.0,1,0,0
2016-03-24,52.49,52.91,51.13,51.46,2770511.0,1,0,0
