Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,10:29:00,4.44,4.78,4.4,4.7,6641834.0,1.0,0.0,0.0
2016-01-04,11:29:00,4.7001,4.73,4.45,4.5764,6186718.0,1.0,0.0,0.0
2016-01-04,12:29:00,4.57,4.79,4.55,4.74,3605666.0,1.0,0.0,0.0
2016-01-04,13:29:00,4.74,4.88,4.68,4.76,4591550.0,1.0,0.0,0.0
2016-01-04,14:29:00,4.76,4.78,4.645,4.78,2631439.0,1.0,0.0,0.0
2016-01-04,15:29:00,4.7799,4.92,4.71,4.895,6923987.0,1.0,0.0,0.0
2016-01-05,09:59:00,4.9,4.98,4.84,4.96,12243301.0,1.0,0.0,0.0
2016-01-05,10:59:00,4.96,5.09,4.88,4.915,4486859.0,1.0,0.0,0.0
2016-01-05,11:59:00,4.9195,5.01,4.91,4.94,2412397.0,1.0,0.0,0.0
2016-01-05,12:59:00,4.9301,4.95,4.88,4.91,1464229.0,1.0,0.0,0.0
2016-01-05,13:59:00,4.91,4.96,4.86,4.9534,2073895.0,1.0,0.0,0.0
2016-01-05,14:59:00,4.95,5.03,4.9137,4.95,2336097.0,1.0,0.0,0.0
2016-01-05,15:59:00,4.95,5.02,4.945,5.01,3912591.0,1.0,0.0,0.0
2016-01-06,10:29:00,4.77,4.85,4.7,4.84,3498451.0,1.0,0.0,0.0
2016-01-06,11:29:00,4.83,4.8755,4.75,4.87,4688308.0,1.0,0.0,0.0
2016-01-06,12:29:00,4.875,4.875,4.75,4.79,3214245.0,1.0,0.0,0.0
2016-01-06,13:29:00,4.795,4.8399,4.75,4.8,2993971.0,1.0,0.0,0.0
2016-01-06,14:29:00,4.795,4.8299,4.76,4.76,3382477.0,1.0,0.0,0.0
2016-01-06,15:29:00,4.77,4.8199,4.6,4.6999,3176768.0,1.0,0.0,0.0
2016-01-07,09:59:00,4.6999,4.7,4.4,4.47,6881410.0,1.0,0.0,0.0
2016-01-07,10:59:00,4.47,4.595,4.36,4.585,5265779.0,1.0,0.0,0.0
2016-01-07,11:59:00,4.59,4.64,4.48,4.49,2401199.0,1.0,0.0,0.0
