Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,14:30:00,144.66899999999998,146.828,144.079,145.628,927199.1526999999,1.0,0.0,0.0
2016-01-05,13:02:00,145.638,148.09799999999998,145.048,145.428,1140246.379099999,1.0,0.0,0.0
2016-01-06,11:33:00,145.438,145.72799999999998,142.83,144.47899999999998,1035065.7800999994,1.0,0.0,0.0
2016-01-07,10:07:00,144.519,144.559,139.91,142.259,1037505.533399998,1.0,0.0,0.0
2016-01-07,15:17:00,142.32399999999998,142.929,140.19,141.46,902904.0272999987,1.0,0.0,0.0
2016-01-08,13:48:00,141.45,142.709,140.51,141.02,943535.055299998,1.0,0.0,0.0
2016-01-11,12:23:00,140.99,141.06,136.351,136.641,1245823.1585999986,1.0,0.0,0.0
2016-01-12,10:54:00,136.601,139.25,134.71200000000002,139.02,1495573.7719999987,1.0,0.0,0.0
2016-01-12,15:58:00,139.06,139.43,137.631,139.05,1269870.2690999992,1.0,0.0,0.0
2016-01-13,14:32:00,139.01,140.14,135.531,135.531,980986.7204,1.0,0.0,0.0
2016-01-14,13:03:00,135.52100000000002,138.67,134.871,138.061,1280422.2670000002,1.0,0.0,0.0
2016-01-15,11:35:00,138.12,139.13,133.042,135.481,1355333.6770000008,1.0,0.0,0.0
2016-01-19,10:12:00,135.42600000000002,139.21,134.561,139.053,1153325.5366000016,1.0,0.0,0.0
2016-01-19,15:13:00,138.985,141.39,138.7,139.47,981437.7935000022,1.0,0.0,0.0
2016-01-20,13:45:00,139.46,140.2,135.061,137.341,1346622.905800002,1.0,0.0,0.0
2016-01-21,12:15:00,137.30100000000002,142.649,137.251,140.87,1310989.9517999997,1.0,0.0,0.0
2016-01-22,10:45:00,140.905,141.34,137.811,138.415,1791836.2603000028,1.0,0.0,0.0
2016-01-22,15:48:00,138.37,139.15,136.401,137.811,1357971.3201999993,1.0,0.0,0.0
2016-01-25,14:27:00,137.842,138.96,136.311,137.171,652506.6575999977,1.0,0.0,0.0
2016-01-26,13:00:00,137.131,137.501,134.28799999999998,135.804,1323957.8639999998,1.0,0.0,0.0
2016-01-27,11:34:00,135.871,136.351,131.412,131.912,1399559.6333999992,1.0,0.0,0.0
