Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:32:00,20.19,20.19,19.77,19.84,125987.0,1.0,0.0,0.0
2016-01-04,09:35:00,19.906,20.0,19.85,19.98,22629.0,1.0,0.0,0.0
2016-01-04,09:38:00,19.97,20.0399,19.97,20.03,26360.0,1.0,0.0,0.0
2016-01-04,09:41:00,20.04,20.11,20.0,20.0099,17891.0,1.0,0.0,0.0
2016-01-04,09:44:00,20.0025,20.05,19.99,19.99,26322.0,1.0,0.0,0.0
2016-01-04,09:47:00,19.995,20.03,19.98,20.03,64227.0,1.0,0.0,0.0
2016-01-04,09:50:00,20.03,20.03,19.97,19.98,26160.0,1.0,0.0,0.0
2016-01-04,09:53:00,19.98,19.9901,19.97,19.97,24167.0,1.0,0.0,0.0
2016-01-04,09:56:00,19.98,19.99,19.97,19.97,29997.0,1.0,0.0,0.0
2016-01-04,09:59:00,19.97,20.03,19.96,19.99,26185.0,1.0,0.0,0.0
2016-01-04,10:02:00,20.0,20.01,19.94,19.945,46171.0,1.0,0.0,0.0
2016-01-04,10:05:00,19.945,19.99,19.93,19.93,33810.0,1.0,0.0,0.0
2016-01-04,10:08:00,19.93,19.985,19.91,19.975,44125.0,1.0,0.0,0.0
2016-01-04,10:11:00,19.98,19.985,19.95,19.95,26564.0,1.0,0.0,0.0
2016-01-04,10:14:00,19.96,20.06,19.96,20.06,39727.0,1.0,0.0,0.0
2016-01-04,10:17:00,20.05,20.105,20.04,20.105,12554.0,1.0,0.0,0.0
2016-01-04,10:20:00,20.095,20.14,20.07,20.135,18054.0,1.0,0.0,0.0
2016-01-04,10:23:00,20.13,20.14,20.06,20.08,43636.0,1.0,0.0,0.0
2016-01-04,10:26:00,20.08,20.1,20.075,20.08,14661.0,1.0,0.0,0.0
2016-01-04,10:29:00,20.09,20.1,20.06,20.09,35698.0,1.0,0.0,0.0
2016-01-04,10:32:00,20.09,20.1,20.06,20.07,35046.0,1.0,0.0,0.0
2016-01-04,10:35:00,20.06,20.07,20.04,20.05,68759.0,1.0,0.0,0.0
2016-01-04,10:38:00,20.05,20.06,19.995,20.02,32230.0,1.0,0.0,0.0
2016-01-04,10:41:00,20.02,20.02,19.97,19.99,25559.0,1.0,0.0,0.0
2016-01-04,10:44:00,19.98,20.095,19.97,20.09,31790.0,1.0,0.0,0.0
2016-01-04,10:47:00,20.1,20.1,20.05,20.08,42816.0,1.0,0.0,0.0
2016-01-04,10:50:00,20.08,20.1,20.06,20.075,30996.0,1.0,0.0,0.0
2016-01-04,10:53:00,20.075,20.075,20.04,20.04,65541.0,1.0,0.0,0.0
2016-01-04,10:56:00,20.04,20.07,20.02,20.0272,30388.0,1.0,0.0,0.0
2016-01-04,10:59:00,20.02,20.05,19.97,19.98,72844.0,1.0,0.0,0.0
2016-01-04,11:02:00,19.97,19.97,19.87,19.895,37828.0,1.0,0.0,0.0
2016-01-04,11:05:00,19.8999,19.9,19.85,19.85,16644.0,1.0,0.0,0.0
2016-01-04,11:08:00,19.85,19.88,19.835,19.8725,17958.0,1.0,0.0,0.0
2016-01-04,11:11:00,19.87,19.875,19.78,19.8,30249.0,1.0,0.0,0.0
2016-01-04,11:14:00,19.81,19.86,19.81,19.825,16079.0,1.0,0.0,0.0
2016-01-04,11:17:00,19.82,19.83,19.8,19.815,15856.0,1.0,0.0,0.0
2016-01-04,11:20:00,19.82,19.82,19.78,19.81,28546.0,1.0,0.0,0.0
