Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,65.002,65.0418,63.5658,63.7597,13114616.519000001,1,0,0.0
2016-01-11,62.9844,63.5112,61.7023,62.4278,9530658.981000002,1,0,0.0
2016-01-14,62.885,63.7497,62.2887,63.1235,9425804.657000002,1,0,0.0
2016-01-20,61.9905,64.1274,61.0184,62.07,18484005.299999993,1,0,0.0
2016-01-25,62.32,64.91,61.91,63.94,12724499.0,1,0,0.0
2016-01-28,63.5,65.55,63.32,65.02,11449582.0,1,0,0.0
2016-02-02,64.99,67.65,64.35,65.36,16029556.0,1,0,0.0
2016-02-05,65.84,66.32,65.0,66.2,9938747.0,1,0,0.0
2016-02-10,65.16,66.83,64.9301,65.81,10840243.0,1,0,0.0
2016-02-16,64.71,66.7,63.99,65.81,9378229.0,1,0,0.0
2016-02-19,66.12,67.48,65.96,67.45,7851572.0,1,0,0.0
2016-02-24,67.78,68.39,66.03,66.33,9184634.0,1,0,0.0
2016-02-29,66.61,67.53,65.61,65.63,8411425.0,1,0,0.0
2016-03-03,66.06,67.6,65.93,67.59,7257825.0,1,0,0.0
2016-03-08,67.42,68.33,66.86,67.53,6957053.0,1,0,0.0
2016-03-11,67.88,68.58,67.53,68.37,7616858.0,1,0,0.0
2016-03-16,68.34,68.82,67.7,68.7,6562907.0,1,0,0.0
2016-03-21,68.76,70.8699,68.55,70.43,13139339.0,1,0,0.0
2016-03-24,70.02,70.3,69.08,69.93,8465283.0,1,0,0.0
