Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,14:29:00,35.5486,35.8165,35.1616,35.1616,2111243.5461999993,1.0,0.0,0.0
2016-01-05,12:59:00,35.1716,35.4494,34.6854,35.4494,3336417.4754999964,1.0,0.0,0.0
2016-01-06,11:29:00,35.4494,35.7371,35.241,35.618,1463398.8199999984,1.0,0.0,0.0
2016-01-07,10:00:00,35.618,35.7867,35.2311,35.6875,1457271.7019999993,1.0,0.0,0.0
2016-01-07,15:00:00,35.6875,35.8066,35.4642,35.7173,1491157.717999998,1.0,0.0,0.0
2016-01-08,13:30:00,35.7173,36.1042,35.6726,36.0695,2597751.7679999988,1.0,0.0,0.0
2016-01-11,12:00:00,36.0645,36.134,35.7173,35.8859,2498737.768199998,1.0,0.0,0.0
2016-01-12,10:31:00,35.8859,35.9851,35.2212,35.4395,2085147.9499999988,1.0,0.0,0.0
2016-01-12,15:31:00,35.4395,35.6825,35.3661,35.6185,1671697.7409999957,1.0,0.0,0.0
2016-01-13,14:01:00,35.618,36.1042,35.6081,36.0645,1941295.8099999966,1.0,0.0,0.0
2016-01-14,12:31:00,36.0713,36.5705,35.6379,36.3026,3187153.3559999955,1.0,0.0,0.0
2016-01-15,11:01:00,36.3076,36.6648,35.7569,36.0546,2521171.1269999994,1.0,0.0,0.0
2016-01-19,09:31:00,36.0546,36.2232,35.5883,36.1538,2201825.3649999998,1.0,0.0,0.0
2016-01-19,14:31:00,36.1439,36.6796,36.0744,36.5804,2851847.6620000005,1.0,0.0,0.0
2016-01-20,13:01:00,36.5805,36.6995,35.2113,35.4494,2104480.601999999,1.0,0.0,0.0
2016-01-21,11:31:00,35.4494,35.9851,35.3105,35.6379,2210056.9989999966,1.0,0.0,0.0
2016-01-22,10:01:00,35.6379,36.005,35.3204,35.628,1963181.1349999947,1.0,0.0,0.0
2016-01-22,15:01:00,35.6379,36.3473,35.5287,36.1984,1537122.946,1.0,0.0,0.0
2016-01-25,13:31:00,36.2034,36.3721,35.9206,36.2133,1485319.0435000015,1.0,0.0,0.0
2016-01-26,12:01:00,36.2133,36.9624,35.9157,36.6201,1724225.060000001,1.0,0.0,0.0
2016-01-27,10:32:00,36.63,37.0666,36.4415,37.0517,2711218.196,1.0,0.0,0.0
2016-01-27,15:32:00,37.0566,37.3047,36.7392,36.9773,1862448.5859999983,1.0,0.0,0.0
2016-01-28,14:02:00,36.9773,37.9694,36.7491,37.9694,2097729.1840000027,1.0,0.0,0.0
2016-01-29,12:32:00,37.9595,38.7681,37.5726,38.6887,2943476.160000001,1.0,0.0,0.0
2016-02-01,11:02:00,38.6936,38.8326,38.3564,38.7334,2992355.8890000004,1.0,0.0,0.0
2016-02-02,09:32:00,38.7433,39.1302,38.6242,38.8524,2184754.467,1.0,0.0,0.0
2016-02-02,14:32:00,38.912,39.1898,38.6639,39.1203,1970447.901200004,1.0,0.0,0.0
2016-02-03,13:02:00,39.1203,39.78,39.0509,39.34,3219844.2400000026,1.0,0.0,0.31
2016-02-04,11:32:00,39.345,39.76,36.84,39.26,3636182.000000002,1.0,0.0,0.0
2016-02-05,10:02:00,39.26,39.6,38.63,39.12,2842862.000000002,1.0,0.0,0.0
2016-02-05,15:02:00,39.12,40.0,39.06,39.87,1338090.0000000019,1.0,0.0,0.0
2016-02-08,13:32:00,39.87,40.58,39.39,39.68,2441470.000000002,1.0,0.0,0.0
2016-02-09,12:02:00,39.68,40.21,39.53,39.79,3022214.000000002,1.0,0.0,0.0
2016-02-10,10:32:00,39.79,40.08,38.96,39.15,2403982.000000002,1.0,0.0,0.0
2016-02-10,15:32:00,39.15,39.76,39.06,39.58,2107800.000000002,1.0,0.0,0.0
2016-02-11,14:02:00,39.57,39.62,39.1,39.25,1720747.0000000019,1.0,0.0,0.0
2016-02-12,12:32:00,39.255,39.635,38.85,38.955,2520652.000000002,1.0,0.0,0.0
2016-02-16,11:02:00,38.96,39.36,38.63,38.95,2782974.000000002,1.0,0.0,0.0
2016-02-17,09:32:00,38.945,39.37,38.82,38.97,1801120.0000000019,1.0,0.0,0.0
2016-02-17,14:32:00,38.94,39.115,38.8,38.96,1697962.0000000019,1.0,0.0,0.0
2016-02-18,13:03:00,38.95,39.73,38.86,39.7266,1708161.0000000019,1.0,0.0,0.0
2016-02-19,11:33:00,39.7249,39.85,39.27,39.48,1714294.0000000019,1.0,0.0,0.0
2016-02-22,10:04:00,39.48,39.75,39.35,39.74,1361242.0000000019,1.0,0.0,0.0
2016-02-22,15:04:00,39.745,39.84,39.36,39.48,1107144.0000000019,1.0,0.0,0.0
2016-02-23,13:35:00,39.48,39.77,39.2,39.69,1364557.0000000019,1.0,0.0,0.0
2016-02-24,12:05:00,39.69,40.25,39.61,39.86,2707494.000000002,1.0,0.0,0.0
2016-02-25,10:36:00,39.855,40.63,39.84,40.35,1802267.0000000019,1.0,0.0,0.0
2016-02-25,15:36:00,40.35,40.79,40.31,40.52,1367628.0000000019,1.0,0.0,0.0
2016-02-26,14:06:00,40.515,40.62,39.4,39.59,1984128.0000000019,1.0,0.0,0.0
2016-02-29,12:36:00,39.58,39.89,39.32,39.74,1936203.0000000019,1.0,0.0,0.0
2016-03-01,11:06:00,39.74,39.89,39.27,39.28,1713497.0000000019,1.0,0.0,0.0
2016-03-02,09:36:00,39.27,39.69,38.7,38.725,1992911.0000000019,1.0,0.0,0.0
2016-03-02,14:36:00,38.7,39.39,38.29,39.17,1502212.0000000019,1.0,0.0,0.0
2016-03-03,13:07:00,39.175,39.56,38.78,39.2,1800818.0000000019,1.0,0.0,0.0
2016-03-04,11:37:00,39.2,40.06,39.14,39.86,2067029.0000000019,1.0,0.0,0.0
2016-03-07,10:07:00,39.868,40.48,39.845,40.28,2610525.000000002,1.0,0.0,0.0
2016-03-07,15:07:00,40.28,40.61,40.245,40.46,1233203.0000000019,1.0,0.0,0.0
2016-03-08,13:37:00,40.46,41.13,40.39,40.69,2264410.000000002,1.0,0.0,0.0
2016-03-09,12:07:00,40.7,41.15,40.62,40.965,2604830.000000002,1.0,0.0,0.0
2016-03-10,10:37:00,40.97,41.13,40.68,40.925,2244397.000000002,1.0,0.0,0.0
2016-03-10,15:37:00,40.93,41.16,40.63,41.0,1862861.0000000019,1.0,0.0,0.0
2016-03-11,14:07:00,41.0,41.32,40.79,40.99,1934744.0000000019,1.0,0.0,0.0
2016-03-14,12:37:00,40.99,41.19,40.7,40.94,1696534.0000000019,1.0,0.0,0.0
2016-03-15,11:07:00,40.95,41.16,40.77,41.13,1469730.0000000019,1.0,0.0,0.0
2016-03-16,09:37:00,41.13,41.175,40.69,40.69,1372881.0000000019,1.0,0.0,0.0
2016-03-16,14:37:00,40.69,41.43,40.595,41.31,1565670.0000000019,1.0,0.0,0.0
2016-03-17,13:07:00,41.32,41.7,41.25,41.65,3026538.000000002,1.0,0.0,0.0
2016-03-18,11:38:00,41.66,41.92,41.47,41.53,2285281.000000002,1.0,0.0,0.0
2016-03-21,10:08:00,41.53,41.62,40.825,41.235,1762363.0000000019,1.0,0.0,0.0
2016-03-21,15:08:00,41.23,41.6,41.09,41.32,1326363.0000000019,1.0,0.0,0.0
2016-03-22,13:38:00,41.3201,41.56,41.15,41.335,1256668.0000000019,1.0,0.0,0.0
2016-03-23,12:08:00,41.34,41.7,40.94,41.69,1311001.0000000019,1.0,0.0,0.0
2016-03-24,10:38:00,41.6999,41.8699,41.42,41.64,1814323.0000000019,1.0,0.0,0.0
2016-03-24,15:39:00,41.63,41.785,41.52,41.7199,618762.0000000019,1.0,0.0,0.0
