Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,17.6518,17.9215,15.6539,17.1723,45896640.81800001,1,0,0.0
2016-01-15,17.0624,17.1423,14.8547,16.3831,50966564.87,1,0,0.0
2016-01-25,16.512999999999998,19.7596,15.8037,18.391,59759987.86,1,0,0.0
2016-02-01,18.7906,20.87,18.5609,20.57,43786942.30500001,1,0,0.0
2016-02-08,20.17,22.25,19.79,20.9,53973939.00000001,1,0,0.0
2016-02-16,20.42,20.77,18.48,19.24,42656635.00000001,1,0,0.0
2016-02-23,19.41,21.94,18.4,19.26,90009620.0,1,0,0.0
2016-03-01,18.92,21.165,18.81,21.01,58821524.0,1,0,0.0
2016-03-08,20.86,22.7,20.77,21.36,48429887.0,1,0,0.0
2016-03-15,21.86,22.6,19.77,22.59,48114992.0,1,0,0.0
2016-03-22,22.6,23.31,21.41,21.78,30150944.0,1,0,0.0
