Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,89.82,89.83,87.81,88.31,644034.0,1,0,0
2016-01-05,88.58,89.24,88.09,88.43,429533.0,1,0,0
2016-01-06,87.31,88.8799,87.0,88.03,425735.0,1,0,0
2016-01-07,86.82,87.74,86.21,86.89,734341.0,1,0,0
2016-01-08,87.19,87.36,84.45,84.63,702805.0,1,0,0
2016-01-11,84.92,85.56,84.38,85.31,614096.0,1,0,0
2016-01-12,85.25,87.12,85.02,86.85,633922.0,1,0,0
2016-01-13,86.96,87.08,84.57,84.82,447172.0,1,0,0
2016-01-14,84.97,86.15,84.7,85.54,446688.0,1,0,0
2016-01-15,83.72,84.24,82.6,84.04,641244.0,1,0,0
2016-01-19,84.68,84.68,82.939,83.5,561626.0,1,0,0
2016-01-20,82.27,83.06,80.27,82.35,721887.0,1,0,0
2016-01-21,82.63,83.2,80.0,80.33,1306268.0,1,0,0
2016-01-22,81.36,82.95,81.05,82.44,748873.0,1,0,0
2016-01-25,82.27,82.67,81.69,81.86,512830.0,1,0,0
2016-01-26,82.02,83.13,81.99,82.86,647803.0,1,0,0
2016-01-27,82.93,83.715,82.42,82.79,662423.0,1,0,0
2016-01-28,83.31,83.78,82.75,83.14,727968.0,1,0,0
2016-01-29,83.57,85.98,83.47,85.84,679577.0,1,0,0
2016-02-01,85.42,86.725,84.985,86.1,685844.0,1,0,0
2016-02-02,85.59,86.27,84.86,85.25,847661.0,1,0,0
2016-02-03,86.43,86.98,83.89,84.74,862260.0,1,0,0
2016-02-04,84.85,85.39,84.49,85.17,597293.0,1,0,0
2016-02-05,84.27,85.29,82.9,83.31,732268.0,1,0,0
2016-02-08,82.8,83.09,81.2,82.64,603548.0,1,0,0
2016-02-09,81.99,84.25,81.79,83.5,540063.0,1,0,0
2016-02-10,83.85,84.99,83.12,83.28,423092.0,1,0,0
2016-02-11,82.0,82.92,81.31,82.13,328177.0,1,0,0
2016-02-12,83.12,83.56,81.86,83.0,546674.0,1,0,0
2016-02-16,84.14,84.21,83.025,83.99,488701.0,1,0,0
2016-02-17,80.3,83.65,80.22,83.595,1158909.0,1,0,0
2016-02-18,83.86,84.09,82.77,83.07,424878.0,1,0,0
2016-02-19,82.61,83.75,81.91,83.36,593985.0,1,0,0
2016-02-22,84.09,84.88,83.8,84.64,423214.0,1,0,0
2016-02-23,84.49,84.69,83.63,83.98,355104.0,1,0,0
2016-02-24,83.33,84.33,82.805,84.21,376917.0,1,0,0
2016-02-25,84.56,84.78,83.7,84.78,399877.0,1,0,0
2016-02-26,85.0,85.02,84.26,84.86,347422.0,1,0,0
2016-02-29,84.84,85.2,83.97,83.99,345833.0,1,0,0
2016-03-01,84.64,86.05,84.27,85.96,371743.0,1,0,0
2016-03-02,85.67,86.15,85.09,86.07,423628.0,1,0,0
2016-03-03,85.98,86.82,85.36,86.72,324313.0,1,0,0
2016-03-04,86.75,87.55,86.28,87.0,759365.0,1,0,0
2016-03-07,86.7,88.41,86.5,87.93,573053.0,1,0,0
2016-03-08,87.43,88.33,86.79,87.65,381489.0,1,0,0
2016-03-09,87.93,88.4375,86.65,87.24,535529.0,1,0,0
2016-03-10,87.75,88.43,87.01,87.78,412292.0,1,0,0
2016-03-11,88.4,89.12,87.74,89.06,408738.0,1,0,0
2016-03-14,88.89,89.73,88.36,89.49,542055.0,1,0,0
2016-03-15,88.66,89.83,88.4,89.63,459468.0,1,0,0
2016-03-16,89.49,90.17,88.86,89.82,393144.0,1,0,0
2016-03-17,89.95,90.33,89.4101,90.0,686608.0,1,0,0
2016-03-18,90.16,90.73,89.6,90.5,692726.0,1,0,0
2016-03-21,90.12,90.42,89.51,90.18,795706.0,1,0,0
2016-03-22,90.42,90.52,89.54,90.37,652785.0,1,0,0
2016-03-23,91.0,91.31,85.86,86.28,1896227.0,1,0,0
2016-03-24,86.24,87.96,85.94,87.52,1085365.0,1,0,0
