Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,11:29:00,58.8,58.81,57.75,57.9085,1226653.0,1.0,0.0,0.0
2016-01-04,13:29:00,57.9,58.24,57.84,58.07,1136647.0,1.0,0.0,0.0
2016-01-04,15:29:00,58.07,58.13,57.47,57.535,1306581.0,1.0,0.0,0.0
2016-01-05,10:59:00,57.54,58.675,57.54,58.54,1878975.0,1.0,0.0,0.0
2016-01-05,12:59:00,58.53,58.59,57.97,58.19,584334.0,1.0,0.0,0.0
2016-01-05,14:59:00,58.19,58.65,58.08,58.45,588332.0,1.0,0.0,0.0
2016-01-06,10:29:00,58.45,58.45,56.6,57.633,2282074.0,1.0,0.0,0.0
2016-01-06,12:29:00,57.63,57.885,57.41,57.63,981399.0,1.0,0.0,0.0
2016-01-06,14:29:00,57.62,57.7599,57.12,57.29,636736.0,1.0,0.0,0.0
2016-01-07,09:59:00,57.28,57.32,55.53,56.75,2719336.0,1.0,0.0,0.0
2016-01-07,11:59:00,56.75,57.95,56.45,57.55,1760906.0,1.0,0.0,0.0
2016-01-07,13:59:00,57.54,57.79,56.53,56.76,887569.0,1.0,0.0,0.0
2016-01-07,15:59:00,56.74,57.17,56.54,56.64,1569421.0,1.0,0.0,0.0
2016-01-08,11:29:00,56.91,56.91,56.1702,56.24,1764260.0,1.0,0.0,0.0
2016-01-08,13:29:00,56.24,56.52,55.98,56.17,959660.0,1.0,0.0,0.0
2016-01-08,15:29:00,56.16,56.35,56.02,56.05,721002.0,1.0,0.0,0.0
2016-01-11,10:59:00,56.06,56.52,55.7,55.8,1808737.0,1.0,0.0,0.0
2016-01-11,12:59:00,55.77,56.02,55.66,55.89,981632.0,1.0,0.0,0.0
2016-01-11,14:59:00,55.88,56.0091,55.58,56.0,977373.0,1.0,0.0,0.0
2016-01-12,10:29:00,55.99,59.15,55.755,58.28,3820554.0,1.0,0.0,0.0
2016-01-12,12:29:00,58.28,59.38,58.24,59.285,2102583.0,1.0,0.0,0.0
2016-01-12,14:29:00,59.285,59.37,58.79,59.0,1288935.0,1.0,0.0,0.0
2016-01-13,09:59:00,59.0,59.92,58.98,59.34,2736000.0,1.0,0.0,0.0
2016-01-13,11:59:00,59.34,59.95,59.16,59.23,1551121.0,1.0,0.0,0.0
2016-01-13,13:59:00,59.23,59.39,58.01,58.035,1315023.0,1.0,0.0,0.0
2016-01-13,15:59:00,58.05,58.15,57.38,57.78,2661813.0,1.0,0.0,0.0
2016-01-14,11:29:00,58.17,60.57,58.0,59.71,3230598.0,1.0,0.0,0.0
2016-01-14,13:29:00,59.72,61.085,59.64,60.98,1700425.0,1.0,0.0,0.0
2016-01-14,15:29:00,60.99,61.0,60.2401,60.56,1571485.0,1.0,0.0,0.0
2016-01-15,10:59:00,60.56,60.58,57.8,58.65,3098716.0,1.0,0.0,0.0
2016-01-15,12:59:00,58.65,58.99,57.9864,58.3,1217510.0,1.0,0.0,0.0
2016-01-15,14:59:00,58.3,58.8799,58.06,58.85,843842.0,1.0,0.0,0.0
2016-01-19,10:29:00,58.86,59.6299,58.31,58.82,2841799.0,1.0,0.0,0.0
2016-01-19,12:29:00,58.82,59.18,58.37,59.15,2029194.0,1.0,0.0,0.0
2016-01-19,14:29:00,59.14,59.45,58.88,59.29,1311029.0,1.0,0.0,0.0
2016-01-20,09:59:00,59.3,60.24,58.44,58.61,3443170.0,1.0,0.0,0.0
2016-01-20,11:59:00,58.61,59.2,58.39,58.65,1730813.0,1.0,0.0,0.0
2016-01-20,13:59:00,58.64,58.94,58.03,58.83,1314329.0,1.0,0.0,0.0
2016-01-20,15:59:00,58.82,59.9401,58.43,59.26,2338913.0,1.0,0.0,0.0
2016-01-21,11:29:00,59.48,59.81,58.63,59.61,1298418.0,1.0,0.0,0.0
2016-01-21,13:29:00,59.6,60.16,59.51,59.54,1102172.0,1.0,0.0,0.0
2016-01-21,15:29:00,59.5401,59.745,58.99,59.2596,1099474.0,1.0,0.0,0.0
2016-01-22,10:59:00,59.25,60.45,59.04,59.68,2222021.0,1.0,0.0,0.0
2016-01-22,12:59:00,59.68,59.94,59.34,59.8701,926175.0,1.0,0.0,0.0
2016-01-22,14:59:00,59.8775,60.64,59.805,60.6,1343131.0,1.0,0.0,0.0
2016-01-25,10:29:00,60.59,61.26,60.16,61.13,2154334.0,1.0,0.0,0.0
2016-01-25,12:29:00,61.135,61.34,60.815,61.225,1889587.0,1.0,0.0,0.0
2016-01-25,14:29:00,61.22,61.805,61.13,61.65,1426855.0,1.0,0.0,0.0
2016-01-26,09:59:00,61.66,61.66,60.66,60.91,2816098.0,1.0,0.0,0.0
2016-01-26,11:59:00,60.92,62.075,60.86,61.83,1177117.0,1.0,0.0,0.0
2016-01-26,13:59:00,61.83,62.11,61.76,61.875,649476.0,1.0,0.0,0.0
2016-01-26,15:59:00,61.87,62.0324,61.6201,61.9399,2522202.0,1.0,0.0,0.0
2016-01-27,11:29:00,61.74,62.59,61.61,62.06,1271214.0,1.0,0.0,0.0
2016-01-27,13:29:00,62.04,62.59,62.015,62.1,850113.0,1.0,0.0,0.0
2016-01-27,15:29:00,62.09,62.33,60.62,60.851000000000006,1639170.0,1.0,0.0,0.0
2016-01-28,10:59:00,60.87,61.84,60.73,61.62,1659173.0,1.0,0.0,0.0
2016-01-28,12:59:00,61.625,62.26,61.47,61.71,1468952.0,1.0,0.0,0.0
2016-01-28,14:59:00,61.7,61.81,61.27,61.35,717532.0,1.0,0.0,0.0
2016-01-29,10:29:00,61.34,62.87,61.19,62.69,1529502.0,1.0,0.0,0.0
2016-01-29,12:29:00,62.69,63.43,62.62,63.33,831473.0,1.0,0.0,0.0
2016-01-29,14:29:00,63.34,63.37,62.78,62.96,706250.0,1.0,0.0,0.0
2016-02-01,09:59:00,62.96,63.31,62.17,62.46,2245992.0,1.0,0.0,0.0
2016-02-01,11:59:00,62.45,62.91,62.07,62.58,1100755.0,1.0,0.0,0.0
2016-02-01,13:59:00,62.57,62.61,62.12,62.41,594256.0,1.0,0.0,0.0
2016-02-01,15:59:00,62.41,62.66,62.29,62.33,1494297.0,1.0,0.0,0.0
2016-02-02,11:29:00,61.04,61.21,60.44,60.8,1860661.0,1.0,0.0,0.0
2016-02-02,13:29:00,60.79,60.95,60.115,60.38,1195744.0,1.0,0.0,0.0
2016-02-02,15:29:00,60.39,60.39,59.78,60.15,1246534.0,1.0,0.0,0.0
2016-02-03,10:59:00,60.15,61.02,59.63,60.04,1877290.0,1.0,0.0,0.0
2016-02-03,12:59:00,60.04,60.53,59.55,59.93,789078.0,1.0,0.0,0.0
2016-02-03,14:59:00,59.95,60.87,59.51,60.8101,811814.0,1.0,0.0,0.0
2016-02-04,10:29:00,60.82,61.01,59.1399,59.6,2026333.0,1.0,0.0,0.0
2016-02-04,12:29:00,59.63,59.81,59.1,59.5,1396092.0,1.0,0.0,0.0
2016-02-04,14:29:00,59.51,59.75,59.13,59.24,1213673.0,1.0,0.0,0.0
2016-02-05,09:59:00,59.25,59.72,58.63,58.67,2343766.0,1.0,0.0,0.0
2016-02-05,11:59:00,58.68,58.87,58.03,58.17,2247300.0,1.0,0.0,0.0
2016-02-05,13:59:00,58.17,58.77,57.95,58.7,1579652.0,1.0,0.0,0.0
2016-02-05,15:59:00,58.7,58.96,58.21,58.54,2612661.0,1.0,0.0,0.0
2016-02-08,11:29:00,55.0,55.44,53.41,54.86,5392021.0,1.0,0.0,0.0
2016-02-08,13:29:00,54.84,54.87,54.09,54.66,1801695.0,1.0,0.0,0.0
2016-02-08,15:29:00,54.65,54.7,53.04,53.57,2295733.0,1.0,0.0,0.0
2016-02-09,10:59:00,53.57,54.2,52.035,52.53,4364349.0,1.0,0.0,0.0
2016-02-09,12:59:00,52.5399,53.37,51.895,51.97,1310121.0,1.0,0.0,0.0
2016-02-09,14:59:00,51.97,52.77,51.22,52.68,2488541.0,1.0,0.0,0.0
2016-02-10,10:29:00,52.68,54.21,52.2499,53.975,3333590.0,1.0,0.0,0.0
2016-02-10,12:29:00,53.98,54.29,53.38,53.82,1386390.0,1.0,0.0,0.0
2016-02-10,14:29:00,53.81,54.16,53.708,53.99,1077516.0,1.0,0.0,0.0
2016-02-11,09:59:00,53.98,54.11,51.94,52.65,2803032.0,1.0,0.0,0.0
2016-02-11,11:59:00,52.65,52.85,51.9,51.99,1424126.0,1.0,0.0,0.0
2016-02-11,13:59:00,51.99,52.24,51.63,51.7,1054217.0,1.0,0.0,0.0
2016-02-11,15:59:00,51.7,52.425,51.32,52.11,1984011.0,1.0,0.0,0.0
2016-02-12,11:29:00,53.39,53.72,52.51,53.6,1409147.0,1.0,0.0,0.0
2016-02-12,13:29:00,53.61,53.69,53.215,53.361000000000004,733892.0,1.0,0.0,0.0
2016-02-12,15:29:00,53.37,53.8599,53.33,53.79,909779.0,1.0,0.0,0.0
2016-02-16,10:59:00,53.78,54.91,53.57,54.23,1888741.0,1.0,0.0,0.0
2016-02-16,12:59:00,54.22,54.775,54.07,54.76,663355.0,1.0,0.0,0.0
2016-02-16,14:59:00,54.75,55.21,54.725,54.86,1427701.0,1.0,0.0,0.0
2016-02-17,10:29:00,54.87,56.28,54.79,56.28,2237435.0,1.0,0.0,0.0
2016-02-17,12:29:00,56.28,56.47,56.0,56.21,1564078.0,1.0,0.0,0.0
2016-02-17,14:29:00,56.22,56.84,56.215,56.76,1421644.0,1.0,0.0,0.0
2016-02-18,09:59:00,56.75,57.27,56.39,56.82,2414580.0,1.0,0.0,0.0
2016-02-18,11:59:00,56.8,56.8,55.92,56.15,1121835.0,1.0,0.0,0.0
2016-02-18,13:59:00,56.15,56.22,55.9,55.95,940307.0,1.0,0.0,0.0
2016-02-18,15:59:00,55.95,56.21,55.87,56.02,1679340.0,1.0,0.0,0.0
2016-02-19,11:29:00,55.4,55.94,55.1,55.56,1905279.0,1.0,0.0,0.0
2016-02-19,13:29:00,55.57,55.67,55.07,55.54,835566.0,1.0,0.0,0.0
2016-02-19,15:29:00,55.54,56.03,55.51,55.88,1090402.0,1.0,0.0,0.0
2016-02-22,10:59:00,55.885,57.41,55.77,56.6,1672844.0,1.0,0.0,0.0
2016-02-22,12:59:00,56.59,56.8,56.34,56.52,715365.0,1.0,0.0,0.0
2016-02-22,14:59:00,56.53,56.705,56.37,56.571000000000005,738009.0,1.0,0.0,0.0
2016-02-23,10:29:00,56.58,56.75,56.195,56.54,1558994.0,1.0,0.0,0.0
2016-02-23,12:29:00,56.535,56.61,56.1,56.22,794415.0,1.0,0.0,0.0
2016-02-23,14:29:00,56.22,56.239,55.96,56.09,707006.0,1.0,0.0,0.0
2016-02-24,09:59:00,56.09,56.15,54.73,54.83,1114977.0,1.0,0.0,0.0
2016-02-24,11:59:00,54.83,55.36,54.53,55.3,832535.0,1.0,0.0,0.0
2016-02-24,13:59:00,55.3,55.51,55.05,55.331,679600.0,1.0,0.0,0.0
2016-02-24,15:59:00,55.34,56.33,55.3301,56.19,1059786.0,1.0,0.0,0.0
2016-02-25,11:29:00,56.56,56.63,55.56,56.14,829838.0,1.0,0.0,0.0
2016-02-25,13:29:00,56.14,56.65,56.0,56.63,511858.0,1.0,0.0,0.0
2016-02-25,15:29:00,56.64,57.0,56.56,56.92,924402.0,1.0,0.0,0.0
2016-02-26,10:59:00,56.92,57.8,56.89,57.56,1367295.0,1.0,0.0,0.0
2016-02-26,12:59:00,57.56,57.6399,56.93,57.32,1037416.0,1.0,0.0,0.0
2016-02-26,14:59:00,57.32,57.4,56.87,57.0525,671526.0,1.0,0.0,0.0
2016-02-29,10:29:00,57.06,57.3799,56.66,57.28,1206004.0,1.0,0.0,0.0
2016-02-29,12:29:00,57.28,57.5,57.06,57.38,782148.0,1.0,0.0,0.0
2016-02-29,14:29:00,57.39,57.47,57.14,57.44,954355.0,1.0,0.0,0.0
2016-03-01,09:59:00,57.44,57.87,56.96,57.585,1938515.0,1.0,0.0,0.0
2016-03-01,11:59:00,57.59,58.395,57.59,58.24,1198005.0,1.0,0.0,0.0
2016-03-01,13:59:00,58.245,58.425,57.96,57.995,1358385.0,1.0,0.0,0.0
2016-03-01,15:59:00,57.99,58.22,57.66,58.21,2162410.0,1.0,0.0,0.0
2016-03-02,11:29:00,58.21,58.25,57.43,57.8499,1837815.0,1.0,0.0,0.0
2016-03-02,13:29:00,57.85,57.87,57.48,57.62,767147.0,1.0,0.0,0.0
2016-03-02,15:29:00,57.62,57.665,57.24,57.4,911620.0,1.0,0.0,0.0
2016-03-03,10:59:00,57.41,58.0,57.14,57.141000000000005,1370497.0,1.0,0.0,0.0
2016-03-03,12:59:00,57.16,57.31,56.7301,57.2901,785296.0,1.0,0.0,0.0
2016-03-03,14:59:00,57.295,57.72,57.13,57.6501,1096794.0,1.0,0.0,0.0
2016-03-04,10:29:00,57.66,58.36,57.424,57.93,1653703.0,1.0,0.0,0.0
2016-03-04,12:29:00,57.93,58.27,57.7801,58.04,805258.0,1.0,0.0,0.0
2016-03-04,14:29:00,58.04,58.4,57.97,58.16,557940.0,1.0,0.0,0.0
2016-03-07,09:59:00,58.16,58.169,56.55,56.57,1546001.0,1.0,0.0,0.0
2016-03-07,11:59:00,56.58,57.29,56.46,57.01,1049980.0,1.0,0.0,0.0
2016-03-07,13:59:00,57.01,57.21,56.78,56.9601,808730.0,1.0,0.0,0.0
2016-03-07,15:59:00,56.96,57.13,56.63,56.99,1446019.0,1.0,0.0,0.0
2016-03-08,11:29:00,56.41,56.59,55.78,56.11,1148692.0,1.0,0.0,0.0
2016-03-08,13:29:00,56.12,56.48,56.04,56.46,583144.0,1.0,0.0,0.0
2016-03-08,15:29:00,56.47,56.595,55.91,55.93,851067.0,1.0,0.0,0.0
2016-03-09,10:59:00,55.93,56.24,55.66,55.8,1577144.0,1.0,0.0,0.0
2016-03-09,12:59:00,55.795,56.0799,55.7,55.785,518681.0,1.0,0.0,0.0
2016-03-09,14:59:00,55.775,56.07,55.715,55.9301,815440.0,1.0,0.0,0.0
2016-03-10,10:29:00,55.93,56.98,55.87,56.35,1354523.0,1.0,0.0,0.0
2016-03-10,12:29:00,56.33,56.35,55.091,55.14,1191262.0,1.0,0.0,0.0
2016-03-10,14:29:00,55.15,55.19,54.6499,55.14,1086354.0,1.0,0.0,0.0
2016-03-11,09:59:00,55.15,56.19,55.02,55.93,2504605.0,1.0,0.0,0.0
2016-03-11,11:59:00,55.93,56.7699,55.62,56.7,1681890.0,1.0,0.0,0.0
2016-03-11,13:59:00,56.71,56.85,56.34,56.82,998733.0,1.0,0.0,0.0
2016-03-11,15:59:00,56.82,57.08,56.7,56.97,1199122.0,1.0,0.0,0.0
