Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:36:00,74.4,74.4595,73.0101,73.28,73460.0,1.0,0.0,0.0
2016-01-04,09:43:00,73.29,73.47,72.61,73.14,38836.0,1.0,0.0,0.0
2016-01-04,09:50:00,73.0642,73.098,72.74,72.88,33521.0,1.0,0.0,0.0
2016-01-04,09:57:00,72.88,73.07,72.87,72.93,36570.0,1.0,0.0,0.0
2016-01-04,10:04:00,72.93,72.93,72.56,72.65,24339.0,1.0,0.0,0.0
2016-01-04,10:11:00,72.58,72.84,72.51,72.52,21108.0,1.0,0.0,0.0
2016-01-04,10:18:00,72.55,72.7,72.3701,72.495,27389.0,1.0,0.0,0.0
2016-01-04,10:25:00,72.49,72.78,72.3004,72.36,31149.0,1.0,0.0,0.0
2016-01-04,10:32:00,72.38,72.54,72.29,72.36,19551.0,1.0,0.0,0.0
2016-01-04,10:39:00,72.37,72.6,72.28,72.58,19603.0,1.0,0.0,0.0
2016-01-04,10:46:00,72.58,72.73,72.47,72.64,22129.0,1.0,0.0,0.0
2016-01-04,10:53:00,72.66,72.71,72.58,72.6,28872.0,1.0,0.0,0.0
2016-01-04,11:00:00,72.6,72.6862,72.38,72.465,24881.0,1.0,0.0,0.0
2016-01-04,11:07:00,72.5,72.5899,72.36,72.36,31685.0,1.0,0.0,0.0
2016-01-04,11:14:00,72.35,72.56,72.21,72.53,19106.0,1.0,0.0,0.0
2016-01-04,11:21:00,72.56,72.59,72.44,72.45,9974.0,1.0,0.0,0.0
2016-01-04,11:28:00,72.49,72.92,72.49,72.84,38268.0,1.0,0.0,0.0
2016-01-04,11:35:00,72.82,73.03,72.76,72.94,12051.0,1.0,0.0,0.0
2016-01-04,11:42:00,72.92,73.16,72.86,73.09,15302.0,1.0,0.0,0.0
2016-01-04,11:49:00,73.08,73.3,73.05,73.25,26689.0,1.0,0.0,0.0
2016-01-04,11:56:00,73.23,73.33,73.17,73.28,13169.0,1.0,0.0,0.0
2016-01-04,12:03:00,73.32,73.32,73.05,73.1,11980.0,1.0,0.0,0.0
2016-01-04,12:10:00,73.08,73.31,73.02,73.14,9096.0,1.0,0.0,0.0
2016-01-04,12:17:00,73.155,73.16,72.95,73.06,9271.0,1.0,0.0,0.0
2016-01-04,12:24:00,73.08,73.13,72.97,73.06,13769.0,1.0,0.0,0.0
2016-01-04,12:31:00,73.05,73.38,72.98,73.27,16625.0,1.0,0.0,0.0
2016-01-04,12:38:00,73.23,73.62,73.22,73.62,24322.0,1.0,0.0,0.0
2016-01-04,12:46:00,73.62,73.86,73.54,73.79,17341.0,1.0,0.0,0.0
2016-01-04,12:53:00,73.79,74.01,73.72,74.01,20927.0,1.0,0.0,0.0
2016-01-04,13:00:00,74.02,74.02,73.83,73.89,17192.0,1.0,0.0,0.0
2016-01-04,13:07:00,73.91,74.01,73.82,73.98,16098.0,1.0,0.0,0.0
2016-01-04,13:14:00,74.02,74.18,73.99,74.01,21816.0,1.0,0.0,0.0
2016-01-04,13:21:00,74.03,74.25,74.03,74.12,21866.0,1.0,0.0,0.0
2016-01-04,13:28:00,74.1,74.21,74.0284,74.16,14919.0,1.0,0.0,0.0
2016-01-04,13:35:00,74.19,74.31,74.11,74.26,17308.0,1.0,0.0,0.0
2016-01-04,13:42:00,74.26,74.2601,74.09,74.21,12632.0,1.0,0.0,0.0
2016-01-04,13:49:00,74.21,74.22,74.0,74.02,13415.0,1.0,0.0,0.0
2016-01-04,13:56:00,74.02,74.1,73.9601,74.0,13948.0,1.0,0.0,0.0
2016-01-04,14:03:00,74.01,74.01,73.6593,73.77,22693.0,1.0,0.0,0.0
2016-01-04,14:10:00,73.78,73.78,73.58,73.6549,19907.0,1.0,0.0,0.0
2016-01-04,14:17:00,73.64,73.7,73.6,73.63,16710.0,1.0,0.0,0.0
2016-01-04,14:24:00,73.63,73.9499,73.63,73.86,16229.0,1.0,0.0,0.0
2016-01-04,14:31:00,73.86,73.89,73.66,73.68,14066.0,1.0,0.0,0.0
2016-01-04,14:38:00,73.64,73.68,73.44,73.6,20496.0,1.0,0.0,0.0
2016-01-04,14:45:00,73.63,73.69,73.55,73.649,17018.0,1.0,0.0,0.0
2016-01-04,14:52:00,73.6,73.6375,73.42,73.43,23698.0,1.0,0.0,0.0
2016-01-04,14:59:00,73.45,73.58,73.37,73.58,24272.0,1.0,0.0,0.0
2016-01-04,15:06:00,73.586,73.586,73.35,73.37,18015.0,1.0,0.0,0.0
