Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,14:29:00,64.8899,64.9694,62.9823,63.0121,2958271.506999999,1.0,0.0,0.0
2016-01-05,12:59:00,63.0021,63.5188,61.9092,63.2803,6287871.010000003,1.0,0.0,0.0
2016-01-06,11:29:00,63.2803,63.8765,62.5849,62.8236,5003446.110000011,1.0,0.0,0.0
2016-01-07,09:59:00,62.8531,63.0717,61.6708,62.2272,5136741.880000006,1.0,0.0,0.0
2016-01-07,14:59:00,62.2272,62.3663,60.6971,60.9256,4424967.969999997,1.0,0.0,0.0
2016-01-08,13:29:00,60.9256,62.3563,60.3294,61.4919,5217869.389999998,1.0,0.0,0.0
2016-01-11,11:59:00,61.5019,61.7204,59.157,59.5546,4633070.510000005,1.0,0.0,0.0
2016-01-12,10:29:00,59.5644,59.6041,58.2529,58.3821,4477190.55000001,1.0,0.0,0.0
2016-01-12,15:29:00,58.3721,58.6702,57.4779,58.2926,2865087.0000000102,1.0,0.0,0.0
2016-01-13,14:00:00,58.2926,58.6503,56.8222,57.3984,3766410.184000011,1.0,0.0,0.0
2016-01-14,12:30:00,57.4167,57.5574,55.6398,56.5042,3786592.600000006,1.0,0.0,0.0
2016-01-15,11:00:00,56.4963,57.5077,54.9095,54.9841,3039580.955000003,1.0,0.0,0.0
2016-01-19,09:30:00,54.994,55.0635,53.5841,54.4177,5666541.500000006,1.0,0.0,0.0
2016-01-19,14:30:00,54.4475,54.4773,52.361000000000004,52.4703,4191336.9600000014,1.0,0.0,0.0
2016-01-20,13:00:00,52.4604,53.1211,50.5527,51.1191,4975809.359999994,1.0,0.0,0.0
2016-01-21,11:30:00,51.0992,52.8379,50.8707,51.6755,4760298.359999989,1.0,0.0,0.0
2016-01-22,10:00:00,51.6655,54.8946,51.6059,54.1892,4136321.0299999947,1.0,0.0,0.0
2016-01-22,15:00:00,54.1395,54.527,53.3695,54.376999999999995,2689649.8299999954,1.0,0.0,0.0
2016-01-25,13:30:00,54.3779,54.5668,53.1857,53.9905,2728253.5519999927,1.0,0.0,0.0
2016-01-26,12:00:00,53.9905,54.07,51.8046,53.3049,3535924.891999992,1.0,0.0,0.0
2016-01-27,10:30:00,53.2852,53.5931,52.2716,52.3114,2418286.658899992,1.0,0.0,0.0
2016-01-27,15:30:00,52.3114,53.6725,51.5562,51.7351,3142216.7699999954,1.0,0.0,0.0
2016-01-28,14:00:00,51.7252,52.1524,50.5825,51.283,3604700.8689999897,1.0,0.0,0.0
