Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:36:00,75.78,75.78,74.8,74.81,231851.0,1.0,0.0,0.0
2016-01-04,09:43:00,74.82,75.92,74.77,75.79,183587.0,1.0,0.0,0.0
2016-01-04,09:50:00,75.77,75.84,74.98,75.21,140136.0,1.0,0.0,0.0
2016-01-04,09:57:00,75.21,75.51,75.16,75.23,57721.0,1.0,0.0,0.0
2016-01-04,10:04:00,75.23,75.26,74.86,74.96,89486.0,1.0,0.0,0.0
2016-01-04,10:11:00,74.91,74.97,74.64,74.89,68018.0,1.0,0.0,0.0
2016-01-04,10:18:00,74.89,75.19,74.88,75.19,63304.0,1.0,0.0,0.0
2016-01-04,10:25:00,75.167,75.44,75.07,75.25,46913.0,1.0,0.0,0.0
2016-01-04,10:32:00,75.24,75.37,75.14,75.26,44692.0,1.0,0.0,0.0
2016-01-04,10:39:00,75.25,75.3,75.07,75.19,53187.0,1.0,0.0,0.0
2016-01-04,10:46:00,75.18,75.32,75.11,75.2,34629.0,1.0,0.0,0.0
2016-01-04,10:53:00,75.193,75.28,75.06,75.06,35637.0,1.0,0.0,0.0
2016-01-04,11:00:00,75.07,75.17,75.04,75.0796,37964.0,1.0,0.0,0.0
2016-01-04,11:07:00,75.05,75.13,74.92,74.93,54192.0,1.0,0.0,0.0
2016-01-04,11:14:00,74.93,75.01,74.82,74.95,66156.0,1.0,0.0,0.0
2016-01-04,11:21:00,74.94,75.0028,74.91,74.93,40480.0,1.0,0.0,0.0
2016-01-04,11:28:00,74.92,75.09,74.89,74.99,36594.0,1.0,0.0,0.0
2016-01-04,11:35:00,74.99,75.01,74.85,74.95,59556.0,1.0,0.0,0.0
2016-01-04,11:42:00,74.9594,74.9594,74.82,74.94,24112.0,1.0,0.0,0.0
2016-01-04,11:49:00,74.93,75.01,74.79,75.01,25371.0,1.0,0.0,0.0
2016-01-04,11:56:00,75.008,75.12,74.99,75.1068,36378.0,1.0,0.0,0.0
2016-01-04,12:03:00,75.1,75.14,75.03,75.11,26215.0,1.0,0.0,0.0
2016-01-04,12:10:00,75.1,75.2,75.02,75.12,32372.0,1.0,0.0,0.0
2016-01-04,12:17:00,75.14,75.157,75.06,75.1355,32641.0,1.0,0.0,0.0
2016-01-04,12:24:00,75.12,75.14,74.95,75.0275,39989.0,1.0,0.0,0.0
2016-01-04,12:31:00,75.0,75.07,74.9001,74.91,31801.0,1.0,0.0,0.0
2016-01-04,12:38:00,74.905,75.04,74.87,75.03,36224.0,1.0,0.0,0.0
2016-01-04,12:45:00,75.03,75.07,74.92,75.05,27898.0,1.0,0.0,0.0
2016-01-04,12:52:00,75.04,75.0699,74.96,74.98,16165.0,1.0,0.0,0.0
2016-01-04,12:59:00,74.98,75.1,74.97,75.08,20860.0,1.0,0.0,0.0
2016-01-04,13:06:00,75.09,75.27,75.07,75.26,33430.0,1.0,0.0,0.0
2016-01-04,13:13:00,75.26,75.4095,75.25,75.4095,50325.0,1.0,0.0,0.0
2016-01-04,13:20:00,75.39,75.49,75.35,75.48,159841.0,1.0,0.0,0.0
2016-01-04,13:27:00,75.46,75.61,75.4375,75.5956,58961.0,1.0,0.0,0.0
2016-01-04,13:34:00,75.61,75.86,75.61,75.835,49831.0,1.0,0.0,0.0
2016-01-04,13:41:00,75.82,75.99,75.82,75.95,41636.0,1.0,0.0,0.0
2016-01-04,13:48:00,75.9301,76.07,75.9154,75.99,40443.0,1.0,0.0,0.0
2016-01-04,13:55:00,76.0,76.09,75.93,76.09,27775.0,1.0,0.0,0.0
2016-01-04,14:02:00,76.08,76.13,75.98,76.0,75819.0,1.0,0.0,0.0
