Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,16.8021,17.9966,16.4039,17.6382,11487107.7501,1,0,0.0
2016-01-15,17.688,18.3151,17.031,17.9866,13480678.8147,1,0,0.0
2016-01-25,18.1459,19.0716,17.5138,18.4246,15236199.768300012,1,0,0.0
2016-02-01,18.554000000000002,19.9276,18.4972,19.7385,13779804.484100007,1,0,0.0
2016-02-08,19.41,19.7086,18.5838,18.8725,14723691.802100012,1,0,0.0
2016-02-16,18.6336,21.0723,18.0165,20.8533,18940796.45960001,1,0,0.0
2016-02-23,20.9628,21.0325,18.4843,19.1612,25810488.568799995,1,0,0.0
2016-03-01,19.0716,19.629,18.6535,19.1412,13283153.299700007,1,0,0.0
2016-03-08,19.1213,19.5095,18.972,19.2806,10867451.628000004,1,0,0.0
2016-03-15,19.3204,19.75,19.1114,19.55,9787771.242700003,1,0,0.0
2016-03-22,19.55,19.935,16.8387,16.92,21582362.000000007,1,0,0.0
