Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:36:00,2.01,2.07,2.0,2.055,335379.0,1.0,0.0,0.0
2016-01-04,09:43:00,2.055,2.125,2.05,2.095,508971.0,1.0,0.0,0.0
2016-01-04,09:50:00,2.09,2.14,2.07,2.13,374402.0,1.0,0.0,0.0
2016-01-04,09:57:00,2.13,2.17,2.13,2.15,409783.0,1.0,0.0,0.0
2016-01-04,10:04:00,2.145,2.145,2.1,2.14,216992.0,1.0,0.0,0.0
2016-01-04,10:11:00,2.13,2.17,2.105,2.155,282379.0,1.0,0.0,0.0
2016-01-04,10:18:00,2.1525,2.2,2.15,2.19,292323.0,1.0,0.0,0.0
2016-01-04,10:25:00,2.19,2.21,2.185,2.205,366786.0,1.0,0.0,0.0
2016-01-04,10:32:00,2.2,2.2,2.13,2.135,335991.0,1.0,0.0,0.0
2016-01-04,10:39:00,2.125,2.13,2.08,2.08,167023.0,1.0,0.0,0.0
2016-01-04,10:46:00,2.08,2.088,2.06,2.065,244022.0,1.0,0.0,0.0
2016-01-04,10:53:00,2.065,2.075,2.04,2.04,303840.0,1.0,0.0,0.0
2016-01-04,11:00:00,2.04,2.05,2.01,2.015,151303.0,1.0,0.0,0.0
2016-01-04,11:07:00,2.01,2.03,2.01,2.01,249061.0,1.0,0.0,0.0
2016-01-04,11:14:00,2.01,2.015,1.98,1.99,296528.0,1.0,0.0,0.0
2016-01-04,11:21:00,1.995,2.0099,1.98,1.985,161737.0,1.0,0.0,0.0
2016-01-04,11:28:00,1.98,1.98,1.95,1.9778,333899.0,1.0,0.0,0.0
2016-01-04,11:35:00,1.98,1.98,1.95,1.9565,222194.0,1.0,0.0,0.0
2016-01-04,11:42:00,1.965,1.9687,1.94,1.94,178737.0,1.0,0.0,0.0
2016-01-04,11:49:00,1.94,1.96,1.92,1.9596,225987.0,1.0,0.0,0.0
2016-01-04,11:56:00,1.95,1.98,1.95,1.96,217457.0,1.0,0.0,0.0
2016-01-04,12:03:00,1.96,1.97,1.95,1.97,119515.0,1.0,0.0,0.0
2016-01-04,12:10:00,1.965,2.0,1.965,1.99,179004.0,1.0,0.0,0.0
2016-01-04,12:17:00,1.995,2.01,1.96,1.96,161987.0,1.0,0.0,0.0
2016-01-04,12:24:00,1.96,1.97,1.95,1.95,75676.0,1.0,0.0,0.0
2016-01-04,12:31:00,1.95,1.97,1.95,1.97,138331.0,1.0,0.0,0.0
2016-01-04,12:38:00,1.96,1.97,1.96,1.97,59520.0,1.0,0.0,0.0
2016-01-04,12:45:00,1.96,2.0,1.96,1.99,186033.0,1.0,0.0,0.0
2016-01-04,12:52:00,1.995,2.0,1.97,1.97,109829.0,1.0,0.0,0.0
