Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,62.3878,62.576,61.8024,62.2588,1737001.8423999995,1,0,0.0
2016-01-05,62.993,63.3899,62.2192,63.38,1861082.2510000006,1,0,0.0
2016-01-06,62.83,63.63,62.56,62.94,1665634.0,1,0,0.5
2016-01-07,62.28,63.16,62.07,62.47,2187857.0,1,0,0.0
2016-01-08,62.65,63.39,61.88,61.99,1824013.0,1,0,0.0
2016-01-11,62.39,62.66,61.59,61.96,1960730.0,1,0,0.0
2016-01-12,61.72,62.6,61.39,62.52,1976106.0,1,0,0.0
2016-01-13,62.48,63.18,61.8101,61.87,2746629.0,1,0,0.0
2016-01-14,61.85,62.01,60.2,61.69,2284286.0,1,0,0.0
2016-01-15,60.58,60.94,58.97,60.23,1554673.0,1,0,0.0
2016-01-19,60.87,61.51,60.353,60.83,1603502.0,1,0,0.0
2016-01-20,60.0,60.33,57.95,59.68,2059377.0,1,0,0.0
2016-01-21,59.5,60.74,58.89,60.32,2592781.0,1,0,0.0
2016-01-22,60.9,62.23,60.77,61.95,1777446.0,1,0,0.0
2016-01-25,62.1,62.59,61.31,61.45,2058996.0,1,0,0.0
2016-01-26,61.2,62.69,60.911,62.68,1975935.0,1,0,0.0
2016-01-27,62.25,63.16,61.75,62.6,2450907.0,1,0,0.0
2016-01-28,62.56,63.99,62.56,63.26,2342620.0,1,0,0.0
2016-01-29,62.84,63.24,61.59,63.08,2062067.0,1,0,0.0
2016-02-01,62.84,63.88,62.06,63.33,1857427.0,1,0,0.0
2016-02-02,62.65,63.38,61.69,62.17,2212426.0,1,0,0.0
2016-02-03,62.35,62.51,60.54,61.9299,1476610.0,1,0,0.0
2016-02-04,61.64,62.09,61.0,61.52,1588544.0,1,0,0.0
2016-02-05,61.2,61.4899,58.81,59.0,2281077.0,1,0,0.0
2016-02-08,58.7,59.81,58.22,59.54,1957771.0,1,0,0.0
2016-02-09,58.7,59.15,57.98,58.48,3115991.0,1,0,0.0
2016-02-10,59.0,59.135,57.58,57.6,2329143.0,1,0,0.0
2016-02-11,57.08,57.948,55.77,57.08,3382139.0,1,0,0.0
2016-02-12,57.63,59.04,57.19,58.67,1252985.0,1,0,0.0
2016-02-16,58.81,59.99,58.66,59.57,1066170.0,1,0,0.0
2016-02-17,59.64,61.65,59.37,61.54,2120016.0,1,0,0.0
2016-02-18,61.22,61.86,60.6,61.53,1435063.0,1,0,0.0
2016-02-19,61.53,61.83,60.26,61.19,1382903.0,1,0,0.0
2016-02-22,61.57,62.45,61.34,62.13,1096761.0,1,0,0.0
2016-02-23,62.37,63.86,62.29,62.85,1958841.0,1,0,0.0
2016-02-24,62.42,63.47,61.45,63.33,1958423.0,1,0,0.0
2016-02-25,63.37,63.88,63.17,63.73,793718.0,1,0,0.0
2016-02-26,63.69,64.36,63.45,63.72,1503039.0,1,0,0.0
2016-02-29,63.47,64.23,63.19,63.89,927424.0,1,0,0.0
2016-03-01,64.31,64.66,63.94,64.25,1088144.0,1,0,0.0
2016-03-02,63.96,64.73,63.87,64.69,1175605.0,1,0,0.0
2016-03-03,64.51,65.0,63.52,64.82,1497337.0,1,0,0.0
2016-03-04,64.51,64.95,64.16,64.92,914886.0,1,0,0.0
2016-03-07,64.76,65.35,64.53,65.14,1022739.0,1,0,0.0
2016-03-08,64.79,65.23,64.46,64.57,999374.0,1,0,0.0
2016-03-09,66.75,68.0,66.01,66.91,4536007.0,1,0,0.0
2016-03-10,67.17,67.41,66.4,67.14,1791470.0,1,0,0.0
2016-03-11,67.44,68.26,67.22,67.57,1816893.0,1,0,0.0
2016-03-14,67.5,68.02,67.13,67.79,1054287.0,1,0,0.0
2016-03-15,67.5,67.77,66.67,66.85,1092103.0,1,0,0.0
2016-03-16,66.87,67.96,66.19,67.57,1028947.0,1,0,0.0
2016-03-17,67.36,67.99,66.81,67.6,1296523.0,1,0,0.0
2016-03-18,67.55,68.15,67.17,67.3,1259668.0,1,0,0.0
2016-03-21,67.29,67.5,66.95,67.2,980938.0,1,0,0.0
2016-03-22,67.19,67.36,66.42,66.64,928375.0,1,0,0.0
2016-03-23,66.78,67.19,66.29,66.52,798760.0,1,0,0.0
2016-03-24,66.47,66.475,65.29,65.76,1125676.0,1,0,0.0
