Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,78.8516,79.4467,77.3737,77.7109,7347378.923599998,1,0,0.0
2016-01-15,77.949,81.1626,77.70100000000001,79.893,7124808.461900001,1,0,0.0
2016-01-25,80.5972,81.7577,78.0779,80.1112,6937737.429999996,1,0,0.0
2016-02-01,80.4484,85.1597,80.1905,84.6241,4747781.4684999995,1,0,0.0
2016-02-08,84.4555,87.1235,84.2869,85.5267,7380240.901,1,0,0.0
2016-02-16,85.3283,86.4094,82.2437,83.8604,6986627.073399996,1,0,0.0
2016-02-23,83.8604,85.3481,82.8884,85.0704,4246231.157399998,1,0,0.0
2016-03-01,84.9911,86.3301,82.4718,83.1562,4426080.119799998,1,0,0.0
2016-03-08,82.7793,86.8855,81.0336,86.5483,5251425.263499998,1,0,0.0
2016-03-15,87.6492,88.1055,86.4689,87.6492,3770034.2671999973,1,0,0.0
2016-03-22,87.2426,89.81,86.57799999999999,88.375,4850197.545499997,1,0,0.0
