Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,68.91,68.95,68.28,68.68,1446317.0,1,0,0
2016-01-05,68.72,69.54,68.72,69.11,1078581.0,1,0,0
2016-01-06,68.22,69.19,67.925,68.37,1743019.0,1,0,0
2016-01-07,67.36,68.11,67.29,67.61,1742164.0,1,0,0
2016-01-08,67.75,68.59,67.6,67.63,1794466.0,1,0,0
2016-01-11,67.72,68.3,66.6684,67.22,1845386.0,1,0,0
2016-01-12,67.49,68.42,66.62,67.45,1076214.0,1,0,0
2016-01-13,67.4,67.73,65.95,66.13,1460472.0,1,0,0
2016-01-14,66.15,67.83,65.79,67.45,1667085.0,1,0,0
2016-01-15,66.29,66.878,65.69,66.45,1451187.0,1,0,0
2016-01-19,66.81,67.14,64.91,65.73,1128004.0,1,0,0
2016-01-20,64.96,65.89,63.38,65.4,1072425.0,1,0,0
2016-01-21,65.48,65.97,64.71,65.19,909179.0,1,0,0
2016-01-22,65.79,67.05,65.62,66.88,844563.0,1,0,0
2016-01-25,66.72,67.17,65.88,65.96,667574.0,1,0,0
2016-01-26,66.24,66.63,65.72,66.52,472535.0,1,0,0
2016-01-27,66.68,66.99,65.17,65.7,741847.0,1,0,0
2016-01-28,66.11,66.54,64.32,64.42,1152895.0,1,0,0
2016-01-29,64.44,67.12,64.44,67.11,1768513.0,1,0,0
2016-02-01,66.73,67.5,66.45,67.4,778672.0,1,0,0
2016-02-02,67.07,67.13,65.89,66.27,962797.0,1,0,0
2016-02-03,66.48,66.79,64.52,65.43,1441177.0,1,0,0
2016-02-04,65.05,65.83,64.91,65.44,1023354.0,1,0,0
2016-02-05,65.13,65.34,63.6401,63.89,808022.0,1,0,0
2016-02-08,63.17,63.32,61.89,62.25,2184514.0,1,0,0
2016-02-09,61.83,62.83,61.66,62.26,1104733.0,1,0,0
2016-02-10,62.75,64.19,62.72,63.64,1216557.0,1,0,0
2016-02-11,62.5,63.43,62.4201,62.57,1617066.0,1,0,0
2016-02-12,61.62,64.21,61.36,62.55,2165753.0,1,0,0
2016-02-16,62.74,62.74,61.92,62.63,1763134.0,1,0,0
2016-02-17,62.86,64.14,62.66,64.09,1222616.0,1,0,0
2016-02-18,64.45,64.98,63.94,64.51,886803.0,1,0,0
2016-02-19,64.44,64.585,63.55,63.8,1363661.0,1,0,0
2016-02-22,64.23,64.91,64.03,64.85,635677.0,1,0,0
2016-02-23,64.59,64.9,64.06,64.29,985822.0,1,0,0
2016-02-24,63.7,64.19,62.95,64.13,781412.0,1,0,0
2016-02-25,64.46,65.35,64.21,65.34,778608.0,1,0,0
2016-02-26,65.67,66.89,65.25,66.46,1235218.0,1,0,0
2016-02-29,66.29,66.8,65.89,65.97,1354936.0,1,0,0
2016-03-01,66.92,68.21,66.26,68.18,1295427.0,1,0,0
2016-03-02,67.83,68.4599,67.41,68.19,1001268.0,1,0,0
2016-03-03,68.1,70.29,68.01,70.08,1702963.0,1,0,0
2016-03-04,70.18,70.9,69.56,70.52,1481951.0,1,0,0
2016-03-07,70.17,71.288,69.91,70.92,808624.0,1,0,0
2016-03-08,70.65,71.04,69.62,69.75,1159624.0,1,0,0
2016-03-09,70.21,70.46,69.61,70.17,927547.0,1,0,0
2016-03-10,70.46,71.08,69.3,69.86,581117.0,1,0,0
2016-03-11,70.5,71.17,70.165,71.04,719243.0,1,0,0
2016-03-14,70.96,71.9,70.61,70.93,913523.0,1,0,0
2016-03-15,70.4,70.69,69.48,69.82,1201377.0,1,0,0
2016-03-16,69.59,70.53,69.59,70.16,880367.0,1,0,0
2016-03-17,70.17,71.065,69.48,70.955,1262067.0,1,0,0
2016-03-18,71.24,73.16,70.91,72.76,1297629.0,1,0,0
2016-03-21,72.4,72.73,71.78,72.28,597525.0,1,0,0
2016-03-22,72.23,72.95,71.82,72.68,647813.0,1,0,0
2016-03-23,72.68,73.0,71.79,72.32,528718.0,1,0,0
2016-03-24,71.71,72.01,71.06,71.55,404770.0,1,0,0
