Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,31.4704,32.5784,29.8083,29.9073,19315065.352,1,0,0.0
2016-01-11,28.8982,29.8083,26.226999999999997,26.6722,29044739.140000004,1,0,0.0
2016-01-14,27.335,27.5576,23.9219,25.673000000000002,32765695.330000002,1,0,0.0
2016-01-20,24.1098,24.6144,19.4798,21.3496,36123675.78999999,1,0,0.0
2016-01-25,21.1023,27.2064,20.9539,22.5269,34356859.80999999,1,0,0.0
2016-01-28,23.7833,26.7019,22.4577,26.4941,28666508.81,1,0,0.0
2016-02-02,26.7711,28.354,24.1989,24.4264,25969517.15199999,1,0,0.0
2016-02-05,25.0794,28.5616,23.8625,24.5748,32383555.473299995,1,0,0.0
2016-02-10,23.8031,23.9219,21.0924,21.4189,27337636.140000008,1,0,0.0
2016-02-16,20.7956,22.2895,19.4105,21.0132,47590394.156,1,0,0.0
2016-02-19,20.1921,20.6174,17.8771,18.4509,135744954.60000002,1,0,0.0
2016-02-24,18.995,20.2811,18.0255,19.2028,58455688.06999993,1,0,0.0
2016-02-29,19.2424,20.3603,18.6488,19.4699,47801521.29999998,1,0,0.0
2016-03-03,19.7766,22.2697,18.3619,21.7552,57353267.689999975,1,0,0.0
2016-03-08,22.2697,24.4561,21.2111,21.2408,57681129.14999994,1,0,0.0
2016-03-11,21.8344,25.04,20.9242,24.77,49933970.149999976,1,0,0.24
2016-03-16,24.02,26.24,23.13,26.21,39075630.99999998,1,0,0.0
2016-03-21,27.03,28.85,26.3275,28.01,46534971.99999998,1,0,0.0
2016-03-24,27.57,28.63,24.6,26.46,35412990.99999998,1,0,0.0
