Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,67.12,67.57,61.55,63.13,17919504.0,1,0,0
2016-01-15,63.46,66.71,61.5,66.05,22770113.0,1,0,0
2016-01-25,67.38,70.4922,65.04,69.92,21486190.0,1,0,0
2016-02-01,70.24,71.5,62.8,64.19,37668699.0,1,0,0
2016-02-08,63.75,63.99,53.01,56.32,39818732.0,1,0,0
2016-02-16,56.29,60.07,55.82,59.35,28596334.0,1,0,0
2016-02-23,60.25,63.325,58.1,61.52,26057058.0,1,0,0
2016-03-01,60.87,65.69,60.72,65.48,17607367.0,1,0,0
2016-03-08,65.18,66.25,62.6,62.96,16166935.0,1,0,0
2016-03-15,63.19,65.9001,62.58,65.73,12054711.0,1,0,0
2016-03-22,65.63,66.17,63.24,63.87,15179486.0,1,0,0
