Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,27.11,27.2496,26.08,26.425,17848928.0,1,0,0
2016-01-05,26.61,26.8566,25.94,26.115,15218586.0,1,0,0
2016-01-06,25.81,26.66,25.77,26.41,11548710.0,1,0,0
2016-01-07,25.8,26.47,25.6,25.71,12194112.0,1,0,0
2016-01-08,25.97,26.16,25.67,25.75,9766839.0,1,0,0
2016-01-11,25.95,26.25,25.79,26.1,10596806.0,1,0,0
2016-01-12,26.14,26.4,25.92,26.21,8526658.0,1,0,0
2016-01-13,26.41,26.46,25.26,25.42,10066097.0,1,0,0
2016-01-14,25.42,26.145,24.95,25.87,13597519.0,1,0,0
2016-01-15,25.05,25.48,24.8,25.26,13077931.0,1,0,0
2016-01-19,25.61,25.91,25.35,25.77,12581360.0,1,0,0
2016-01-20,24.84,26.135,24.76,25.82,17008778.0,1,0,0
2016-01-21,25.87,26.245,25.32,26.08,14827998.0,1,0,0
2016-01-22,26.47,26.74,26.11,26.43,9471735.0,1,0,0
2016-01-25,26.4,26.55,26.1,26.13,9059612.0,1,0,0
2016-01-26,26.23,26.67,26.2,26.66,6960133.0,1,0,0
2016-01-27,26.67,27.07,26.095,26.43,16015877.0,1,0,0
2016-01-28,23.31,24.13,22.4,23.125,54279339.0,1,0,0
2016-01-29,23.16,23.48,22.95,23.42,28216786.0,1,0,0
2016-02-01,23.34,24.23,23.27,23.94,18798421.0,1,0,0
2016-02-02,23.72,23.76,23.21,23.29,14806822.0,1,0,0
2016-02-03,23.47,23.73,22.91,23.5,18960130.0,1,0,0
2016-02-04,23.49,23.62,23.09,23.49,15251550.0,1,0,0
2016-02-05,23.45,23.52,23.06,23.2,17862954.0,1,0,0
2016-02-08,22.86,22.9,21.515,22.48,19784412.0,1,0,0
2016-02-09,22.21,23.0,21.91,22.01,14662754.0,1,0,0
2016-02-10,22.27,22.715,22.08,22.32,11486819.0,1,0,0
2016-02-11,21.93,22.455,21.64,22.08,14754436.0,1,0,0
2016-02-12,22.38,22.62,22.23,22.485,10258221.0,1,0,0
2016-02-16,22.3,23.0,22.23,22.94,8525576.0,1,0,0
2016-02-17,23.08,23.28,22.9,23.22,9956827.0,1,0,0
2016-02-18,23.11,23.67,23.08,23.53,10328799.0,1,0,0
2016-02-19,23.43,23.855,23.35,23.8,8986034.0,1,0,0
2016-02-22,23.95,24.29,23.92,24.245,8886060.0,1,0,0
2016-02-23,24.03,24.2,23.61,23.625,9615221.0,1,0,0
2016-02-24,23.43,24.02,23.28,23.96,7991924.0,1,0,0
2016-02-25,24.04,24.2,23.89,24.195,6000161.0,1,0,0
2016-02-26,24.41,24.54,24.13,24.18,6963554.0,1,0,0
2016-02-29,24.12,24.35,23.77,23.8,5330534.0,1,0,0
2016-03-01,23.99,24.24,23.62,24.24,7979403.0,1,0,0
2016-03-02,24.16,24.24,23.66,23.715,8907159.0,1,0,0
2016-03-03,23.68,23.99,23.58,23.95,6755660.0,1,0,0
2016-03-04,23.98,24.62,23.93,24.42,7505918.0,1,0,0
2016-03-07,24.33,24.4,24.06,24.25,4493914.0,1,0,0
2016-03-08,24.02,24.39,23.69,24.075,10460576.0,1,0,0
2016-03-09,24.34,24.49,23.7,23.945,11505650.0,1,0,0
2016-03-10,24.04,24.1,22.975,23.69,15654327.0,1,0,0
2016-03-11,23.94,24.08,23.9,24.01,12979877.0,1,0,0
2016-03-14,24.02,24.35,23.9,24.275,15302375.0,1,0,0
2016-03-15,24.09,24.15,23.54,23.57,7111636.0,1,0,0
2016-03-16,23.45,23.79,22.88,23.68,20378917.0,1,0,0
2016-03-17,23.77,23.93,23.335,23.77,10254831.0,1,0,0
2016-03-18,23.85,23.97,23.185,23.77,17297840.0,1,0,0
2016-03-21,23.81,24.49,23.81,24.34,12402209.0,1,0,0
2016-03-22,24.17,24.33,24.1,24.14,7454658.0,1,0,0
2016-03-23,24.09,24.28,23.955,24.18,6815451.0,1,0,0
2016-03-24,24.12,24.365,24.0,24.33,12014177.0,1,0,0
