Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:34:00,58.57,59.02,58.49,58.69,75031.0,1.0,0.0,0.0
2016-01-04,09:39:00,58.68,58.79,58.59,58.62,38440.0,1.0,0.0,0.0
2016-01-04,09:44:00,58.61,58.61,58.34,58.4199,51411.0,1.0,0.0,0.0
2016-01-04,09:49:00,58.41,58.51,58.38399999999999,58.48,19090.0,1.0,0.0,0.0
2016-01-04,09:54:00,58.51,58.63,58.49,58.52,39864.0,1.0,0.0,0.0
2016-01-04,09:59:00,58.51,58.59,58.42,58.48,18726.0,1.0,0.0,0.0
2016-01-04,10:04:00,58.47,58.48,58.26,58.29,37075.0,1.0,0.0,0.0
2016-01-04,10:09:00,58.28,58.5,58.24,58.49,38487.0,1.0,0.0,0.0
2016-01-04,10:14:00,58.51,58.565,58.45,58.52,40410.0,1.0,0.0,0.0
2016-01-04,10:19:00,58.51,58.52,58.39,58.4,26486.0,1.0,0.0,0.0
2016-01-04,10:24:00,58.4,58.46,58.4,58.4,66141.0,1.0,0.0,0.0
2016-01-04,10:29:00,58.41,58.46,58.395,58.46,44467.0,1.0,0.0,0.0
2016-01-04,10:34:00,58.46,58.54,58.46,58.5,29331.0,1.0,0.0,0.0
2016-01-04,10:39:00,58.5,58.57,58.49,58.52,26877.0,1.0,0.0,0.0
2016-01-04,10:44:00,58.505,58.66,58.48,58.65,26532.0,1.0,0.0,0.0
2016-01-04,10:49:00,58.66,58.7,58.51,58.52,40032.0,1.0,0.0,0.0
2016-01-04,10:54:00,58.53,58.575,58.46,58.49,19032.0,1.0,0.0,0.0
2016-01-04,10:59:00,58.48,58.48,58.4,58.47,35247.0,1.0,0.0,0.0
2016-01-04,11:04:00,58.47,58.51,58.4,58.44,49192.0,1.0,0.0,0.0
2016-01-04,11:09:00,58.41,58.44,58.35,58.37,41115.0,1.0,0.0,0.0
2016-01-04,11:14:00,58.37,58.51,58.34,58.4625,36748.0,1.0,0.0,0.0
2016-01-04,11:19:00,58.46,58.5025,58.38,58.43600000000001,36511.0,1.0,0.0,0.0
2016-01-04,11:24:00,58.43,58.56,58.39,58.54,20795.0,1.0,0.0,0.0
2016-01-04,11:29:00,58.55,58.58,58.48,58.58,26115.0,1.0,0.0,0.0
2016-01-04,11:34:00,58.57,58.71,58.54,58.7099,41283.0,1.0,0.0,0.0
2016-01-04,11:39:00,58.71,58.775,58.65,58.75,23187.0,1.0,0.0,0.0
2016-01-04,11:44:00,58.75,58.82,58.73,58.74,25126.0,1.0,0.0,0.0
2016-01-04,11:49:00,58.73,58.77,58.69,58.76,22849.0,1.0,0.0,0.0
2016-01-04,11:54:00,58.77,58.8222,58.74,58.7401,14767.0,1.0,0.0,0.0
2016-01-04,11:59:00,58.74,58.75,58.56,58.63,31435.0,1.0,0.0,0.0
2016-01-04,12:04:00,58.62,58.63,58.57,58.63,15760.0,1.0,0.0,0.0
2016-01-04,12:09:00,58.63,58.73,58.62,58.73,38636.0,1.0,0.0,0.0
2016-01-04,12:14:00,58.72,58.795,58.7125,58.78,38813.0,1.0,0.0,0.0
2016-01-04,12:19:00,58.78,58.89,58.78,58.89,35657.0,1.0,0.0,0.0
2016-01-04,12:24:00,58.9,58.92,58.81,58.87,25323.0,1.0,0.0,0.0
2016-01-04,12:29:00,58.88,59.04,58.853,58.9799,28552.0,1.0,0.0,0.0
2016-01-04,12:34:00,58.96,59.04,58.92,58.99,20896.0,1.0,0.0,0.0
2016-01-04,12:39:00,58.97,59.035,58.9501,59.0,19620.0,1.0,0.0,0.0
2016-01-04,12:44:00,58.99,59.04,58.9,59.03,18940.0,1.0,0.0,0.0
2016-01-04,12:49:00,59.03,59.04,58.92,58.93,19741.0,1.0,0.0,0.0
2016-01-04,12:54:00,58.93,59.045,58.93,59.03,49287.0,1.0,0.0,0.0
2016-01-04,12:59:00,59.03,59.07,58.96,58.99,61382.0,1.0,0.0,0.0
2016-01-04,13:04:00,59.01,59.04,58.9742,59.0075,41111.0,1.0,0.0,0.0
2016-01-04,13:09:00,59.01,59.03,58.94,58.98,24905.0,1.0,0.0,0.0
2016-01-04,13:14:00,58.98,59.02,58.9,58.9,23333.0,1.0,0.0,0.0
2016-01-04,13:19:00,58.9,58.95,58.84,58.85,25015.0,1.0,0.0,0.0
2016-01-04,13:24:00,58.85,58.87,58.75,58.76,16079.0,1.0,0.0,0.0
2016-01-04,13:29:00,58.77,58.85,58.73,58.84,12929.0,1.0,0.0,0.0
2016-01-04,13:34:00,58.82,58.84,58.76,58.83,18357.0,1.0,0.0,0.0
2016-01-04,13:39:00,58.83,58.89,58.83,58.85,24992.0,1.0,0.0,0.0
2016-01-04,13:44:00,58.85,58.85,58.71,58.73,22272.0,1.0,0.0,0.0
2016-01-04,13:49:00,58.73,58.82,58.72,58.8,22183.0,1.0,0.0,0.0
2016-01-04,13:54:00,58.79,58.84,58.79,58.83,18811.0,1.0,0.0,0.0
2016-01-04,13:59:00,58.82,58.83,58.64,58.7,21707.0,1.0,0.0,0.0
2016-01-04,14:04:00,58.69,58.705,58.62,58.66,17869.0,1.0,0.0,0.0
2016-01-04,14:09:00,58.65,58.7701,58.59,58.76,23511.0,1.0,0.0,0.0
2016-01-04,14:14:00,58.76,58.78,58.6722,58.78,18112.0,1.0,0.0,0.0
2016-01-04,14:19:00,58.7801,58.805,58.74,58.74,26867.0,1.0,0.0,0.0
2016-01-04,14:24:00,58.74,58.75,58.66,58.71,17157.0,1.0,0.0,0.0
2016-01-04,14:29:00,58.71,58.75,58.64,58.64,18006.0,1.0,0.0,0.0
2016-01-04,14:34:00,58.64,58.67,58.56,58.57,15838.0,1.0,0.0,0.0
2016-01-04,14:39:00,58.5705,58.58,58.5,58.55,30347.0,1.0,0.0,0.0
2016-01-04,14:44:00,58.56,58.57,58.53,58.545,25400.0,1.0,0.0,0.0
2016-01-04,14:49:00,58.545,58.565,58.485,58.53,40350.0,1.0,0.0,0.0
2016-01-04,14:54:00,58.525,58.57,58.47,58.52,27568.0,1.0,0.0,0.0
2016-01-04,14:59:00,58.51,58.58,58.51,58.56,40366.0,1.0,0.0,0.0
