Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:32:00,238.45,238.45,236.03,236.55,4015.0,1.0,0.0,0.0
2016-01-04,09:36:00,237.61,237.75,237.11,237.75,1934.0,1.0,0.0,0.0
2016-01-04,09:39:00,237.75,238.62,236.95,237.265,4788.0,1.0,0.0,0.0
2016-01-04,09:42:00,237.26,237.66,236.7,237.0,1915.0,1.0,0.0,0.0
2016-01-04,09:45:00,236.99,238.1,236.535,238.1,8862.0,1.0,0.0,0.0
2016-01-04,09:48:00,238.15,238.24,237.61,238.2,2693.0,1.0,0.0,0.0
2016-01-04,09:51:00,238.22,238.98,237.65,238.98,1955.0,1.0,0.0,0.0
2016-01-04,09:54:00,238.98,238.98,238.02,238.4,1529.0,1.0,0.0,0.0
2016-01-04,09:57:00,238.01,238.2,237.37,237.91,2178.0,1.0,0.0,0.0
2016-01-04,10:00:00,237.61,238.14,237.57,237.96,7267.0,1.0,0.0,0.0
2016-01-04,10:03:00,237.8,237.94,237.33,237.7,5036.0,1.0,0.0,0.0
2016-01-04,10:06:00,237.63,237.96,237.46,237.94,2522.0,1.0,0.0,0.0
2016-01-04,10:09:00,237.71,237.95,237.38,237.41,4702.0,1.0,0.0,0.0
2016-01-04,10:12:00,237.6,237.65,237.12,237.65,2687.0,1.0,0.0,0.0
2016-01-04,10:15:00,237.65,237.79,237.26,237.7,3766.0,1.0,0.0,0.0
2016-01-04,10:18:00,237.46,237.87,237.42,237.49,3489.0,1.0,0.0,0.0
2016-01-04,10:21:00,237.64,237.68,237.2,237.24,1541.0,1.0,0.0,0.0
2016-01-04,10:24:00,237.43,237.44,237.01,237.06,1239.0,1.0,0.0,0.0
2016-01-04,10:27:00,237.31,237.36,237.06,237.19,2329.0,1.0,0.0,0.0
2016-01-04,10:30:00,237.16,237.34,237.03,237.33,1124.0,1.0,0.0,0.0
2016-01-04,10:33:00,237.215,237.33,236.35,236.35,4863.0,1.0,0.0,0.0
2016-01-04,10:36:00,236.435,236.53,236.32,236.48,402.0,1.0,0.0,0.0
2016-01-04,10:39:00,236.51,236.59,236.31,236.38,3032.0,1.0,0.0,0.0
2016-01-04,10:42:00,236.32,236.53,236.01,236.53,3878.0,1.0,0.0,0.0
2016-01-04,10:45:00,236.53,237.24,236.53,237.24,876.0,1.0,0.0,0.0
2016-01-04,10:48:00,237.21,237.52,237.13,237.42,2849.0,1.0,0.0,0.0
2016-01-04,10:51:00,237.37,237.85,237.27,237.37,2027.0,1.0,0.0,0.0
2016-01-04,10:54:00,237.38,237.65,237.32,237.33,4330.0,1.0,0.0,0.0
2016-01-04,10:57:00,237.6,237.62,237.06,237.3,1591.0,1.0,0.0,0.0
2016-01-04,11:01:00,237.33,237.34,236.56,236.56,5727.0,1.0,0.0,0.0
2016-01-04,11:04:00,236.58,236.61,235.99,236.36,4171.0,1.0,0.0,0.0
2016-01-04,11:08:00,236.05,236.34,235.56,235.91,3920.0,1.0,0.0,0.0
2016-01-04,11:11:00,236.01,236.01,235.59,235.74,2221.0,1.0,0.0,0.0
2016-01-04,11:14:00,235.78,236.2,235.71,236.04,1214.0,1.0,0.0,0.0
2016-01-04,11:17:00,236.24,236.29,235.83,236.104,4991.0,1.0,0.0,0.0
2016-01-04,11:20:00,236.22,236.37,236.07,236.31,2700.0,1.0,0.0,0.0
2016-01-04,11:23:00,236.31,237.08,236.2,236.99,2198.0,1.0,0.0,0.0
2016-01-04,11:26:00,237.0,237.05,236.8,237.0,3234.0,1.0,0.0,0.0
2016-01-04,11:29:00,236.85,236.98,236.67,236.67,583.0,1.0,0.0,0.0
2016-01-04,11:32:00,236.91,237.05,236.49,237.05,1405.0,1.0,0.0,0.0
2016-01-04,11:36:00,237.0,237.43,236.75,236.77,4045.0,1.0,0.0,0.0
2016-01-04,11:39:00,237.06,237.26,236.63,237.26,1643.0,1.0,0.0,0.0
2016-01-04,11:42:00,237.27,237.32,237.23,237.32,117.0,1.0,0.0,0.0
2016-01-04,11:45:00,237.24,237.45,236.87,237.04,1976.0,1.0,0.0,0.0
2016-01-04,11:48:00,237.19,237.34,237.04,237.14,1625.0,1.0,0.0,0.0
2016-01-04,11:52:00,237.24,237.39,237.11,237.15,2496.0,1.0,0.0,0.0
2016-01-04,11:55:00,236.88,237.2,236.45,236.45,2233.0,1.0,0.0,0.0
2016-01-04,11:58:00,236.47,236.98,236.38,236.98,1125.0,1.0,0.0,0.0
2016-01-04,12:01:00,237.01,237.01,236.35,236.55,550.0,1.0,0.0,0.0
2016-01-04,12:04:00,236.66,236.93,236.62,236.93,412.0,1.0,0.0,0.0
2016-01-04,12:07:00,236.65,236.86,236.373,236.6,1551.0,1.0,0.0,0.0
2016-01-04,12:10:00,236.5,236.84,236.25,236.25,605.0,1.0,0.0,0.0
2016-01-04,12:13:00,236.72,236.75,236.32,236.58,1672.0,1.0,0.0,0.0
2016-01-04,12:16:00,236.48,236.88,236.37,236.45,421.0,1.0,0.0,0.0
2016-01-04,12:19:00,236.88,236.93,236.61,236.825,246.0,1.0,0.0,0.0
2016-01-04,12:24:00,236.68,236.77,236.43,236.59,4454.0,1.0,0.0,0.0
2016-01-04,12:27:00,236.56,236.76,236.56,236.76,925.0,1.0,0.0,0.0
2016-01-04,12:30:00,236.57299999999998,237.01,236.57299999999998,236.8,2311.0,1.0,0.0,0.0
2016-01-04,12:33:00,236.89,236.95,236.66,236.95,1613.0,1.0,0.0,0.0
2016-01-04,12:37:00,237.01,237.14,236.963,237.14,576.0,1.0,0.0,0.0
2016-01-04,12:40:00,237.13,237.33,236.52,236.52,1892.0,1.0,0.0,0.0
2016-01-04,12:43:00,236.61,237.09,236.48,237.09,545.0,1.0,0.0,0.0
2016-01-04,12:46:00,236.855,237.12,236.855,237.12,429.0,1.0,0.0,0.0
2016-01-04,12:49:00,236.92,237.11,236.81,236.81,1393.0,1.0,0.0,0.0
2016-01-04,12:52:00,236.84,237.37,236.84,237.28,1947.0,1.0,0.0,0.0
2016-01-04,12:55:00,237.37,237.68,237.37,237.67,556.0,1.0,0.0,0.0
2016-01-04,12:58:00,237.68,237.68,236.98,237.21,1266.0,1.0,0.0,0.0
2016-01-04,13:02:00,237.62,237.78,236.95,237.605,2365.0,1.0,0.0,0.0
2016-01-04,13:06:00,237.58,237.87,237.11,237.86,489.0,1.0,0.0,0.0
2016-01-04,13:10:00,237.86,237.86,237.46,237.65,582.0,1.0,0.0,0.0
2016-01-04,13:13:00,237.66,237.87,237.56,237.81,1658.0,1.0,0.0,0.0
2016-01-04,13:16:00,237.855,237.88,237.61,237.88,1573.0,1.0,0.0,0.0
2016-01-04,13:19:00,237.88,237.88,237.325,237.61,2341.0,1.0,0.0,0.0
2016-01-04,13:23:00,237.6,237.66,237.04,237.08,2249.0,1.0,0.0,0.0
2016-01-04,13:26:00,236.98,237.29,236.98,237.29,1488.0,1.0,0.0,0.0
2016-01-04,13:29:00,237.3,237.62,237.016,237.016,2108.0,1.0,0.0,0.0
2016-01-04,13:32:00,237.43,237.52,237.12,237.38,677.0,1.0,0.0,0.0
2016-01-04,13:35:00,237.38,237.65,237.12,237.65,2228.0,1.0,0.0,0.0
2016-01-04,13:39:00,237.55,237.73,237.34,237.59,2154.0,1.0,0.0,0.0
2016-01-04,13:42:00,237.73,237.73,237.22,237.56,1368.0,1.0,0.0,0.0
2016-01-04,13:46:00,237.62,237.73,237.46,237.67,473.0,1.0,0.0,0.0
2016-01-04,13:49:00,237.583,237.66,237.2,237.31,1838.0,1.0,0.0,0.0
2016-01-04,13:52:00,237.46,237.84,237.46,237.82,842.0,1.0,0.0,0.0
2016-01-04,13:55:00,237.84,237.84,237.27,237.46,785.0,1.0,0.0,0.0
2016-01-04,13:58:00,237.32,237.62,237.14,237.35,2663.0,1.0,0.0,0.0
2016-01-04,14:01:00,237.03,237.49,236.89,236.91,1517.0,1.0,0.0,0.0
2016-01-04,14:04:00,237.16,237.36,236.91,237.11599999999999,689.0,1.0,0.0,0.0
2016-01-04,14:07:00,237.465,237.47,236.95,237.31,621.0,1.0,0.0,0.0
2016-01-04,14:11:00,237.278,237.285,236.63,236.72,3341.0,1.0,0.0,0.0
2016-01-04,14:14:00,236.74,237.09,236.74,236.83,1257.0,1.0,0.0,0.0
2016-01-04,14:18:00,236.86,236.97,236.562,236.97,1670.0,1.0,0.0,0.0
2016-01-04,14:21:00,236.63,237.18,236.63,237.15,208.0,1.0,0.0,0.0
2016-01-04,14:24:00,237.055,237.345,237.05,237.05,2073.0,1.0,0.0,0.0
2016-01-04,14:27:00,237.05,237.05,236.82,237.04,1593.0,1.0,0.0,0.0
2016-01-04,14:30:00,237.04,237.15,236.77,237.005,707.0,1.0,0.0,0.0
2016-01-04,14:33:00,236.74,236.95,236.44,236.44,1613.0,1.0,0.0,0.0
2016-01-04,14:36:00,236.46,236.46,236.12,236.12,1469.0,1.0,0.0,0.0
2016-01-04,14:39:00,236.27,236.57,236.135,236.57,1520.0,1.0,0.0,0.0
2016-01-04,14:43:00,236.63400000000001,236.66,236.39,236.39,282.0,1.0,0.0,0.0
2016-01-04,14:47:00,236.66,236.77,236.32,236.32,2434.0,1.0,0.0,0.0
2016-01-04,14:50:00,236.3,236.75,236.28,236.62,1531.0,1.0,0.0,0.0
2016-01-04,14:54:00,236.54,236.55,236.06,236.06,1259.0,1.0,0.0,0.0
2016-01-04,14:58:00,236.09,236.58,236.09,236.43,2484.0,1.0,0.0,0.0
2016-01-04,15:01:00,236.62,236.73,236.37,236.37,2501.0,1.0,0.0,0.0
2016-01-04,15:04:00,236.4,236.4,235.99,236.045,724.0,1.0,0.0,0.0
2016-01-04,15:07:00,236.02,236.31,235.74,236.31,2656.0,1.0,0.0,0.0
2016-01-04,15:11:00,236.29,236.3,236.04,236.04,1415.0,1.0,0.0,0.0
2016-01-04,15:14:00,236.02,236.24,235.91,236.24,1807.0,1.0,0.0,0.0
2016-01-04,15:17:00,236.31,236.34,235.99,236.3,2572.0,1.0,0.0,0.0
2016-01-04,15:20:00,236.08,236.28,235.95,236.09,1202.0,1.0,0.0,0.0
2016-01-04,15:23:00,235.97,236.13,235.67,235.85,1362.0,1.0,0.0,0.0
2016-01-04,15:26:00,235.56,235.91,235.54,235.78,2922.0,1.0,0.0,0.0
2016-01-04,15:29:00,235.8,236.07,235.66,235.95,2339.0,1.0,0.0,0.0
2016-01-04,15:32:00,235.959,236.39,235.89,236.22,4292.0,1.0,0.0,0.0
2016-01-04,15:35:00,236.29,236.59599999999998,235.993,235.993,2576.0,1.0,0.0,0.0
2016-01-04,15:38:00,236.2,236.39,236.03,236.22,2512.0,1.0,0.0,0.0
2016-01-04,15:41:00,236.22,236.72,236.22,236.7,3580.0,1.0,0.0,0.0
2016-01-04,15:44:00,236.72,236.72,236.44,236.65,4226.0,1.0,0.0,0.0
2016-01-04,15:47:00,236.51,237.37,236.51,237.0,5202.0,1.0,0.0,0.0
2016-01-04,15:50:00,236.87,237.37,236.87,237.34,2875.0,1.0,0.0,0.0
2016-01-04,15:53:00,237.21,237.3,236.96,237.3,7518.0,1.0,0.0,0.0
2016-01-04,15:56:00,237.32,237.38,237.11,237.11,5665.0,1.0,0.0,0.0
2016-01-04,15:59:00,237.04,237.53,237.02,237.53,31550.0,1.0,0.0,0.0
2016-01-05,09:32:00,237.9,238.61,237.28,237.8,1863.0,1.0,0.0,0.0
2016-01-05,09:35:00,238.6,238.62,237.83,238.48,357.0,1.0,0.0,0.0
2016-01-05,09:39:00,238.52,238.54,237.84,238.205,836.0,1.0,0.0,0.0
2016-01-05,09:42:00,238.52,238.87,237.86,238.484,2391.0,1.0,0.0,0.0
2016-01-05,09:45:00,238.21,238.98,238.21,238.53,1144.0,1.0,0.0,0.0
2016-01-05,09:48:00,238.52,238.86,238.48,238.57,798.0,1.0,0.0,0.0
2016-01-05,09:51:00,238.51,239.0,238.51,238.56,585.0,1.0,0.0,0.0
2016-01-05,09:54:00,239.02,239.56,238.89,239.39,774.0,1.0,0.0,0.0
2016-01-05,09:57:00,238.95,240.03,238.95,239.23,559.0,1.0,0.0,0.0
2016-01-05,10:00:00,239.93,239.97,238.955,239.56,1746.0,1.0,0.0,0.0
2016-01-05,10:05:00,239.27,239.41,239.27,239.41,131.0,1.0,0.0,0.0
2016-01-05,10:11:00,238.73,239.45,238.73,239.45,1303.0,1.0,0.0,0.0
2016-01-05,10:15:00,239.4,239.4,239.02,239.35,282.0,1.0,0.0,0.0
2016-01-05,10:19:00,239.34,239.5,239.31,239.45,1118.0,1.0,0.0,0.0
2016-01-05,10:22:00,239.64,239.8,239.48,239.66,1099.0,1.0,0.0,0.0
2016-01-05,10:26:00,239.63,239.727,239.37,239.37,1121.0,1.0,0.0,0.0
2016-01-05,10:31:00,239.373,239.53,239.12,239.18,3911.0,1.0,0.0,0.0
2016-01-05,10:35:00,239.42,239.67,239.25,239.36,470.0,1.0,0.0,0.0
2016-01-05,10:38:00,239.52,239.81,239.415,239.81,769.0,1.0,0.0,0.0
2016-01-05,10:41:00,239.81,240.59,239.77,240.59,14480.0,1.0,0.0,0.0
2016-01-05,10:44:00,240.4,240.475,239.9,240.06,3275.0,1.0,0.0,0.0
2016-01-05,10:47:00,240.39,240.47,240.17,240.22,1189.0,1.0,0.0,0.0
2016-01-05,10:50:00,240.03,240.24,239.71,239.71,3604.0,1.0,0.0,0.0
2016-01-05,10:53:00,239.87,240.25,239.74,239.96,3523.0,1.0,0.0,0.0
2016-01-05,10:56:00,240.09,240.19,239.87,240.19,2818.0,1.0,0.0,0.0
2016-01-05,10:59:00,240.075,240.18,239.82,239.82,1702.0,1.0,0.0,0.0
2016-01-05,11:02:00,239.8,239.96,239.62,239.785,3044.0,1.0,0.0,0.0
2016-01-05,11:05:00,239.86,240.165,239.6,240.0,6830.0,1.0,0.0,0.0
2016-01-05,11:09:00,240.22,240.37,240.09,240.35,236.0,1.0,0.0,0.0
2016-01-05,11:12:00,240.31,240.36,240.0,240.0,2177.0,1.0,0.0,0.0
2016-01-05,11:17:00,239.94,240.13,239.84,240.07,3584.0,1.0,0.0,0.0
2016-01-05,11:20:00,240.0,240.18,240.0,240.06,3993.0,1.0,0.0,0.0
2016-01-05,11:24:00,240.17,240.18,239.93,239.99,1820.0,1.0,0.0,0.0
2016-01-05,11:28:00,239.86,240.19,239.86,240.18,5674.0,1.0,0.0,0.0
2016-01-05,11:32:00,239.91,240.18,239.83,239.83,1839.0,1.0,0.0,0.0
2016-01-05,11:35:00,239.86,240.37,239.86,240.015,2732.0,1.0,0.0,0.0
2016-01-05,11:38:00,240.0,240.215,239.96,240.021,3389.0,1.0,0.0,0.0
2016-01-05,11:41:00,239.9,239.92,239.815,239.92,1824.0,1.0,0.0,0.0
2016-01-05,11:44:00,239.91,240.05,239.58,239.58,511.0,1.0,0.0,0.0
2016-01-05,11:47:00,239.92,240.17,239.805,239.97,1276.0,1.0,0.0,0.0
2016-01-05,11:50:00,240.04,240.41,240.0,240.0,3401.0,1.0,0.0,0.0
2016-01-05,11:54:00,240.14,240.15,239.96,239.96,631.0,1.0,0.0,0.0
2016-01-05,11:57:00,240.15,240.15,239.919,239.92,2869.0,1.0,0.0,0.0
2016-01-05,12:00:00,239.93,240.06,239.83,239.835,1036.0,1.0,0.0,0.0
2016-01-05,12:03:00,239.58,239.64,239.47,239.535,619.0,1.0,0.0,0.0
2016-01-05,12:06:00,239.57,239.6,239.22,239.238,4807.0,1.0,0.0,0.0
2016-01-05,12:10:00,239.45,239.54,239.09,239.54,636.0,1.0,0.0,0.0
2016-01-05,12:14:00,239.34,239.57,239.17,239.57,198.0,1.0,0.0,0.0
2016-01-05,12:17:00,239.24,239.32,239.06,239.12,3088.0,1.0,0.0,0.0
2016-01-05,12:21:00,239.35,239.45,239.22,239.29,621.0,1.0,0.0,0.0
2016-01-05,12:24:00,239.27,239.27,238.88,239.005,1566.0,1.0,0.0,0.0
2016-01-05,12:27:00,239.13,239.13,238.69,238.98,3171.0,1.0,0.0,0.0
2016-01-05,12:30:00,239.15,239.37,239.14,239.14,619.0,1.0,0.0,0.0
2016-01-05,12:33:00,239.09,239.45,239.002,239.45,1577.0,1.0,0.0,0.0
2016-01-05,12:37:00,239.45,239.45,239.18,239.33,356.0,1.0,0.0,0.0
