Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,39.9225,39.9225,39.228,39.863,3303141.049000001,1,0,0.0
2016-01-05,40.2102,40.24,38.9155,39.4363,3272968.527000002,1,0,0.0
2016-01-06,39.0097,40.0316,38.7022,39.5554,3535691.526099995,1,0,0.0
2016-01-07,38.8708,39.3074,38.345,38.732,2827299.891999998,1,0,0.0
2016-01-08,38.9701,39.2776,38.3649,38.4938,2622353.087599998,1,0,0.0
2016-01-11,38.722,38.8212,38.2061,38.5732,4148241.5279999995,1,0,0.0
2016-01-12,38.7716,39.228,38.5137,39.109,2843539.6383999987,1,0,0.0
2016-01-13,39.1883,39.4562,38.3351,38.474000000000004,4174414.653999997,1,0,0.0
2016-01-14,38.6823,39.2379,37.7002,38.9304,5541777.981999997,1,0,0.0
2016-01-15,34.8925,38.4244,34.8231,37.3678,14700403.269999994,1,0,0.0
2016-01-19,37.8688,38.1367,36.0731,36.4749,5848854.925000001,1,0,0.0
2016-01-20,36.0731,36.5692,34.8925,36.2418,4547940.828999998,1,0,0.0
2016-01-21,36.3608,37.0652,35.8151,36.8668,3881977.1999999993,1,0,0.0
2016-01-22,37.4323,37.8093,36.7378,37.6704,3526110.0429999987,1,0,0.0
2016-01-25,37.5216,37.7696,36.4699,36.5096,3238355.4614999974,1,0,0.0
2016-01-26,37.7101,37.9283,36.8569,37.72,4101646.1269999975,1,0,0.0
2016-01-27,37.63,38.829,37.32,38.04,3445307.9999999977,1,0,0.3
2016-01-28,38.12,39.4,37.98,39.34,3794734.999999998,1,0,0.0
2016-01-29,39.48,40.56,39.28,40.56,3462765.999999998,1,0,0.0
2016-02-01,42.2,42.2,39.5,40.44,4111420.999999998,1,0,0.0
2016-02-02,39.83,39.95,38.98,39.13,2717064.999999998,1,0,0.0
2016-02-03,39.5,40.33,38.48,39.63,3710009.999999998,1,0,0.0
2016-02-04,41.5,44.44,41.5,43.52,10952565.999999998,1,0,0.0
2016-02-05,43.29,43.75,42.8,43.26,4659006.999999998,1,0,0.0
2016-02-08,42.92,44.25,42.525,43.66,5898615.999999998,1,0,0.0
2016-02-09,43.25,44.25,43.16,43.36,5371705.999999998,1,0,0.0
2016-02-10,43.77,43.98,42.1,42.27,4152395.999999998,1,0,0.0
2016-02-11,42.11,42.28,40.96,42.01,3982384.999999998,1,0,0.0
2016-02-12,42.56,43.09,41.9,43.04,1897742.9999999981,1,0,0.0
2016-02-16,43.51,43.82,43.05,43.68,2356846.999999998,1,0,0.0
2016-02-17,43.86,44.94,43.76,44.42,3001065.999999998,1,0,0.0
2016-02-18,44.42,45.111000000000004,44.06,44.57,2041822.9999999981,1,0,0.0
2016-02-19,44.18,44.75,43.865,44.65,2428363.999999998,1,0,0.0
2016-02-22,45.06,45.645,44.91,45.35,2179365.999999998,1,0,0.0
2016-02-23,44.93,45.41,44.4599,44.55,2104762.999999998,1,0,0.0
2016-02-24,44.16,44.74,43.43,44.5,2180656.999999998,1,0,0.0
2016-02-25,44.66,45.07,44.02,45.07,1681772.9999999981,1,0,0.0
2016-02-26,45.24,45.5,44.9,45.24,2040107.9999999981,1,0,0.0
2016-02-29,45.25,45.7,45.08,45.31,2749381.999999998,1,0,0.0
2016-03-01,45.74,47.03,45.43,46.7,3828543.999999998,1,0,0.0
2016-03-02,46.7,46.9,46.02,46.5,3049192.999999998,1,0,0.0
2016-03-03,46.36,47.16,46.15,47.0,2163564.999999998,1,0,0.0
2016-03-04,45.99,46.61,44.71,46.21,3924699.999999998,1,0,0.0
2016-03-07,45.96,46.86,45.83,46.32,2428347.999999998,1,0,0.0
2016-03-08,46.28,46.83,45.55,46.57,3223001.999999998,1,0,0.0
2016-03-09,46.8,47.09,46.4638,46.99,2291839.999999998,1,0,0.0
2016-03-10,47.04,47.13,46.37,46.99,2609700.999999998,1,0,0.0
2016-03-11,47.25,47.35,46.5201,46.86,2096985.9999999981,1,0,0.0
2016-03-14,46.83,47.08,46.6312,46.94,1355551.9999999981,1,0,0.0
2016-03-15,46.42,47.22,46.19,47.05,2333887.999999998,1,0,0.0
2016-03-16,46.61,47.5,46.2,47.43,3057148.999999998,1,0,0.0
2016-03-17,47.44,49.19,47.32,48.95,3053718.999999998,1,0,0.0
2016-03-18,49.17,49.2,48.52,49.04,3218828.999999998,1,0,0.0
2016-03-21,49.04,49.99,48.83,49.87,2392880.999999998,1,0,0.0
2016-03-22,49.5,49.85,48.82,48.93,2803613.999999998,1,0,0.0
2016-03-23,48.98,49.08,48.64,48.83,1920466.9999999981,1,0,0.0
2016-03-24,48.63,49.09,48.39,48.9,1816595.9999999981,1,0,0.0
