Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,14:29:00,6.6,6.76,6.3,6.495,30740430.0,1.0,0.0,0.0
2016-01-05,12:59:00,6.495,6.71,6.46,6.61,25734713.0,1.0,0.0,0.0
2016-01-06,11:29:00,6.615,6.73,6.16,6.385,38145222.0,1.0,0.0,0.0
2016-01-07,09:59:00,6.385,6.47,5.87,5.8701,30789439.0,1.0,0.0,0.0
2016-01-07,14:59:00,5.87,5.92,5.43,5.525,42627135.0,1.0,0.0,0.0
2016-01-08,13:29:00,5.52,5.72,5.45,5.455,33010493.0,1.0,0.0,0.0
2016-01-11,11:59:00,5.455,5.48,4.31,4.48,85902759.0,1.0,0.0,0.0
2016-01-12,10:29:00,4.4899,4.58,3.94,3.97,74339198.0,1.0,0.0,0.0
2016-01-12,15:29:00,3.9701,4.105,3.65,4.07,99061776.0,1.0,0.0,0.0
2016-01-13,13:59:00,4.075,4.28,3.71,3.785,58253085.0,1.0,0.0,0.0
2016-01-14,12:29:00,3.785,4.1573,3.7,4.0884,60173953.0,1.0,0.0,0.0
2016-01-15,10:59:00,4.08,4.23,3.77,3.88,58953110.0,1.0,0.0,0.0
2016-01-15,15:59:00,3.8801,4.35,3.84,4.35,45282817.0,1.0,0.0,0.0
2016-01-19,14:29:00,4.58,4.58,4.01,4.02,39999372.0,1.0,0.0,0.0
2016-01-20,12:59:00,4.02,4.02,3.52,3.71,61915198.0,1.0,0.0,0.0
2016-01-21,11:29:00,3.71,4.43,3.68,4.2955,62976065.0,1.0,0.0,0.0
2016-01-22,09:59:00,4.3,4.66,4.14,4.47,49133857.0,1.0,0.0,0.0
2016-01-22,14:59:00,4.47,4.54,3.8,3.97,74478072.0,1.0,0.0,0.0
2016-01-25,13:29:00,3.965,4.0,3.81,3.865,43976210.0,1.0,0.0,0.0
2016-01-26,11:59:00,3.8699,4.42,3.81,4.09,74130489.0,1.0,0.0,0.0
2016-01-27,10:29:00,4.0889999999999995,4.55,4.02,4.5001,56785510.0,1.0,0.0,0.0
