Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,10:30:00,31.1757,31.2845,30.9581,31.061999999999998,619761.182,1.0,0.0,0.0
2016-01-04,11:30:00,31.0669,31.1114,30.9383,31.0076,548948.0199999997,1.0,0.0,0.0
2016-01-04,12:30:00,31.0026,31.1263,30.9581,31.0521,642553.3899999998,1.0,0.0,0.0
2016-01-04,13:30:00,31.057,31.1559,31.0471,31.1263,385187.06999999995,1.0,0.0,0.0
2016-01-04,14:30:00,31.1362,31.1362,30.9977,31.057,457821.43699999945,1.0,0.0,0.0
2016-01-04,15:30:00,31.0669,31.0669,30.879,30.9235,623705.4599999996,1.0,0.0,0.0
2016-01-05,10:00:00,30.9235,31.2944,30.6021,30.6911,1392358.1599999983,1.0,0.0,0.0
2016-01-05,11:00:00,30.6911,30.973000000000003,30.6515,30.968000000000004,677300.359999999,1.0,0.0,0.0
2016-01-05,12:00:00,30.9581,31.0076,30.7875,30.7949,683514.7529999992,1.0,0.0,0.0
2016-01-05,13:00:00,30.7998,30.8098,30.7109,30.7653,646782.2399999998,1.0,0.0,0.0
2016-01-05,14:00:00,30.7702,30.9581,30.7405,30.9383,650967.8999999992,1.0,0.0,0.0
2016-01-05,15:00:00,30.9383,31.0521,30.8691,30.9878,608714.5309999994,1.0,0.0,0.0
2016-01-06,09:30:00,30.9977,31.1955,30.8889,30.9779,1153796.5459999996,1.0,0.0,0.0
2016-01-06,10:30:00,30.9778,31.2598,30.8394,31.1856,388238.4099999999,1.0,0.0,0.0
2016-01-06,11:30:00,31.1856,31.3735,31.0076,31.3389,598567.4820000001,1.0,0.0,0.0
2016-01-06,12:30:00,31.334,31.423000000000002,31.2944,31.4082,437445.7270000002,1.0,0.0,0.0
2016-01-06,13:30:00,31.4131,31.5318,31.3933,31.4378,433219.7900000005,1.0,0.0,0.0
2016-01-06,14:30:00,31.4378,31.6109,31.4032,31.5714,356027.7790000004,1.0,0.0,0.0
2016-01-06,15:30:00,31.5714,31.6604,31.3637,31.4626,671710.8340000007,1.0,0.0,0.0
2016-01-07,10:00:00,31.4527,31.5417,31.0669,31.2994,1032285.7100000007,1.0,0.0,0.0
2016-01-07,11:00:00,31.2944,31.3389,31.0867,31.1461,551251.8290000011,1.0,0.0,0.0
2016-01-07,12:00:00,31.1461,31.1856,31.0026,31.0274,404202.99000000115,1.0,0.0,0.0
2016-01-07,13:00:00,31.0274,31.0768,30.9186,30.9285,265929.631000001,1.0,0.0,0.0
2016-01-07,14:00:00,30.9186,30.968000000000004,30.7801,30.8889,412883.72700000124,1.0,0.0,0.0
2016-01-07,15:00:00,30.8839,30.8988,30.7603,30.7653,358592.71000000107,1.0,0.0,0.0
2016-01-08,09:30:00,30.7603,30.79,30.5526,30.6812,1492635.7900000014,1.0,0.0,0.0
2016-01-08,10:30:00,30.6812,30.9581,30.6812,30.9186,578436.9800000017,1.0,0.0,0.0
2016-01-08,11:30:00,30.9186,31.0966,30.8295,31.0274,850212.770000002,1.0,0.0,0.0
2016-01-08,12:30:00,31.0358,31.4032,30.9087,31.3637,761784.6900000022,1.0,0.0,0.0
2016-01-08,13:30:00,31.3637,31.4329,31.245,31.3043,288806.4310000023,1.0,0.0,0.0
2016-01-08,14:30:00,31.3043,31.3735,31.2153,31.2351,264309.7760000024,1.0,0.0,0.0
2016-01-08,15:30:00,31.2351,31.3439,31.1955,31.2003,434039.75900000223,1.0,0.0,0.0
2016-01-11,10:00:00,31.1955,31.873,31.1658,31.8483,1607992.3900000022,1.0,0.0,0.0
2016-01-11,11:00:00,31.8483,31.8978,31.5911,31.7296,802111.0880000029,1.0,0.0,0.0
2016-01-11,12:00:00,31.7296,31.7692,31.5565,31.7395,940329.2370000024,1.0,0.0,0.0
2016-01-11,13:00:00,31.7395,31.8483,31.6999,31.7296,322147.67800000205,1.0,0.0,0.0
2016-01-11,14:00:00,31.7197,31.7791,31.5021,31.5417,356123.59400000254,1.0,0.0,0.0
2016-01-11,15:00:00,31.5417,31.6505,31.4922,31.5911,387749.1880000023,1.0,0.0,0.0
2016-01-12,09:30:00,31.5911,31.9373,31.5417,31.7692,1329499.660000002,1.0,0.0,0.0
2016-01-12,10:30:00,31.7692,31.9373,31.245,31.4922,694457.9600000025,1.0,0.0,0.0
2016-01-12,11:30:00,31.5021,31.6851,31.3735,31.5516,540458.9400000022,1.0,0.0,0.0
2016-01-12,12:30:00,31.5465,31.6159,31.3834,31.4181,620317.7900000018,1.0,0.0,0.0
2016-01-12,13:30:00,31.423000000000002,31.5812,31.3439,31.5417,741611.1300000019,1.0,0.0,0.0
2016-01-12,14:30:00,31.5417,31.5615,31.4823,31.5466,512353.85200000176,1.0,0.0,0.0
2016-01-12,15:30:00,31.5417,31.7692,31.5318,31.7444,817588.690000002,1.0,0.0,0.0
2016-01-13,10:00:00,31.7395,32.0461,31.7197,31.9967,1220461.9620000015,1.0,0.0,0.0
2016-01-13,11:00:00,31.9967,32.0263,31.6406,31.69,534388.7900000017,1.0,0.0,0.0
2016-01-13,12:00:00,31.6802,31.809,31.601,31.6703,301329.1900000016,1.0,0.0,0.0
2016-01-13,13:00:00,31.6752,31.6802,31.423000000000002,31.4477,284567.0550000016,1.0,0.0,0.0
2016-01-13,14:00:00,31.4477,31.5021,31.3637,31.3834,334233.6590000016,1.0,0.0,0.0
2016-01-13,15:00:00,31.3834,31.5219,31.1065,31.1559,637190.5300000014,1.0,0.0,0.0
2016-01-14,09:30:00,31.1559,31.3538,31.0669,31.334,1136698.3200000022,1.0,0.0,0.0
2016-01-14,10:30:00,31.334,31.7494,30.9927,31.0669,542904.7300000022,1.0,0.0,0.0
2016-01-14,11:30:00,31.058000000000003,31.6999,31.058000000000003,31.5812,522794.1810000022,1.0,0.0,0.0
2016-01-14,12:30:00,31.5714,31.5812,31.3538,31.423000000000002,249386.86300000225,1.0,0.0,0.0
2016-01-14,13:30:00,31.423000000000002,31.6119,31.4131,31.5812,206147.61300000222,1.0,0.0,0.0
2016-01-14,14:30:00,31.5812,32.0164,31.5516,32.0066,598819.5520000021,1.0,0.0,0.0
2016-01-14,15:30:00,32.0066,32.422,31.9571,32.3873,1076411.0400000026,1.0,0.0,0.0
2016-01-15,10:00:00,32.3824,32.4417,31.6307,31.7741,1471728.7500000016,1.0,0.0,0.0
2016-01-15,11:00:00,31.7741,31.8483,31.5318,31.7296,739707.4000000024,1.0,0.0,0.0
2016-01-15,12:00:00,31.7296,31.8483,31.601,31.601,609289.8590000024,1.0,0.0,0.0
2016-01-15,13:00:00,31.6109,31.6109,31.1559,31.1856,644186.9200000021,1.0,0.0,0.0
2016-01-15,14:00:00,31.1757,31.3142,31.0471,31.2054,557634.8910000029,1.0,0.0,0.0
2016-01-15,15:00:00,31.1955,31.4626,31.1658,31.4428,555037.300000003,1.0,0.0,0.0
2016-01-19,09:30:00,31.4428,31.6307,31.3834,31.5515,1661888.2200000032,1.0,0.0,0.0
2016-01-19,10:30:00,31.5021,31.7593,31.3637,31.5516,487013.4600000035,1.0,0.0,0.0
2016-01-19,11:30:00,31.5516,31.6109,31.3835,31.5862,525263.9700000035,1.0,0.0,0.0
2016-01-19,12:30:00,31.5911,31.6999,31.4823,31.517,312912.7630000036,1.0,0.0,0.0
2016-01-19,13:30:00,31.511999999999997,31.5318,31.4131,31.4527,244128.51800000365,1.0,0.0,0.0
2016-01-19,14:30:00,31.4428,31.601,31.3735,31.5219,620100.162000004,1.0,0.0,0.0
2016-01-19,15:30:00,31.5219,32.0659,31.4601,32.056,1110930.7100000037,1.0,0.0,0.0
2016-01-20,10:00:00,32.056,32.2242,31.5931,31.6356,1388514.540000003,1.0,0.0,0.0
2016-01-20,11:00:00,31.6406,31.6703,31.245,31.2747,548357.2600000037,1.0,0.0,0.0
2016-01-20,12:00:00,31.2845,31.3637,30.79,30.8592,602728.2500000036,1.0,0.0,0.0
2016-01-20,13:00:00,30.8592,30.8691,30.335,30.6713,655536.4700000035,1.0,0.0,0.0
2016-01-20,14:00:00,30.6614,30.701,30.3944,30.5724,982103.1600000042,1.0,0.0,0.0
2016-01-20,15:00:00,30.5625,30.6812,30.433000000000003,30.5922,1015509.050000004,1.0,0.0,0.0
2016-01-21,09:30:00,30.5922,31.0668,30.5625,30.7801,1586916.3800000038,1.0,0.0,0.0
2016-01-21,10:30:00,30.7405,30.9285,30.2856,30.4933,922220.8700000033,1.0,0.0,0.0
2016-01-21,11:30:00,30.5032,30.8889,30.4933,30.7306,809068.230000003,1.0,0.0,0.0
2016-01-21,12:30:00,30.7356,31.2252,30.6515,31.2054,556372.9200000031,1.0,0.0,0.0
2016-01-21,13:30:00,31.2005,31.2944,30.9383,30.9878,527876.8230000025,1.0,0.0,0.0
2016-01-21,14:30:00,30.9977,30.9977,30.6515,30.7801,500007.3200000021,1.0,0.0,0.0
2016-01-21,15:30:00,30.7801,31.0274,30.7702,30.9976,570100.6100000021,1.0,0.0,0.0
2016-01-22,10:00:00,30.9977,31.4626,30.9186,31.4329,1304377.9900000023,1.0,0.0,0.0
2016-01-22,11:00:00,31.4329,31.6307,31.3834,31.4428,500054.78400000243,1.0,0.0,0.0
2016-01-22,12:00:00,31.4378,31.6208,31.4378,31.5763,348586.40300000267,1.0,0.0,0.0
2016-01-22,13:00:00,31.5812,31.6455,31.4972,31.6109,281876.75500000245,1.0,0.0,0.0
2016-01-22,14:00:00,31.605999999999998,31.789,31.5466,31.7395,271943.24500000244,1.0,0.0,0.0
2016-01-22,15:00:00,31.7395,31.9471,31.7296,31.8978,464312.57400000247,1.0,0.0,0.0
2016-01-25,09:30:00,31.8978,32.0263,31.7593,31.8928,1102750.5810000023,1.0,0.0,0.0
2016-01-25,10:30:00,31.878,31.967,31.6703,31.6802,633715.0200000035,1.0,0.0,0.0
2016-01-25,11:30:00,31.6802,31.8186,31.4922,31.7098,503215.2200000039,1.0,0.0,0.0
2016-01-25,12:30:00,31.6984,31.8186,31.6803,31.7395,188286.52000000371,1.0,0.0,0.0
2016-01-25,13:30:00,31.7395,31.7395,31.6109,31.6554,210958.12900000374,1.0,0.0,0.0
2016-01-25,14:30:00,31.6554,31.6604,31.5417,31.6109,357437.0370000035,1.0,0.0,0.0
2016-01-25,15:30:00,31.6109,31.6307,31.4922,31.4922,274071.5020000037,1.0,0.0,0.0
2016-01-26,10:00:00,31.5021,31.9967,31.4279,31.967,722684.5010000037,1.0,0.0,0.0
2016-01-26,11:00:00,31.967,32.1648,31.7692,31.7988,396499.7700000038,1.0,0.0,0.0
2016-01-26,12:00:00,31.7988,31.8384,31.423000000000002,31.5763,589451.2710000041,1.0,0.0,0.0
2016-01-26,13:00:00,31.5812,31.6604,31.433000000000003,31.4626,308068.8590000043,1.0,0.0,0.0
2016-01-26,14:00:00,31.4725,31.5714,31.4428,31.5318,186856.91260000406,1.0,0.0,0.0
2016-01-26,15:00:00,31.5417,31.5911,31.4329,31.5911,260583.0690000042,1.0,0.0,0.0
2016-01-27,09:30:00,31.5911,31.7296,31.5318,31.5812,839625.7950000039,1.0,0.0,0.0
2016-01-27,10:30:00,31.6307,31.8482,31.4527,31.6307,228555.38400000407,1.0,0.0,0.0
2016-01-27,11:30:00,31.6406,31.7791,31.4774,31.6109,253280.50500000405,1.0,0.0,0.0
