Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,14:29:00,95.6,97.7,94.6801,97.0525,1048039.0,1.0,0.0,0.0
2016-01-05,13:00:00,97.01,97.22,95.5,96.22,1219653.0,1.0,0.0,0.0
2016-01-06,11:31:00,96.2,96.7,95.11,96.195,668373.0,1.0,0.0,0.0
2016-01-07,10:02:00,96.23,96.3152,93.141,93.77,788031.0,1.0,0.0,0.0
2016-01-07,15:05:00,93.77,94.5,90.75,92.11,922303.0,1.0,0.0,0.0
2016-01-08,13:40:00,92.105,93.71,91.23,92.47,1013658.0,1.0,0.0,0.0
2016-01-11,12:10:00,92.42,93.11,91.18,92.42,1124660.0,1.0,0.0,0.0
2016-01-12,10:41:00,92.4341,94.395,92.14,92.85,1589481.0,1.0,0.0,0.0
2016-01-12,15:41:00,92.84,93.095,91.44,92.54,769476.0,1.0,0.0,0.0
2016-01-13,14:11:00,92.52,93.71,92.13,93.425,1049401.0,1.0,0.0,0.0
2016-01-14,12:41:00,93.44,96.21,92.39,94.72,1754876.0,1.0,0.0,0.0
2016-01-15,11:11:00,94.67,95.42,91.0,91.52,1342252.0,1.0,0.0,0.0
2016-01-19,09:41:00,91.55,94.825,91.52,92.62,1858835.0,1.0,0.0,0.0
2016-01-19,14:41:00,92.56,94.98,92.3845,93.085,1131466.0,1.0,0.0,0.0
2016-01-20,13:11:00,93.08,93.99,88.81,89.25,1756856.0,1.0,0.0,0.0
2016-01-21,11:41:00,89.25,94.4995,88.745,89.1,3577776.0,1.0,0.0,0.0
2016-01-22,10:11:00,89.1,92.26,88.79,91.99,2367357.0,1.0,0.0,0.0
2016-01-22,15:12:00,92.04,93.70200000000001,91.91,93.27,1158222.0,1.0,0.0,0.0
2016-01-25,13:42:00,93.29,95.774,93.25,95.45,1374112.0,1.0,0.0,0.0
2016-01-26,12:13:00,95.45,95.89,93.86,95.8,1321973.0,1.0,0.0,0.0
2016-01-27,10:45:00,95.82,96.94,95.46,96.06,1112219.0,1.0,0.0,0.0
2016-01-27,15:47:00,96.06,96.76,95.14,95.74,1184963.0,1.0,0.0,0.0
2016-01-28,14:18:00,95.77,95.98,92.82,92.96,1335756.0,1.0,0.0,0.0
2016-01-29,12:49:00,92.96,94.6,92.49,94.05,1162303.0,1.0,0.0,0.0
2016-02-01,11:20:00,94.05,94.3,92.68,93.75,972455.0,1.0,0.0,0.0
2016-02-02,09:55:00,93.78,94.29,91.47,92.86,982574.0,1.0,0.0,0.0
2016-02-02,14:56:00,92.81,93.3,91.16,91.49,702526.0,1.0,0.0,0.0
2016-02-03,13:28:00,91.45,92.42,90.11200000000001,90.1769,675867.0,1.0,0.0,0.0
2016-02-04,12:01:00,90.16,92.65,89.64,91.41,785732.0,1.0,0.0,0.0
2016-02-05,10:39:00,91.49,92.3099,90.17,90.48,461488.0,1.0,0.0,0.0
2016-02-05,15:41:00,90.51,90.75,89.83,90.02,787217.0,1.0,0.0,0.0
2016-02-08,14:12:00,90.04,90.21,87.41,87.47,1029156.0,1.0,0.0,0.0
2016-02-09,12:42:00,87.5299,88.835,86.85,87.43,805913.0,1.0,0.0,0.0
2016-02-10,11:14:00,87.5,89.27,87.2,88.06,636015.0,1.0,0.0,0.0
2016-02-11,09:47:00,88.17,88.71,86.26,86.69,691511.0,1.0,0.0,0.0
2016-02-11,14:47:00,86.67,87.6,86.44,87.1875,641139.0,1.0,0.0,0.0
2016-02-12,13:18:00,87.2,87.99,86.8422,87.11,752798.0,1.0,0.0,0.0
2016-02-16,11:50:00,87.1025,89.03,87.08,88.75,577051.0,1.0,0.0,0.0
2016-02-17,10:21:00,88.725,91.3099,88.7,90.99,794429.0,1.0,0.0,0.0
2016-02-17,15:23:00,90.96,91.78,90.6,91.28,921977.0,1.0,0.0,0.0
2016-02-18,13:58:00,91.26,92.77,91.22,91.66,653510.0,1.0,0.0,0.0
2016-02-19,12:32:00,91.67,92.705,91.11,92.28,664051.0,1.0,0.0,0.0
2016-02-22,11:05:00,92.24,94.52,92.24,94.35,505455.0,1.0,0.0,0.0
2016-02-23,09:43:00,94.34,94.93,93.27,94.605,554820.0,1.0,0.0,0.0
2016-02-23,14:52:00,94.5001,94.92,93.02,93.2652,568506.0,1.0,0.0,0.0
2016-02-24,13:30:00,93.23,93.88,91.35,93.21,646034.0,1.0,0.0,0.0
2016-02-25,12:03:00,93.2,95.5,93.17,94.78,650242.0,1.0,0.0,0.0
2016-02-26,10:47:00,94.74,97.72,94.5001,97.47,627594.0,1.0,0.0,0.0
2016-02-26,15:52:00,97.46,97.545,96.54,97.23,455399.0,1.0,0.0,0.0
2016-02-29,14:40:00,97.22,97.43,96.29,96.62,488742.0,1.0,0.0,0.0
2016-03-01,13:19:00,96.63,98.3676,96.02,98.26,610933.0,1.0,0.0,0.0
2016-03-02,11:58:00,98.26,98.99,97.91,98.9,609743.0,1.0,0.0,0.0
2016-03-03,10:38:00,98.87,100.78,98.6365,100.08,932004.0,1.0,0.0,0.0
2016-03-03,15:44:00,100.08,100.77,99.3701,100.37,483989.0,1.0,0.0,0.0
2016-03-04,14:30:00,100.34,100.78,99.62,99.71,411293.0,1.0,0.0,0.0
2016-03-07,13:08:00,99.7301,101.27,98.7601,100.79,561896.0,1.0,0.0,0.0
2016-03-08,11:45:00,100.74,100.94,99.25,100.12,453572.0,1.0,0.0,0.0
2016-03-09,10:30:00,100.11,100.95,99.7,99.995,400319.0,1.0,0.0,0.0
2016-03-09,15:46:00,100.02,100.41,99.35,99.67,309122.0,1.0,0.0,0.0
2016-03-10,14:27:00,99.7,100.34,97.35,98.08,442845.0,1.0,0.0,0.0
2016-03-11,13:11:00,98.11,100.51,98.075,100.29,384471.0,1.0,0.0,0.0
2016-03-14,12:01:00,100.3,100.83,99.33,99.37,309301.0,1.0,0.0,0.0
2016-03-15,10:51:00,99.35,99.86,98.55,99.15,398526.0,1.0,0.0,0.0
2016-03-15,15:57:00,99.101,99.3,98.4105,98.895,440007.0,1.0,0.0,0.0
2016-03-16,14:42:00,98.89,100.21799999999999,98.0301,100.2,316721.0,1.0,0.0,0.0
2016-03-17,13:28:00,100.21,101.0,99.58,100.789,333493.0,1.0,0.0,0.0
2016-03-18,12:07:00,100.72,102.28,100.04,102.11,518534.0,1.0,0.0,0.0
2016-03-21,10:49:00,102.084,103.3,101.38,103.11,461367.0,1.0,0.0,0.0
2016-03-21,15:54:00,103.07,103.29,102.66,103.0,385296.0,1.0,0.0,0.0
2016-03-22,14:26:00,103.0,106.86,102.05,104.65,1112587.0,1.0,0.0,0.0
2016-03-23,13:08:00,104.64,104.96,102.74,103.36,528087.0,1.0,0.0,0.0
2016-03-24,11:47:00,103.35,103.791,100.99,101.72,620531.0,1.0,0.0,0.0
