Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,59.4528,60.8371,58.6562,58.935,5212238.981200001,1,0,0.0
2016-01-11,58.2578,59.4429,57.7997,58.7059,5259472.6865,1,0,0.0
2016-01-14,59.6819,60.4487,58.68600000000001,60.0404,7331612.631199999,1,0,0.0
2016-01-20,58.3275,59.0943,56.5648,57.6503,6273247.5559,1,0,0.0
2016-01-25,57.8993,59.403,57.4213,58.6263,5457804.017299999,1,0,0.0
2016-01-28,58.7657,60.1599,57.8196,57.968999999999994,4505371.300699997,1,0,0.0
2016-02-02,58.3574,60.7823,58.0387,59.3134,4443169.170699997,1,0,0.0
2016-02-05,59.3532,60.1499,58.0487,58.2976,4504199.566799998,1,0,0.0
2016-02-10,57.501000000000005,59.0844,54.8769,57.1524,12104202.794299997,1,0,0.0
2016-02-16,55.9673,58.7259,55.7582,58.4171,5479185.166999998,1,0,0.0
2016-02-19,58.8653,59.5126,58.4171,59.4429,4880902.0259,1,0,0.0
2016-02-24,59.662,60.4487,57.5607,58.925,4627012.320099998,1,0,0.0
2016-02-29,59.0844,60.3591,57.9889,57.9989,5207430.030999998,1,0,0.0
2016-03-03,58.5665,60.2197,58.457,60.0802,5264676.754499997,1,0,0.0
2016-03-08,60.0802,60.5881,58.8852,58.935,5459580.538499994,1,0,0.0
2016-03-11,59.2736,62.7491,58.8653,62.54,9659810.421899995,1,0,0.0
2016-03-16,62.4803,63.0,61.82,62.77,4950101.590999996,1,0,0.0
2016-03-21,62.73,63.37,61.25,62.76,11710872.999999996,1,0,0.0
2016-03-24,62.5,63.03,61.95,62.62,4719664.999999996,1,0,0.0
