Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,134.546,136.645,129.194,129.49200000000002,7861262.480500001,1,0,0.0
2016-01-15,130.964,132.84,124.57,125.97,8607909.2346,1,0,0.0
2016-01-25,126.42,128.14,121.57,124.65,7729643.0,1,0,0.0
2016-02-01,124.29,135.34,122.67,133.56,14305936.0,1,0,0.0
2016-02-08,132.5,136.13,130.73,132.26,9749278.0,1,0,0.0
2016-02-16,130.47,134.37,125.74,131.49,8509152.0,1,0,0.0
2016-02-23,132.24,137.72,132.24,135.9,6197097.0,1,0,0.0
2016-03-01,135.0,138.54,132.84,138.2,6245521.0,1,0,0.0
2016-03-08,137.69,138.21,130.74,131.37,9223256.0,1,0,0.0
2016-03-15,131.62,136.05,130.57,133.27,7436213.0,1,0,0.0
2016-03-22,133.28,136.09,132.5,135.24,6025562.0,1,0,0.0
