Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:30:00,26.75,26.83,26.63,26.79,45999.0,1.0,0.0,0.0
2016-01-04,09:31:00,26.79,26.85,26.75,26.84,9009.0,1.0,0.0,0.0
2016-01-04,09:32:00,26.81,26.86,26.81,26.83,7021.0,1.0,0.0,0.0
2016-01-04,09:33:00,26.83,26.86,26.81,26.83,15408.0,1.0,0.0,0.0
2016-01-04,09:34:00,26.83,26.83,26.79,26.82,11748.0,1.0,0.0,0.0
2016-01-04,09:35:00,26.813000000000002,26.8501,26.813000000000002,26.8265,14234.0,1.0,0.0,0.0
2016-01-04,09:36:00,26.82,26.87,26.82,26.85,11178.0,1.0,0.0,0.0
2016-01-04,09:37:00,26.85,26.88,26.84,26.88,16657.0,1.0,0.0,0.0
2016-01-04,09:38:00,26.88,26.88,26.77,26.81,21983.0,1.0,0.0,0.0
2016-01-04,09:39:00,26.8,26.8,26.74,26.74,22557.0,1.0,0.0,0.0
2016-01-04,09:40:00,26.74,26.76,26.73,26.73,5971.0,1.0,0.0,0.0
2016-01-04,09:41:00,26.73,26.74,26.71,26.715,12404.0,1.0,0.0,0.0
2016-01-04,09:42:00,26.71,26.71,26.69,26.69,6651.0,1.0,0.0,0.0
2016-01-04,09:43:00,26.69,26.7,26.67,26.67,7527.0,1.0,0.0,0.0
2016-01-04,09:44:00,26.67,26.7,26.67,26.69,4120.0,1.0,0.0,0.0
2016-01-04,09:45:00,26.68,26.71,26.67,26.71,12839.0,1.0,0.0,0.0
2016-01-04,09:46:00,26.71,26.75,26.71,26.75,2818.0,1.0,0.0,0.0
2016-01-04,09:47:00,26.76,26.775,26.75,26.76,5890.0,1.0,0.0,0.0
2016-01-04,09:48:00,26.77,26.77,26.76,26.765,500.0,1.0,0.0,0.0
2016-01-04,09:49:00,26.77,26.81,26.76,26.7999,8768.0,1.0,0.0,0.0
2016-01-04,09:50:00,26.79,26.86,26.79,26.85,5514.0,1.0,0.0,0.0
2016-01-04,09:51:00,26.85,26.87,26.83,26.84,4423.0,1.0,0.0,0.0
2016-01-04,09:52:00,26.84,26.84,26.82,26.835,3841.0,1.0,0.0,0.0
2016-01-04,09:53:00,26.84,26.84,26.83,26.83,4730.0,1.0,0.0,0.0
2016-01-04,09:54:00,26.82,26.83,26.81,26.81,1943.0,1.0,0.0,0.0
2016-01-04,09:55:00,26.81,26.81,26.78,26.79,5363.0,1.0,0.0,0.0
2016-01-04,09:56:00,26.79,26.82,26.79,26.81,6064.0,1.0,0.0,0.0
2016-01-04,09:57:00,26.81,26.81,26.8,26.8,4231.0,1.0,0.0,0.0
2016-01-04,09:58:00,26.8,26.8,26.745,26.745,8849.0,1.0,0.0,0.0
2016-01-04,09:59:00,26.74,26.76,26.74,26.75,4156.0,1.0,0.0,0.0
2016-01-04,10:00:00,26.74,26.77,26.74,26.77,14614.0,1.0,0.0,0.0
2016-01-04,10:01:00,26.76,26.76,26.74,26.74,5831.0,1.0,0.0,0.0
2016-01-04,10:02:00,26.74,26.7425,26.67,26.685,16384.0,1.0,0.0,0.0
2016-01-04,10:03:00,26.68,26.69,26.6734,26.69,12611.0,1.0,0.0,0.0
2016-01-04,10:04:00,26.7,26.7,26.68,26.68,7009.0,1.0,0.0,0.0
2016-01-04,10:05:00,26.68,26.68,26.66,26.66,7163.0,1.0,0.0,0.0
2016-01-04,10:06:00,26.66,26.69,26.66,26.675,11575.0,1.0,0.0,0.0
2016-01-04,10:07:00,26.67,26.675,26.65,26.65,7062.0,1.0,0.0,0.0
2016-01-04,10:08:00,26.65,26.65,26.63,26.63,8475.0,1.0,0.0,0.0
2016-01-04,10:09:00,26.64,26.65,26.63,26.64,27250.0,1.0,0.0,0.0
2016-01-04,10:10:00,26.63,26.64,26.63,26.63,1842.0,1.0,0.0,0.0
2016-01-04,10:11:00,26.64,26.66,26.635,26.65,7877.0,1.0,0.0,0.0
2016-01-04,10:12:00,26.65,26.68,26.64,26.67,15303.0,1.0,0.0,0.0
2016-01-04,10:13:00,26.67,26.68,26.67,26.67,857.0,1.0,0.0,0.0
2016-01-04,10:14:00,26.67,26.68,26.65,26.68,10012.0,1.0,0.0,0.0
2016-01-04,10:15:00,26.68,26.685,26.675,26.685,6301.0,1.0,0.0,0.0
2016-01-04,10:16:00,26.689,26.7,26.685,26.6901,4128.0,1.0,0.0,0.0
2016-01-04,10:17:00,26.695,26.71,26.695,26.7,3332.0,1.0,0.0,0.0
2016-01-04,10:18:00,26.69,26.7,26.68,26.685,15304.0,1.0,0.0,0.0
2016-01-04,10:19:00,26.68,26.685,26.67,26.6762,4854.0,1.0,0.0,0.0
2016-01-04,10:20:00,26.68,26.695,26.68,26.695,7364.0,1.0,0.0,0.0
2016-01-04,10:21:00,26.68,26.68,26.67,26.67,1048.0,1.0,0.0,0.0
2016-01-04,10:22:00,26.67,26.67,26.64,26.64,3535.0,1.0,0.0,0.0
2016-01-04,10:23:00,26.64,26.65,26.62,26.62,6743.0,1.0,0.0,0.0
2016-01-04,10:24:00,26.63,26.64,26.63,26.63,3606.0,1.0,0.0,0.0
2016-01-04,10:25:00,26.62,26.63,26.61,26.61,4378.0,1.0,0.0,0.0
2016-01-04,10:26:00,26.62,26.64,26.62,26.64,3186.0,1.0,0.0,0.0
2016-01-04,10:27:00,26.64,26.645,26.64,26.645,600.0,1.0,0.0,0.0
2016-01-04,10:28:00,26.64,26.64,26.61,26.61,4362.0,1.0,0.0,0.0
2016-01-04,10:29:00,26.61,26.62,26.605,26.62,5995.0,1.0,0.0,0.0
2016-01-04,10:30:00,26.61,26.63,26.6,26.63,5704.0,1.0,0.0,0.0
2016-01-04,10:31:00,26.62,26.62,26.6,26.6,2530.0,1.0,0.0,0.0
2016-01-04,10:32:00,26.6,26.6,26.59,26.595,10314.0,1.0,0.0,0.0
2016-01-04,10:33:00,26.59,26.5999,26.59,26.59,21174.0,1.0,0.0,0.0
2016-01-04,10:34:00,26.59,26.595,26.59,26.59,3417.0,1.0,0.0,0.0
2016-01-04,10:35:00,26.59,26.6,26.59,26.6,9859.0,1.0,0.0,0.0
2016-01-04,10:36:00,26.59,26.59,26.59,26.59,100.0,1.0,0.0,0.0
2016-01-04,10:37:00,26.595,26.61,26.595,26.595,7445.0,1.0,0.0,0.0
2016-01-04,10:38:00,26.59,26.595,26.59,26.59,382286.0,1.0,0.0,0.0
2016-01-04,10:39:00,26.595,26.6,26.57,26.57,24760.0,1.0,0.0,0.0
2016-01-04,10:40:00,26.57,26.57,26.54,26.545,11434.0,1.0,0.0,0.0
2016-01-04,10:41:00,26.54,26.55,26.535,26.55,20631.0,1.0,0.0,0.0
2016-01-04,10:42:00,26.56,26.56,26.53,26.53,5130.0,1.0,0.0,0.0
2016-01-04,10:43:00,26.53,26.59,26.53,26.585,4939.0,1.0,0.0,0.0
2016-01-04,10:44:00,26.59,26.62,26.59,26.62,7172.0,1.0,0.0,0.0
2016-01-04,10:45:00,26.62,26.63,26.62,26.63,4789.0,1.0,0.0,0.0
2016-01-04,10:46:00,26.63,26.64,26.63,26.64,5392.0,1.0,0.0,0.0
2016-01-04,10:47:00,26.64,26.66,26.64,26.65,3922.0,1.0,0.0,0.0
2016-01-04,10:48:00,26.64,26.66,26.63,26.65,8036.0,1.0,0.0,0.0
2016-01-04,10:49:00,26.65,26.69,26.65,26.69,5328.0,1.0,0.0,0.0
2016-01-04,10:50:00,26.69,26.695,26.68,26.68,8521.0,1.0,0.0,0.0
2016-01-04,10:51:00,26.68,26.685,26.66,26.68,8848.0,1.0,0.0,0.0
2016-01-04,10:52:00,26.68,26.69,26.675,26.68,12888.0,1.0,0.0,0.0
2016-01-04,10:53:00,26.68,26.68,26.66,26.66,3320.0,1.0,0.0,0.0
2016-01-04,10:54:00,26.65,26.67,26.65,26.65,4644.0,1.0,0.0,0.0
2016-01-04,10:55:00,26.64,26.64,26.6,26.6,11625.0,1.0,0.0,0.0
2016-01-04,10:56:00,26.6,26.6,26.59,26.595,12341.0,1.0,0.0,0.0
2016-01-04,10:57:00,26.5901,26.61,26.59,26.6,13766.0,1.0,0.0,0.0
2016-01-04,10:58:00,26.59,26.61,26.58,26.58,6331.0,1.0,0.0,0.0
2016-01-04,10:59:00,26.58,26.58,26.57,26.58,1500.0,1.0,0.0,0.0
2016-01-04,11:00:00,26.58,26.58,26.57,26.57,5985.0,1.0,0.0,0.0
2016-01-04,11:01:00,26.57,26.58,26.535,26.54,24096.0,1.0,0.0,0.0
2016-01-04,11:02:00,26.54,26.545,26.51,26.51,33637.0,1.0,0.0,0.0
2016-01-04,11:03:00,26.51,26.52,26.5,26.515,3466.0,1.0,0.0,0.0
2016-01-04,11:04:00,26.52,26.52,26.51,26.51,6219.0,1.0,0.0,0.0
