Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,10:29:00,56.3992,56.7068,56.2206,56.3397,725196.9430000001,1.0,0.0,0.0
2016-01-04,11:29:00,56.3298,56.5779,56.2504,56.5481,587059.5400000005,1.0,0.0,0.0
2016-01-04,12:29:00,56.5381,56.8259,56.4885,56.806000000000004,498522.61000000034,1.0,0.0,0.0
2016-01-04,13:29:00,56.806000000000004,56.9747,56.7268,56.8954,355746.6130000005,1.0,0.0,0.0
2016-01-04,14:29:00,56.8954,56.9251,56.7366,56.8118,398999.9300000007,1.0,0.0,0.0
2016-01-04,15:29:00,56.816,56.8457,56.558,56.6274,603663.2900000002,1.0,0.0,0.0
2016-01-05,09:59:00,56.6274,57.4609,56.6274,56.9648,1032782.6299999999,1.0,0.0,0.0
2016-01-05,10:59:00,56.9648,57.0144,56.5679,56.8854,518111.77000000037,1.0,0.0,0.0
2016-01-05,11:59:00,56.8854,56.9053,56.6374,56.7664,389826.07200000045,1.0,0.0,0.0
2016-01-05,12:59:00,56.7664,56.7664,56.5282,56.687,375667.2370000006,1.0,0.0,0.0
2016-01-05,13:59:00,56.6969,56.7465,56.5133,56.6572,378299.5040000005,1.0,0.0,0.0
2016-01-05,14:59:00,56.6572,56.806000000000004,56.558,56.7019,392810.14000000036,1.0,0.0,0.0
2016-01-05,15:59:00,56.6969,56.816,56.5679,56.7664,840356.9000000006,1.0,0.0,0.0
2016-01-06,10:29:00,56.3595,56.558,56.0619,56.3099,613486.500000001,1.0,0.0,0.0
2016-01-06,11:29:00,56.3099,56.4091,56.0767,56.3695,487899.45000000106,1.0,0.0,0.0
2016-01-06,12:29:00,56.3695,56.6026,56.3645,56.5679,365592.9840000009,1.0,0.0,0.0
2016-01-06,13:29:00,56.5679,56.7564,56.558,56.6572,292441.6930000009,1.0,0.0,0.0
2016-01-06,14:29:00,56.6572,56.7515,56.5183,56.5778,325769.235000001,1.0,0.0,0.0
2016-01-06,15:29:00,56.5778,56.5778,56.1214,56.3595,571443.2500000008,1.0,0.0,0.0
2016-01-07,09:59:00,56.3595,56.4488,55.56,55.87,1194722.2800000007,1.0,0.0,0.44
2016-01-07,10:59:00,55.87,55.97,55.675,55.74,741784.0000000008,1.0,0.0,0.44
2016-01-07,11:59:00,55.73,55.92,55.56,55.72,611060.0000000008,1.0,0.0,0.44
2016-01-07,12:59:00,55.73,55.82,55.64,55.7151,470429.0000000008,1.0,0.0,0.44
2016-01-07,13:59:00,55.72,55.76,55.34,55.367,426606.0000000008,1.0,0.0,0.44
2016-01-07,14:59:00,55.37,55.38,55.12,55.15,626217.0000000008,1.0,0.0,0.44
2016-01-07,15:59:00,55.15,55.29,54.91,55.11,1618874.000000001,1.0,0.0,0.44
2016-01-08,10:29:00,55.47,55.6256,55.02,55.5101,643411.0000000009,1.0,0.0,0.0
2016-01-08,11:29:00,55.54,55.8199,55.47,55.5,622985.0000000009,1.0,0.0,0.0
2016-01-08,12:29:00,55.49,55.68,55.36,55.62,416953.00000000093,1.0,0.0,0.0
2016-01-08,13:29:00,55.62,55.77,55.545,55.731,374487.00000000093,1.0,0.0,0.0
2016-01-08,14:29:00,55.735,55.87,55.71,55.79,471606.00000000093,1.0,0.0,0.0
2016-01-08,15:29:00,55.79,55.94,55.54,55.59,620595.0000000009,1.0,0.0,0.0
2016-01-11,09:59:00,55.58,55.68,55.19,55.63,849449.0000000009,1.0,0.0,0.0
2016-01-11,10:59:00,55.62,55.73,55.39,55.43,502962.00000000093,1.0,0.0,0.0
2016-01-11,11:59:00,55.43,55.69,55.37,55.65,851978.0000000009,1.0,0.0,0.0
2016-01-11,12:59:00,55.65,55.69,55.4,55.52,321652.00000000093,1.0,0.0,0.0
2016-01-11,13:59:00,55.5149,55.62,55.31,55.41,485841.00000000093,1.0,0.0,0.0
2016-01-11,14:59:00,55.42,55.72,55.38,55.6,588920.0000000009,1.0,0.0,0.0
2016-01-11,15:59:00,55.6,56.04,55.47,55.9,1555966.000000001,1.0,0.0,0.0
2016-01-12,10:29:00,56.21,56.36,55.975,56.07,489431.00000000093,1.0,0.0,0.0
2016-01-12,11:29:00,56.06,56.2,56.0,56.05,412053.00000000093,1.0,0.0,0.0
2016-01-12,12:29:00,56.04,56.13,55.95,56.1,435038.00000000093,1.0,0.0,0.0
