Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,744.45,752.0,713.0,714.1,11508666.0,1,0,0
2016-01-15,716.12,734.75,685.37,694.56,11448449.0,1,0,0
2016-01-25,704.18,729.71,673.21,711.97,10675186.0,1,0,0
2016-02-01,716.28,757.908,694.12,750.15,11872500.0,1,0,0
2016-02-08,782.16,789.918,663.06,682.98,25916423.0,1,0,0
2016-02-16,672.18,701.31,668.503,690.64,12691273.0,1,0,0
2016-02-23,698.17,713.46,691.21,695.74,9300341.0,1,0,0
2016-03-01,689.49,718.81,680.78,718.81,9508511.0,1,0,0
2016-03-08,719.31,720.0,685.253,693.98,10203895.0,1,0,0
2016-03-15,697.0,735.5,694.0,728.44,9080899.0,1,0,0
2016-03-22,726.37,745.0,724.5,741.08,8708167.0,1,0,0
