Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,14:46:00,98.0,98.15,96.86,96.8761,398000.0,1.0,0.0,0.0
2016-01-05,13:58:00,96.88,98.12,96.71,97.1,399072.0,1.0,0.0,0.0
2016-01-06,13:35:00,97.15,97.55,95.02,95.2,308096.0,1.0,0.0,0.0
2016-01-07,12:54:00,95.2,95.4,92.75,92.86,433358.0,1.0,0.0,0.0
2016-01-08,12:11:00,92.9099,93.24,91.38,92.07,353823.0,1.0,0.0,0.0
2016-01-11,11:23:00,92.00399999999999,92.37,90.53,90.93,388262.0,1.0,0.0,0.0
2016-01-12,10:21:00,90.93,93.68,89.93,92.59,393397.0,1.0,0.0,0.0
2016-01-13,09:33:00,92.41,93.17,91.39,92.92,451403.0,1.0,0.0,0.0
2016-01-13,14:53:00,92.88,93.05,91.44,91.8,451856.0,1.0,0.0,0.0
2016-01-14,14:26:00,91.79,93.05,90.83,92.85,564225.0,1.0,0.0,0.0
2016-01-15,13:29:00,92.83,93.02,88.75,91.92,474677.0,1.0,0.0,0.0
2016-01-19,12:24:00,91.92,93.47,91.42,91.8501,658234.0,1.0,0.0,0.0
2016-01-20,11:22:00,91.97,92.35,87.79,87.81,817280.0,1.0,0.0,0.0
2016-01-21,10:01:00,87.87,89.07,87.12799999999999,88.17,1108401.0,1.0,0.0,0.0
2016-01-21,15:09:00,88.16,89.52,87.59,88.22,634968.0,1.0,0.0,0.0
2016-01-22,13:41:00,88.185,90.29,85.76,86.59,1172559.0,1.0,0.0,0.0
2016-01-25,12:19:00,86.64,86.77,84.66,86.235,1244441.0,1.0,0.0,0.0
2016-01-26,10:57:00,86.21,86.27,82.91,82.91,1021026.0,1.0,0.0,0.0
2016-01-26,15:59:00,82.95,83.76,79.6725,82.05,1866261.0,1.0,0.0,0.0
2016-01-27,14:30:00,80.79,81.09,78.56,79.97,2132724.0,1.0,0.0,0.0
2016-01-28,13:04:00,80.04,80.86,79.025,79.25,1476278.0,1.0,0.0,0.0
2016-01-29,11:41:00,79.25,80.12,78.45,79.88,1375122.0,1.0,0.0,0.0
2016-02-01,10:16:00,79.9,82.075,79.9,82.075,1156054.0,1.0,0.0,0.0
2016-02-01,15:25:00,82.08,82.95,81.73,82.9,635342.0,1.0,0.0,0.0
2016-02-02,14:05:00,82.91,83.03,81.34,82.92,843861.0,1.0,0.0,0.0
2016-02-03,12:43:00,82.92,83.62,81.1,82.86,945749.0,1.0,0.0,0.0
2016-02-04,11:26:00,82.88,84.795,66.885,67.82,1649522.0,1.0,0.0,0.0
2016-02-05,10:01:00,67.86,68.26,67.05,68.2,1042949.0,1.0,0.0,0.0
2016-02-05,15:04:00,68.14,68.38,66.99,67.025,552208.0,1.0,0.0,0.0
2016-02-08,13:40:00,67.0001,67.18,64.61,64.61,809282.0,1.0,0.0,0.0
2016-02-09,12:15:00,64.62,68.19,63.84,67.7,1248844.0,1.0,0.0,0.0
2016-02-10,10:49:00,67.73,69.24,67.67,68.345,1166865.0,1.0,0.0,0.0
2016-02-10,15:51:00,68.355,69.2,67.56,67.88,885459.0,1.0,0.0,0.0
2016-02-11,14:36:00,67.86,68.03,64.01,64.82,1235331.0,1.0,0.0,0.0
2016-02-12,13:09:00,64.81,67.08,64.8,66.4,1124571.0,1.0,0.0,0.0
2016-02-16,11:42:00,66.37,68.97,66.03,68.06,1120974.0,1.0,0.0,0.0
