Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,65.9182,66.5541,65.0935,66.5144,1091975.9040000006,1,0,0.0
2016-01-05,66.8721,68.0644,66.6634,67.7266,1526155.008700001,1,0,0.0
2016-01-06,66.3455,70.6479,66.1865,69.4357,3019944.163299999,1,0,0.0
2016-01-07,68.0645,69.85300000000001,67.5975,68.6706,1708079.8140000007,1,0,0.0
2016-01-08,68.8097,69.1177,67.4782,67.6074,1042740.7633000005,1,0,0.0
2016-01-11,68.2433,69.6841,67.8459,69.5748,1240005.9524000005,1,0,0.0
2016-01-12,68.6607,70.5287,68.6607,70.3896,910657.0851000003,1,0,0.0
2016-01-13,70.0816,70.5486,68.0347,68.0446,1229141.998300001,1,0,0.0
2016-01-14,68.5116,70.2704,67.8658,69.7537,1224099.7522000016,1,0,0.0
2016-01-15,68.2731,71.8006,68.0744,71.6018,2368506.395700001,1,0,0.0
2016-01-19,72.1782,72.3042,68.8097,70.0021,1565603.229400001,1,0,0.0
2016-01-20,68.8693,69.7139,66.7727,69.2966,1430894.7670999987,1,0,0.0
2016-01-21,69.4456,71.8602,68.6706,71.5124,1296959.0190000006,1,0,0.0
2016-01-22,72.7545,73.1519,71.5422,72.4464,988431.5884000009,1,0,0.0
2016-01-25,72.2576,72.7644,70.2803,70.4592,1528936.0555000016,1,0,0.0
2016-01-26,71.0752,71.9198,70.479,71.8503,956503.4018000003,1,0,0.0
2016-01-27,72.1384,72.4762,70.2356,70.7076,803790.532800001,1,0,0.0
2016-01-28,71.73100000000001,72.1881,70.1551,71.89,899308.8957000007,1,0,0.0
2016-01-29,72.34,74.32,71.7,74.27,1079447.0000000002,1,0,0.46
2016-02-01,73.98,74.15,72.539,73.77,1849664.0,1,0,0.0
2016-02-02,74.09,75.96,73.99,74.34,2751685.0,1,0,0.0
2016-02-03,74.75,76.2,74.28,74.99,2231667.0,1,0,0.0
2016-02-04,74.58,78.45,73.86,75.9,4483920.0,1,0,0.0
2016-02-05,75.9,76.89,73.94,74.1,2247937.0,1,0,0.0
2016-02-08,74.36,75.79,72.32,75.11,3759900.0,1,0,0.0
2016-02-09,74.02,75.28,70.94,71.94,2315142.0,1,0,0.0
2016-02-10,72.26,72.665,71.58,72.15,1464623.0,1,0,0.0
2016-02-11,69.81,70.89,68.88,69.56,1565807.0,1,0,0.0
2016-02-12,70.0,70.56,68.6,70.07,2453673.0,1,0,0.0
2016-02-16,70.8,71.43,70.49,71.03,1269835.0,1,0,0.0
2016-02-17,71.97,72.7,71.4,72.02,1449339.0,1,0,0.0
2016-02-18,72.17,73.09,71.85,72.27,1433097.0,1,0,0.0
2016-02-19,72.19,72.3,71.2,72.07,1096980.0,1,0,0.0
2016-02-22,73.18,74.58,72.5,74.55,931148.0,1,0,0.0
2016-02-23,74.1,74.85,73.95,74.5,972643.0,1,0,0.0
2016-02-24,73.8,75.82,73.5,75.76,953222.0,1,0,0.0
2016-02-25,75.68,76.21,74.66,76.13,830665.0,1,0,0.0
2016-02-26,76.41,77.05,76.0,76.44,613042.0,1,0,0.0
2016-02-29,76.44,76.62,75.14,75.88,631789.0,1,0,0.0
2016-03-01,76.07,77.49,75.51,77.46,733471.0,1,0,0.0
2016-03-02,77.28,79.01,76.65,78.91,1016872.0,1,0,0.0
2016-03-03,79.19,79.31,78.41,78.89,914384.0,1,0,0.0
2016-03-04,78.72,79.155,77.52,77.91,802743.0,1,0,0.0
2016-03-07,77.51,79.069,77.5,78.61,584347.0,1,0,0.0
2016-03-08,77.89,79.32,77.75,78.59,721009.0,1,0,0.0
2016-03-09,78.89,79.13,77.92,78.0,726164.0,1,0,0.0
2016-03-10,78.48,78.75,77.49,77.95,1009632.0,1,0,0.0
2016-03-11,78.42,78.71,77.69,77.98,1082614.0,1,0,0.0
2016-03-14,77.77,78.66,77.61,78.37,759299.0,1,0,0.0
2016-03-15,77.81,78.5,77.81,78.48,1413030.0,1,0,0.0
2016-03-16,78.45,78.88,78.12,78.39,672706.0,1,0,0.0
2016-03-17,78.33,79.21,78.0101,78.59,929356.0,1,0,0.0
2016-03-18,78.72,78.96,78.3001,78.46,1330536.0,1,0,0.0
2016-03-21,78.21,78.6,77.405,77.84,864802.0,1,0,0.0
2016-03-22,77.81,78.37,77.51,78.09,663173.0,1,0,0.0
2016-03-23,77.98,78.3277,77.42,78.07,671334.0,1,0,0.0
2016-03-24,77.63,78.0,77.11,77.34,813194.0,1,0,0.0
