Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,10.6821,10.7317,9.9474,9.9871,54993173.37029999,1,0,0.0
2016-01-15,10.0666,10.1718,9.3121,9.5106,66697434.7423,1,0,0.0
2016-01-25,9.6992,9.7092,8.5079,8.7313,82028001.12599999,1,0,0.0
2016-02-01,8.1605,8.6668,7.7733,8.5874,180495272.55800006,1,0,0.0
2016-02-08,8.4781,8.7363,8.0612,8.3541,90401444.52500004,1,0,0.0
2016-02-16,8.3392,8.8157,7.8825,8.6767,74491126.25300002,1,0,0.0
2016-02-23,8.8256,8.9249,8.3491,8.5328,65145664.30710005,1,0,0.0
2016-03-01,8.3888,9.1334,8.3094,9.1185,74293269.83900002,1,0,0.0
2016-03-08,9.0937,9.6943,9.0937,9.2872,65200498.472000085,1,0,0.0
2016-03-15,9.3716,9.7886,9.2277,9.595,55303951.527000055,1,0,0.0
2016-03-22,9.58,9.82,9.31,9.71,52239823.000000075,1,0,0.0
