Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,65.83,66.36,65.07,66.29,3739229.0,1,0,0
2016-01-05,66.56,67.0,65.79,66.455,3595068.0,1,0,0
2016-01-06,65.49,66.53,65.13,65.99,3628938.0,1,0,0
2016-01-07,65.14,65.52,63.6,64.31,3887986.0,1,0,0
2016-01-08,64.48,65.55,63.63,64.27,3445164.0,1,0,0
2016-01-11,68.64,69.48,67.35,67.81,8223260.0,1,0,0
2016-01-12,68.51,69.01,65.51,66.66,4658534.0,1,0,0
2016-01-13,66.6,68.02,63.6,64.95,6339065.0,1,0,0
2016-01-14,65.06,66.48,64.54,65.11,4816667.0,1,0,0
2016-01-15,63.7,65.37,63.07,64.26,5818290.0,1,0,0
2016-01-19,64.94,65.5289,62.47,63.46,4402241.0,1,0,0
2016-01-20,62.44,63.55,60.07,62.83,4768626.0,1,0,0
2016-01-21,62.99,65.39,62.37,64.02,3396009.0,1,0,0
2016-01-22,64.82,66.96,64.68,65.84,4143793.0,1,0,0
2016-01-25,65.34,66.47,65.34,65.61,2051094.0,1,0,0
2016-01-26,65.41,67.35,65.39,66.97,2343921.0,1,0,0
2016-01-27,66.94,68.66,66.81,67.47,3885911.0,1,0,0
2016-01-28,68.9,70.39,66.31,67.5,5260723.0,1,0,0
2016-01-29,68.0,71.27,67.58,69.59,6053714.0,1,0,0
2016-02-01,69.45,71.51,69.18,71.02,4323895.0,1,0,0
2016-02-02,70.47,72.45,69.83,71.99,4239672.0,1,0,0
2016-02-03,72.58,72.71,68.595,70.1999,4722130.0,1,0,0
2016-02-04,70.2,70.89,69.03,70.11,2693286.0,1,0,0
2016-02-05,70.11,71.2,68.8,69.18,3219829.0,1,0,0
2016-02-08,68.36,68.47,66.12,66.79,3405139.0,1,0,0
2016-02-09,65.94,67.24,65.77,66.53,2794540.0,1,0,0
2016-02-10,66.77,68.51,66.67,67.3,2275794.0,1,0,0
2016-02-11,66.11,67.3,64.11,64.23,3925506.0,1,0,0
2016-02-12,64.5,66.11,64.23,65.98,2717351.0,1,0,0
2016-02-16,64.06,65.69,63.87,65.62,3553519.0,1,0,0
2016-02-17,66.2,67.65,65.6,67.03,2970520.0,1,0,0
2016-02-18,67.4,68.22,66.91,67.5,2938089.0,1,0,0
2016-02-19,67.48,68.02,66.0139,67.61,3239859.0,1,0,0
2016-02-22,68.09,70.18,68.01,69.94,3113368.0,1,0,0
2016-02-23,69.7,70.48,69.01,69.87,3082694.0,1,0,0
2016-02-24,69.35,70.4,68.67,70.14,2187829.0,1,0,0
2016-02-25,70.43,70.81,69.08,70.0,2589434.0,1,0,0
2016-02-26,70.2,71.82,69.865,70.46,3666893.0,1,0,0
2016-02-29,70.28,70.54,69.19,69.2,2093955.0,1,0,0
2016-03-01,69.67,70.94,69.48,70.8,2956727.0,1,0,0
2016-03-02,70.53,71.5,69.93,71.3,1910812.0,1,0,0
2016-03-03,71.23,73.0,71.05,72.93,3231959.0,1,0,0
2016-03-04,72.96,74.21,72.461,73.02,3740054.0,1,0,0
2016-03-07,72.51,73.4,72.02,72.94,2340784.0,1,0,0
2016-03-08,72.25,72.86,71.25,71.49,2455507.0,1,0,0
2016-03-09,71.57,72.38,71.03,72.26,2196005.0,1,0,0
2016-03-10,72.6,73.7499,71.78,72.21,2197991.0,1,0,0
2016-03-11,72.9,75.06,72.79,74.95,3554889.0,1,0,0
2016-03-14,75.92,75.95,74.13,74.72,2427588.0,1,0,0
2016-03-15,74.08,74.53,72.9,73.19,1452498.0,1,0,0
2016-03-16,72.99,74.77,72.92,74.5,1884079.0,1,0,0
2016-03-17,74.36,74.58,72.8,73.73,2200719.0,1,0,0
2016-03-18,73.94,76.23,73.74,75.46,3770248.0,1,0,0
2016-03-21,75.25,76.61,74.93,75.52,2323306.0,1,0,0
2016-03-22,75.12,78.0,74.98,77.17,2870929.0,1,0,0
2016-03-23,77.27,78.67,76.81,76.96,2535752.0,1,0,0
2016-03-24,76.19,77.0,75.33,76.37,2253912.0,1,0,0
