Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:30:00,37.0099,37.2068,36.8623,37.1576,98403.3,1.0,0.0,0.0
2016-01-04,09:31:00,37.1674,37.2068,37.0887,37.1966,10612.5,1.0,0.0,0.0
2016-01-04,09:32:00,37.2166,37.256,37.1871,37.196999999999996,4210.07,1.0,0.0,0.0
2016-01-04,09:33:00,37.1773,37.1871,37.0887,37.1477,10660.3,1.0,0.0,0.0
2016-01-04,09:34:00,37.1576,37.1576,37.0788,37.1281,8914.899999999998,1.0,0.0,0.0
2016-01-04,09:35:00,37.1576,37.1674,37.1281,37.1477,7309.709999999997,1.0,0.0,0.0
2016-01-04,09:36:00,37.1379,37.1871,37.1084,37.1182,9884.11,1.0,0.0,0.0
2016-01-04,09:37:00,37.1379,37.1773,37.1281,37.1674,10554.599999999999,1.0,0.0,0.0
2016-01-04,09:38:00,37.1871,37.2166,36.9607,36.9607,28893.4,1.0,0.0,0.0
2016-01-04,09:39:00,36.9607,36.9706,36.882,36.8918,19575.200000000004,1.0,0.0,0.0
2016-01-04,09:40:00,36.8918,36.8918,36.7934,36.8278,12706.400000000005,1.0,0.0,0.0
2016-01-04,09:41:00,36.8131,36.8426,36.7835,36.815,12424.000000000005,1.0,0.0,0.0
2016-01-04,09:42:00,36.8032,36.882,36.8032,36.8229,12420.900000000005,1.0,0.0,0.0
2016-01-04,09:43:00,36.8328,36.8623,36.8131,36.8131,6088.550000000005,1.0,0.0,0.0
2016-01-04,09:44:00,36.8328,36.941,36.8328,36.941,4183.650000000004,1.0,0.0,0.0
2016-01-04,09:45:00,36.941,36.9902,36.8721,36.9902,9296.900000000003,1.0,0.0,0.0
2016-01-04,09:46:00,36.9725,36.9903,36.9312,36.9706,10365.700000000006,1.0,0.0,0.0
2016-01-04,09:47:00,36.9804,36.9804,36.941,36.941,9204.450000000008,1.0,0.0,0.0
2016-01-04,09:48:00,36.9312,36.9509,36.9213,36.9312,6511.180000000008,1.0,0.0,0.0
2016-01-04,09:49:00,36.9312,37.0001,36.9263,37.0001,9783.540000000008,1.0,0.0,0.0
2016-01-04,09:50:00,37.0001,37.0985,37.0001,37.0592,8065.570000000007,1.0,0.0,0.0
2016-01-04,09:51:00,37.069,37.0852,37.0099,37.0592,5384.500000000007,1.0,0.0,0.0
2016-01-04,09:52:00,37.0592,37.069,37.0099,37.0395,5485.080000000007,1.0,0.0,0.0
2016-01-04,09:53:00,37.0493,37.0493,37.0099,37.0395,4094.2500000000073,1.0,0.0,0.0
2016-01-04,09:54:00,37.0296,37.0493,37.0099,37.0395,6935.850000000008,1.0,0.0,0.0
2016-01-04,09:55:00,37.0375,37.0592,37.0099,37.0592,6846.440000000008,1.0,0.0,0.0
2016-01-04,09:56:00,37.0493,37.1182,37.0395,37.1084,11600.000000000011,1.0,0.0,0.0
2016-01-04,09:57:00,37.1084,37.1182,37.0788,37.0985,5258.520000000011,1.0,0.0,0.0
2016-01-04,09:58:00,37.0985,37.1181,37.0592,37.0592,7130.910000000011,1.0,0.0,0.0
2016-01-04,09:59:00,37.069,37.0984,37.0395,37.0493,7278.220000000012,1.0,0.0,0.0
2016-01-04,10:00:00,37.0493,37.069,37.0099,37.0296,7217.260000000012,1.0,0.0,0.0
2016-01-04,10:01:00,37.0296,37.0493,36.9903,36.9903,8246.410000000013,1.0,0.0,0.0
2016-01-04,10:02:00,37.0001,37.0001,36.9017,36.9115,15460.600000000013,1.0,0.0,0.0
2016-01-04,10:03:00,36.9115,36.941,36.8918,36.9213,4663.180000000013,1.0,0.0,0.0
2016-01-04,10:04:00,36.941,36.9804,36.9115,36.954,8184.440000000013,1.0,0.0,0.0
2016-01-04,10:05:00,36.9509,36.9607,36.9115,36.9509,5109.180000000014,1.0,0.0,0.0
2016-01-04,10:06:00,36.9509,36.9903,36.9312,36.9312,5232.110000000013,1.0,0.0,0.0
2016-01-04,10:07:00,36.941,36.9607,36.9312,36.9509,3845.350000000014,1.0,0.0,0.0
2016-01-04,10:08:00,36.9509,36.9607,36.9213,36.941,6258.210000000014,1.0,0.0,0.0
2016-01-04,10:09:00,36.9607,37.0198,36.9607,37.0198,15160.900000000016,1.0,0.0,0.0
2016-01-04,10:10:00,37.0296,37.0395,37.0099,37.0296,16425.800000000017,1.0,0.0,0.0
2016-01-04,10:11:00,37.0395,37.0614,37.0296,37.0296,7273.140000000018,1.0,0.0,0.0
2016-01-04,10:12:00,37.0198,37.0493,37.0198,37.0395,4281.190000000016,1.0,0.0,0.0
2016-01-04,10:13:00,37.0395,37.0395,37.0296,37.0395,4637.780000000016,1.0,0.0,0.0
2016-01-04,10:14:00,37.0493,37.1182,37.0345,37.1182,9185.140000000018,1.0,0.0,0.0
2016-01-04,10:15:00,37.1182,37.1477,37.1084,37.1192,7084.170000000018,1.0,0.0,0.0
2016-01-04,10:16:00,37.1084,37.1477,37.1084,37.1477,6918.570000000018,1.0,0.0,0.0
2016-01-04,10:17:00,37.1406,37.1773,37.1406,37.1674,8715.780000000019,1.0,0.0,0.0
