Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,44.3266,46.0028,42.534,43.0371,9380480.320000002,1,0,0.0
2016-01-11,42.3924,43.7215,41.5493,42.5412,12090004.5522,1,0,0.0
2016-01-14,43.0471,43.2846,40.5674,41.6089,10831749.182,1,0,0.0
2016-01-20,40.4186,40.6963,38.5638,39.5854,10250350.235999998,1,0,0.0
2016-01-25,39.7144,41.1625,39.268,39.7739,9104818.591999996,1,0,0.0
2016-01-28,39.2085,40.8352,36.0643,38.6035,26081421.615000013,1,0,0.0
2016-02-02,38.9705,40.0318,37.8199,39.1887,10920292.917200005,1,0,0.0
2016-02-05,39.5458,41.2716,38.425,40.6467,10861783.836200003,1,0,0.0
2016-02-10,39.9227,40.359,37.5422,38.663000000000004,8132638.635000005,1,0,0.0
2016-02-16,37.9687,39.7407,36.97,39.69,9130846.438000003,1,0,0.0
2016-02-19,40.13,42.085,40.13,42.0,6605223.000000004,1,0,0.0
2016-02-24,42.51,43.29,40.91,42.14,5106467.000000004,1,0,0.0
2016-02-29,42.16,43.91,41.77,43.16,4416283.000000004,1,0,0.0
2016-03-03,43.76,46.57,43.3,46.5,5607281.000000004,1,0,0.0
2016-03-08,46.31,47.62,45.865,46.85,6911181.000000004,1,0,0.0
2016-03-11,47.02,49.42,46.53,48.94,5726352.000000004,1,0,0.0
2016-03-16,48.89,48.9699,46.97,48.58,7307941.000000004,1,0,0.0
2016-03-21,48.71,49.9858,47.96,49.755,7330240.000000004,1,0,0.0
2016-03-24,49.32,49.75,47.175,47.87,5350741.000000004,1,0,0.0
