Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,52.5471,53.7693,51.8472,53.4145,1763022.7158000006,1,0,0.0
2016-01-05,52.9906,53.5525,52.0345,52.8132,1706852.8548999995,1,0,0.0
2016-01-06,51.38399999999999,51.5023,49.2746,49.7576,2438775.203999999,1,0,0.0
2016-01-07,48.5353,49.2746,47.5693,47.8059,2639546.6679999973,1,0,0.0
2016-01-08,47.7468,48.1608,46.1401,47.0962,1762428.9187999982,1,0,0.0
2016-01-11,47.3426,47.5102,44.3304,45.0756,3186802.3089999994,1,0,0.0
2016-01-12,45.6768,46.6329,43.7547,45.3811,3693975.507,1,0,0.0
2016-01-13,46.0218,46.6921,44.2476,44.287,2779913.3189999997,1,0,0.0
2016-01-14,44.563,46.5738,43.7252,45.943000000000005,3435292.9640000006,1,0,0.0
2016-01-15,43.9814,44.7404,43.0352,44.4743,3321831.102,1,0,0.0
2016-01-19,44.701,44.839,41.6946,42.5423,2958698.9740000004,1,0,0.0
2016-01-20,42.3353,42.8775,39.4374,42.2269,3992280.7005999982,1,0,0.0
2016-01-21,41.8425,45.6275,41.6946,44.6221,3959606.3869000017,1,0,0.0
2016-01-22,47.3426,48.4565,45.1446,46.352,4367839.268000002,1,0,0.0
2016-01-25,44.6714,45.9528,43.2717,43.2915,2506048.1941,1,0,0.0
2016-01-26,44.7799,45.873999999999995,43.4147,45.1741,2598779.144999997,1,0,0.0
2016-01-27,44.6616,47.5644,44.4151,45.4403,4464852.860000002,1,0,0.0
2016-01-28,45.873999999999995,50.1716,45.8543,48.7423,4971040.049000004,1,0,0.0
2016-01-29,48.9395,50.2406,48.1016,50.073,3406425.718000003,1,0,0.0
2016-02-01,48.8113,49.4422,47.8158,49.1957,2657139.540000002,1,0,0.0
2016-02-02,47.7763,48.1115,45.6275,45.9528,2772659.8100000015,1,0,0.0
2016-02-03,47.2342,48.7029,45.2431,48.6635,2747310.7010000004,1,0,0.0
2016-02-04,49.1563,51.2757,49.0873,50.5856,4727742.5600000005,1,0,0.0
2016-02-05,48.3086,51.0094,48.3086,49.5703,3183928.041,1,0,0.0
2016-02-08,48.3579,49.1563,47.4905,48.9197,2113681.8713000035,1,0,0.0
2016-02-09,49.8364,49.8956,46.0612,47.3525,2415123.0000000033,1,0,0.0
2016-02-10,47.38,48.09,46.22,46.28,2154948.0000000023,1,0,0.6875
2016-02-11,45.46,46.43,44.3,45.75,2777551.000000002,1,0,0.0
2016-02-12,47.05,48.55,46.37,47.4,2031534.0000000019,1,0,0.0
2016-02-16,48.25,48.75,47.41,48.62,2176972.000000002,1,0,0.0
2016-02-17,49.62,53.16,49.51,52.92,3472181.000000002,1,0,0.0
2016-02-18,53.11,53.655,50.18,51.89,2998402.000000002,1,0,0.0
2016-02-19,50.84,51.59,50.0,51.57,1621888.0000000019,1,0,0.0
2016-02-22,52.96,54.32,52.8,53.88,2439225.000000002,1,0,0.0
2016-02-23,53.48,54.04,50.56,51.09,2074572.0000000019,1,0,0.0
2016-02-24,49.94,51.5,49.02,51.32,1482550.0000000019,1,0,0.0
2016-02-25,51.53,51.7,49.65,51.48,1609971.0000000019,1,0,0.0
2016-02-26,52.72,54.25,52.11,53.13,2488892.000000002,1,0,0.0
2016-02-29,53.26,54.29,52.31,52.96,2177389.000000002,1,0,0.0
2016-03-01,54.84,55.06,52.66,54.75,2290431.000000002,1,0,0.0
2016-03-02,54.1,57.37,53.5101,57.36,2219197.000000002,1,0,0.0
2016-03-03,57.16,59.27,56.73,58.97,2772741.000000002,1,0,0.0
2016-03-04,59.43,63.54,58.35,61.97,4239468.000000002,1,0,0.0
2016-03-07,61.0,63.49,61.0,62.94,3286850.000000002,1,0,0.0
2016-03-08,62.27,62.39,60.02,60.7,2045784.0000000019,1,0,0.0
2016-03-09,61.6,63.31,60.53,62.23,2272009.000000002,1,0,0.0
2016-03-10,61.82,62.31,59.93,61.97,2435972.000000002,1,0,0.0
2016-03-11,61.43,63.72,61.42,63.4,1583117.0000000019,1,0,0.0
2016-03-14,62.11,62.94,60.58,61.11,2670946.000000002,1,0,0.0
2016-03-15,60.25,61.55,58.57,61.54,1961495.0000000019,1,0,0.0
2016-03-16,62.43,63.1102,61.41,62.45,1549729.0000000019,1,0,0.0
2016-03-17,62.75,63.75,61.44,63.14,2374000.000000002,1,0,0.0
2016-03-18,63.52,64.07,60.57,60.84,2380788.000000002,1,0,0.0
2016-03-21,60.79,61.39,59.7,60.98,1796426.0000000019,1,0,0.0
2016-03-22,59.91,61.4,59.4,59.86,1637536.0000000019,1,0,0.0
2016-03-23,59.59,60.66,57.7,57.82,2333634.000000002,1,0,0.0
2016-03-24,56.9,58.19,56.35,58.09,2582451.000000002,1,0,0.0
