Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,11:29:00,85.8555,86.3027,85.4183,86.0542,429237.0249000001,1.0,0.0,0.0
2016-01-04,13:30:00,86.0145,86.8691,85.9946,86.7399,214866.0505000002,1.0,0.0,0.0
2016-01-04,15:30:00,86.7111,86.8392,86.2033,86.4319,280683.798,1.0,0.0,0.0
2016-01-05,11:00:00,86.4319,88.6875,86.412,87.9125,667807.6859999995,1.0,0.0,0.0
2016-01-05,13:04:00,87.9125,87.9125,86.6604,87.35600000000001,190183.53629999942,1.0,0.0,0.0
2016-01-05,15:05:00,87.2964,87.8032,87.1374,87.2367,216825.52819999942,1.0,0.0,0.0
2016-01-06,10:35:00,87.2467,88.0218,86.5213,87.5448,722233.1623999994,1.0,0.0,0.0
2016-01-06,12:36:00,87.5746,87.7733,87.2765,87.4852,354923.7757999987,1.0,0.0,0.0
2016-01-06,14:36:00,87.4752,87.515,86.4815,86.5461,310473.6343999985,1.0,0.0,0.0
2016-01-07,10:08:00,86.5214,87.0678,85.0506,86.5263,893722.6529999991,1.0,0.0,0.0
2016-01-07,12:08:00,86.5312,86.8194,86.1039,86.4716,660077.797099999,1.0,0.0,0.0
2016-01-07,14:09:00,86.4617,86.6306,85.4183,85.5773,418822.4871999991,1.0,0.0,0.0
2016-01-08,09:39:00,85.5773,86.4517,85.1699,86.243,735477.7669999993,1.0,0.0,0.0
2016-01-08,11:40:00,86.2927,86.7598,86.0244,86.0642,506160.79799999937,1.0,0.0,0.0
2016-01-08,13:44:00,86.0642,87.1672,85.9449,86.6405,366145.4230999999,1.0,0.0,0.0
2016-01-08,15:44:00,86.6107,86.6302,85.3885,85.6369,429668.8163999994,1.0,0.0,0.0
2016-01-11,11:14:00,85.6369,86.9088,85.2593,86.5113,641198.8909999985,1.0,0.0,0.0
2016-01-11,13:14:00,86.4617,86.7687,85.15,85.15,240211.82169999872,1.0,0.0,0.0
2016-01-11,15:15:00,85.1102,85.77600000000001,84.84200000000001,85.5514,248457.77699999858,1.0,0.0,0.0
2016-01-12,10:45:00,85.5475,88.0317,85.5077,86.7002,542674.9143999984,1.0,0.0,0.0
2016-01-12,12:47:00,86.7399,86.9188,85.90299999999999,86.094,368100.9169999981,1.0,0.0,0.0
2016-01-12,14:49:00,86.094,87.35600000000001,85.929,87.35600000000001,601004.6980999986,1.0,0.0,0.0
2016-01-13,10:19:00,87.35600000000001,88.8664,87.1871,87.2069,682657.045999999,1.0,0.0,0.0
2016-01-13,12:19:00,87.2467,87.4454,85.62700000000001,85.7064,332729.8048999987,1.0,0.0,0.0
2016-01-13,14:19:00,85.6866,85.8953,85.1202,85.458,371732.7079999987,1.0,0.0,0.0
2016-01-14,09:49:00,85.4282,85.5077,84.196,84.5637,642794.0509999986,1.0,0.0,0.0
2016-01-14,11:49:00,84.5736,84.9115,83.7191,84.1463,347173.9379999986,1.0,0.0,0.0
2016-01-14,13:49:00,84.1762,84.5438,84.0072,84.1086,291636.8039999984,1.0,0.0,0.0
2016-01-14,15:49:00,84.0768,84.6333,83.9377,84.0967,496864.330999999,1.0,0.0,0.0
2016-01-15,11:19:00,84.0867,84.196,81.7317,82.2683,637225.7989999994,1.0,0.0,0.0
2016-01-15,13:19:00,82.2683,82.3974,81.7317,82.0894,292583.8627999993,1.0,0.0,0.0
2016-01-15,15:19:00,82.0993,83.7787,81.9701,83.2222,459747.28659999906,1.0,0.0,0.0
2016-01-19,10:49:00,83.2421,84.9214,82.6757,84.5041,558635.6199999994,1.0,0.0,0.0
2016-01-19,12:49:00,84.5339,84.6531,83.5998,84.0471,328281.7936999993,1.0,0.0,0.0
2016-01-19,14:49:00,84.0172,84.0967,82.8247,82.8247,202276.77599999955,1.0,0.0,0.0
2016-01-20,10:19:00,82.8446,84.2457,81.7317,81.7812,480628.02989999973,1.0,0.0,0.0
2016-01-20,12:19:00,81.7813,82.1291,81.3938,81.4335,271446.5130999995,1.0,0.0,0.0
2016-01-20,14:19:00,81.4435,82.6856,81.0461,82.4372,253377.7969999994,1.0,0.0,0.0
2016-01-21,09:49:00,82.3925,84.0271,82.1689,84.0271,511751.07999999955,1.0,0.0,0.0
2016-01-21,11:51:00,83.9277,83.9277,82.8595,83.2421,205100.55539999963,1.0,0.0,0.0
2016-01-21,13:51:00,83.2421,83.5601,82.2583,82.4074,212564.5639999997,1.0,0.0,0.0
2016-01-21,15:51:00,82.4074,82.9638,81.9105,82.46700000000001,352962.30129999947,1.0,0.0,0.0
2016-01-22,11:21:00,82.4571,83.6197,82.2881,83.0433,1001514.8309999997,1.0,0.0,0.0
2016-01-22,13:22:00,83.0632,83.1179,82.1788,82.8794,477967.3299999987,1.0,0.0,0.0
2016-01-22,15:23:00,82.8943,83.3685,82.7353,82.9042,352424.9769999991,1.0,0.0,0.0
2016-01-25,10:53:00,82.9042,84.0569,82.8796,83.2172,533385.2877999991,1.0,0.0,0.0
2016-01-25,12:54:00,83.2172,83.4706,82.8844,83.3415,267834.8256999989,1.0,0.0,0.0
2016-01-25,14:56:00,83.3564,84.196,83.3315,84.04700000000001,423845.0105999992,1.0,0.0,0.0
2016-01-26,10:27:00,84.0867,84.5836,83.4905,84.4544,735028.0234999997,1.0,0.0,0.0
2016-01-26,12:30:00,84.4643,85.1798,84.3848,85.1599,283155.58030000026,1.0,0.0,0.0
2016-01-26,14:34:00,85.1798,85.1798,84.6631,84.7823,139479.9804,1.0,0.0,0.0
2016-01-27,10:04:00,84.7624,85.14,84.5488,84.8817,343200.8591,1.0,0.0,0.0
2016-01-27,12:06:00,84.8519,86.3027,84.6631,86.3027,321870.39229999995,1.0,0.0,0.0
2016-01-27,14:10:00,86.3027,86.4716,84.8717,85.0208,355084.7325000002,1.0,0.0,0.0
2016-01-28,09:40:00,84.98100000000001,85.3129,83.8582,83.9277,398770.1114000001,1.0,0.0,0.0
2016-01-28,11:40:00,83.8085,84.5041,83.4016,84.2408,199303.93200000006,1.0,0.0,0.0
2016-01-28,13:45:00,84.206,84.3749,83.6147,84.0867,148821.88660000006,1.0,0.0,0.0
2016-01-28,15:45:00,84.0272,84.3848,83.6065,84.2855,234919.41469999994,1.0,0.0,0.0
2016-01-29,11:15:00,84.2557,85.4282,84.1861,85.0306,310722.15049999964,1.0,0.0,0.0
2016-01-29,13:17:00,84.98100000000001,85.6866,84.8221,85.6468,220275.1337999997,1.0,0.0,0.0
2016-01-29,15:19:00,85.6468,85.9648,85.5574,85.9151,282303.0950999997,1.0,0.0,0.0
2016-02-01,10:51:00,85.9151,86.561,85.1798,85.5872,579272.5105999998,1.0,0.0,0.0
2016-02-01,12:53:00,85.5971,86.5908,85.5375,86.2232,174726.14899999977,1.0,0.0,0.0
2016-02-01,14:54:00,86.2132,86.5014,85.6518,85.935,391947.1499999997,1.0,0.0,0.0
2016-02-02,10:24:00,85.9549,86.402,79.625,80.1914,1779464.9700000007,1.0,0.0,0.0
2016-02-02,12:24:00,80.102,80.4498,77.3693,77.4091,1522523.1159999995,1.0,0.0,0.0
2016-02-02,14:24:00,77.4041,77.8562,76.5346,77.3494,1398771.2599999998,1.0,0.0,0.0
2016-02-03,09:54:00,77.3494,78.4723,77.0116,77.7767,2230709.9150000005,1.0,0.0,0.0
2016-02-03,11:54:00,77.7966,78.361,76.8129,77.8165,1242871.7395999988,1.0,0.0,0.0
2016-02-03,13:54:00,77.7867,78.1245,77.0315,77.1209,599763.8819999988,1.0,0.0,0.0
2016-02-03,15:54:00,77.0911,77.896,76.7632,77.419,896075.0709999984,1.0,0.0,0.0
2016-02-04,11:25:00,77.419,79.317,77.0116,78.5026,467829.1809999987,1.0,0.0,0.0
2016-02-04,13:27:00,78.4972,79.0686,78.0252,78.7108,318194.32239999867,1.0,0.0,0.0
2016-02-04,15:27:00,78.7307,78.8102,77.9854,78.4326,381427.7259999984,1.0,0.0,0.0
2016-02-05,10:57:00,78.4128,78.5021,75.5608,75.5906,582947.6109999985,1.0,0.0,0.0
2016-02-05,12:57:00,75.6204,75.6204,74.7758,75.0242,344735.5439999989,1.0,0.0,0.0
2016-02-05,14:58:00,75.0341,75.1733,74.4479,75.0739,459613.42699999857,1.0,0.0,0.0
2016-02-08,10:29:00,75.0739,75.6403,73.5436,74.5075,1121840.8749999981,1.0,0.0,0.0
2016-02-08,12:30:00,74.5174,74.7956,72.9275,73.0706,430398.34729999764,1.0,0.0,0.0
2016-02-08,14:30:00,73.0865,73.5038,71.8642,72.1226,260375.94389999777,1.0,0.0,0.0
2016-02-09,10:02:00,72.1027,72.8679,71.3078,72.6691,731017.1309999975,1.0,0.0,0.0
2016-02-09,12:04:00,72.6095,73.2653,72.2866,72.9474,249380.57309999765,1.0,0.0,0.0
2016-02-09,14:05:00,72.9424,73.1659,71.8146,72.4605,268932.7855999976,1.0,0.0,0.0
2016-02-10,09:36:00,72.5002,73.0517,72.1922,72.9374,506968.8486999977,1.0,0.0,0.0
2016-02-10,11:36:00,72.8579,73.2057,72.0431,72.1822,320471.5714999972,1.0,0.0,0.0
2016-02-10,13:36:00,72.1723,72.8579,71.9437,72.5698,336557.96779999725,1.0,0.0,0.0
2016-02-10,15:36:00,72.5598,73.0666,72.4207,72.4505,340661.87099999737,1.0,0.0,0.0
2016-02-11,11:09:00,72.4605,72.5698,70.8507,71.1985,422265.12249999814,1.0,0.0,0.0
2016-02-11,13:11:00,71.1389,71.5661,70.7712,71.3773,213155.3598999979,1.0,0.0,0.0
2016-02-11,15:11:00,71.3674,71.4469,70.5128,71.0693,271867.2899999978,1.0,0.0,0.0
2016-02-12,10:41:00,71.0693,72.063,70.7712,71.1985,393310.72399999783,1.0,0.0,0.0
2016-02-12,12:43:00,71.2183,71.7946,70.9302,71.6258,157562.95489999742,1.0,0.0,0.0
2016-02-12,14:45:00,71.6357,71.7152,71.0693,71.4071,220769.3504999976,1.0,0.0,0.0
2016-02-16,10:15:00,71.42699999999999,73.0865,71.2978,72.4505,416232.0359999981,1.0,0.0,0.0
2016-02-16,12:16:00,72.4704,72.7884,72.0729,72.694,264692.1459999983,1.0,0.0,0.0
2016-02-16,14:17:00,72.689,72.8381,72.3909,72.689,202837.20119999826,1.0,0.0,0.0
2016-02-17,09:48:00,72.6791,73.9212,72.6493,73.5436,434553.6159999984,1.0,0.0,0.0
2016-02-17,11:50:00,73.4641,74.1597,73.4641,73.484,204055.9796999982,1.0,0.0,0.0
2016-02-17,13:54:00,73.5337,73.9212,73.4343,73.7225,142594.64499999819,1.0,0.0,0.0
2016-02-17,15:55:00,73.7423,74.1398,73.6132,73.7821,307056.01289999817,1.0,0.0,0.0
2016-02-18,11:25:00,73.8019,75.6204,73.7423,74.1597,292062.5097999979,1.0,0.0,0.0
2016-02-18,13:26:00,74.1796,74.5274,74.0703,74.0703,123202.42399999786,1.0,0.0,0.0
2016-02-18,15:27:00,74.1099,74.3187,73.8516,74.0305,135160.76299999794,1.0,0.0,0.0
2016-02-19,10:58:00,74.0403,74.587,73.2753,74.3684,365461.10079999804,1.0,0.0,0.0
2016-02-19,13:04:00,74.3882,74.3882,73.9212,74.0901,176277.8443999978,1.0,0.0,0.0
2016-02-19,15:10:00,74.1397,74.428,74.0603,74.4031,212904.73089999787,1.0,0.0,0.0
2016-02-22,10:41:00,74.4081,75.9979,74.4081,75.6999,534746.0687999983,1.0,0.0,0.0
2016-02-22,12:42:00,75.7138,76.1968,75.4912,76.1868,259189.39409999814,1.0,0.0,0.0
2016-02-22,14:46:00,76.1868,76.3458,75.9086,76.0179,235384.35229999817,1.0,0.0,0.0
2016-02-23,10:16:00,76.018,76.1272,74.8851,75.0043,411040.355499998,1.0,0.0,0.0
2016-02-23,12:16:00,74.9695,75.5409,74.8453,75.1633,234755.4279999981,1.0,0.0,0.0
2016-02-23,14:19:00,75.1832,75.3024,74.9646,75.2836,121830.77859999801,1.0,0.0,0.0
2016-02-24,09:50:00,75.3024,75.4614,74.0315,74.4677,255856.35309999817,1.0,0.0,0.0
2016-02-24,11:50:00,74.3982,75.0441,74.0106,74.9248,195176.05259999822,1.0,0.0,0.0
2016-02-24,13:55:00,74.9248,75.193,74.2392,74.6555,130869.75849999812,1.0,0.0,0.0
2016-02-24,15:57:00,74.6466,75.1037,74.5969,74.9447,339510.5619999981,1.0,0.0,0.0
2016-02-25,11:27:00,74.9546,75.8788,74.736,75.521,214333.7541999982,1.0,0.0,0.0
2016-02-25,13:32:00,75.521,75.6304,75.0938,75.4813,146584.8120999982,1.0,0.0,0.0
2016-02-25,15:34:00,75.4416,75.6403,75.3223,75.5608,162024.04919999826,1.0,0.0,0.0
2016-02-26,11:05:00,75.5807,76.4899,75.5509,76.316,471305.1874999983,1.0,0.0,0.0
2016-02-26,13:07:00,76.3061,76.4253,75.69,76.0046,168459.7069999986,1.0,0.0,0.0
2016-02-26,15:08:00,76.008,76.1942,75.7893,76.1942,148277.44749999873,1.0,0.0,0.0
2016-02-29,10:38:00,76.1769,79.2424,76.0278,77.5383,606622.8909999983,1.0,0.0,0.0
2016-02-29,12:39:00,77.6277,78.1742,77.3991,77.6873,261466.63699999853,1.0,0.0,0.0
2016-02-29,14:43:00,77.6476,77.9208,77.5532,77.6476,383637.77089999826,1.0,0.0,0.0
2016-03-01,10:13:00,77.6476,78.5021,77.2402,77.6381,576253.4792999984,1.0,0.0,0.0
2016-03-01,12:15:00,77.6774,78.8599,77.5283,78.7903,388517.5100999977,1.0,0.0,0.0
2016-03-01,14:17:00,78.7903,79.3269,78.7605,79.2772,273877.0138999974,1.0,0.0,0.0
2016-03-02,09:47:00,79.2673,79.9629,78.6413,79.9629,668706.0559999975,1.0,0.0,0.0
2016-03-02,11:47:00,79.8635,80.7082,79.6548,80.2002,325458.0722999972,1.0,0.0,0.0
2016-03-02,13:50:00,80.1617,80.2511,79.794,79.8238,192097.55729999693,1.0,0.0,0.0
2016-03-02,15:52:00,79.8238,79.8337,79.2176,79.6051,223794.36799999682,1.0,0.0,0.0
2016-03-03,11:23:00,79.6051,80.1815,79.0387,79.4064,276485.38639999693,1.0,0.0,0.0
2016-03-03,13:26:00,79.3965,79.4805,79.0884,79.2275,159000.01769999688,1.0,0.0,0.0
2016-03-03,15:28:00,79.2375,79.6697,79.1977,79.635,211726.3134999969,1.0,0.0,0.0
2016-03-04,10:58:00,79.6449,81.3838,79.5753,81.1752,394342.0927999969,1.0,0.0,0.0
