Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,59.15,59.315,58.38,58.69,701102.0,1,0,0
2016-01-05,59.44,59.75,58.77,59.16,808948.0,1,0,0
2016-01-06,58.41,59.71,58.31,58.81,806093.0,1,0,0
2016-01-07,58.0,58.38,55.09,55.89,1705852.0,1,0,0
2016-01-08,56.3,56.73,55.53,55.81,795422.0,1,0,0
2016-01-11,56.12,56.98,55.79,56.66,1203313.0,1,0,0
2016-01-12,56.87,57.52,56.75,57.24,1612006.0,1,0,0
2016-01-13,57.54,57.64,54.42,54.68,583413.0,1,0,0
2016-01-14,55.01,55.5,53.52,55.38,855564.0,1,0,0
2016-01-15,54.6,54.6,52.94,54.43,916615.0,1,0,0
2016-01-19,54.94,55.24,51.33,52.14,1754969.0,1,0,0
2016-01-20,51.3,51.41,48.75,50.71,1757808.0,1,0,0
2016-01-21,50.49,52.14,48.05,50.9,584272.0,1,0,0
2016-01-22,51.87,53.49,51.6,53.42,1391094.0,1,0,0
2016-01-25,53.09,53.75,51.14,51.25,752111.0,1,0,0
2016-01-26,51.49,52.29,50.79,51.76,463042.0,1,0,0
2016-01-27,51.41,52.14,50.21,51.45,574547.0,1,0,0
2016-01-28,52.04,52.57,50.16,50.5,566596.0,1,0,0
2016-01-29,50.95,52.01,50.65,51.9,605775.0,1,0,0
2016-02-01,51.35,52.24,51.1,51.91,901748.0,1,0,0
2016-02-02,51.94,51.97,49.84,50.91,1274451.0,1,0,0
2016-02-03,47.52,47.7,42.76,45.78,6083571.0,1,0,0
2016-02-04,44.57,45.528,44.57,45.2,1627171.0,1,0,0
2016-02-05,44.81,44.95,42.61,42.71,1640210.0,1,0,0
2016-02-08,42.0,42.1,39.4501,40.7,1831699.0,1,0,0
2016-02-09,38.82,41.91,38.82,40.43,1422985.0,1,0,0
2016-02-10,40.06,41.85,40.02,40.36,768593.0,1,0,0
2016-02-11,39.64,40.6,39.37,39.95,1040605.0,1,0,0
2016-02-12,41.14,42.39,40.83,41.5,1491110.0,1,0,0
2016-02-16,42.49,43.96,42.49,43.14,1034121.0,1,0,0
2016-02-17,43.01,44.653999999999996,42.975,43.92,972550.0,1,0,0
2016-02-18,44.01,44.52,43.795,44.3,814759.0,1,0,0
2016-02-19,44.15,44.73,43.89,44.26,735145.0,1,0,0
2016-02-22,44.35,45.57,44.35,45.21,852024.0,1,0,0
2016-02-23,45.07,45.07,43.96,44.05,484100.0,1,0,0
2016-02-24,43.67,44.84,43.1,44.64,516007.0,1,0,0
2016-02-25,44.85,44.85,43.88,44.31,444088.0,1,0,0
2016-02-26,44.3,44.89,44.15,44.38,423947.0,1,0,0
2016-02-29,45.0,45.08,44.15,44.43,590883.0,1,0,0
2016-03-01,45.06,45.89,44.76,45.75,1049318.0,1,0,0
2016-03-02,45.54,47.4,45.22,47.17,1368093.0,1,0,0
2016-03-03,47.39,47.66,46.93,47.29,597930.0,1,0,0
2016-03-04,47.41,48.82,47.41,47.74,765307.0,1,0,0
2016-03-07,47.7,48.04,47.0001,47.32,721354.0,1,0,0
2016-03-08,47.09,47.45,46.68,46.97,514166.0,1,0,0
2016-03-09,46.99,47.16,45.96,46.05,512214.0,1,0,0
2016-03-10,46.21,46.7,45.0,45.57,485239.0,1,0,0
2016-03-11,45.33,47.21,45.26,46.71,614104.0,1,0,0
2016-03-14,46.87,47.32,46.65,46.76,384281.0,1,0,0
2016-03-15,46.53,46.66,45.58,45.85,737755.0,1,0,0
2016-03-16,45.56,47.16,45.49,47.0875,855215.0,1,0,0
2016-03-17,47.08,47.54,47.03,47.43,486938.0,1,0,0
2016-03-18,47.02,47.78,46.83,47.07,588868.0,1,0,0
2016-03-21,47.16,47.47,46.68,47.01,342388.0,1,0,0
2016-03-22,46.87,47.02,46.21,46.7,572858.0,1,0,0
2016-03-23,46.59,46.93,45.52,45.62,413752.0,1,0,0
2016-03-24,45.86,46.19,45.02,45.67,589968.0,1,0,0
