Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,14:30:00,187.56,188.25,181.67,181.79,1453507.0,1.0,0.0,0.0
2016-01-05,13:00:00,181.77,183.05,176.77,178.33,1839029.0,1.0,0.0,0.0
2016-01-06,11:31:00,178.37,179.95,175.0,179.2,1303112.0,1.0,0.0,0.0
2016-01-07,10:01:00,179.25,180.07,168.78,171.88,1235937.0,1.0,0.0,0.0
2016-01-07,15:01:00,171.85,172.94799999999998,167.01,167.7,1344002.0,1.0,0.0,0.0
2016-01-08,13:33:00,167.62,172.45,165.43,167.003,1382811.0,1.0,0.0,0.0
2016-01-11,12:03:00,166.965,173.649,161.2,165.0,1847109.0,1.0,0.0,0.0
2016-01-12,10:33:00,165.06799999999998,169.96,162.0,168.82,2067381.0,1.0,0.0,0.0
2016-01-12,15:36:00,169.12,169.44,162.889,168.05,1072128.0,1.0,0.0,0.0
2016-01-13,14:09:00,167.89,171.37,165.22,165.69,1022433.0,1.0,0.0,0.0
2016-01-14,12:40:00,165.56,172.71,161.0,172.585,1781037.0,1.0,0.0,0.0
2016-01-15,11:10:00,172.48,176.58,168.88,170.79,1734078.0,1.0,0.0,0.0
2016-01-19,09:42:00,170.72,174.115,168.33,169.07,1372752.0,1.0,0.0,0.0
2016-01-19,14:42:00,169.08,172.62,165.34,166.71,1062758.0,1.0,0.0,0.0
2016-01-20,13:12:00,166.66,171.12,162.205,164.585,1533732.0,1.0,0.0,0.0
2016-01-21,11:42:00,164.57,173.88,163.32,169.82,1162058.0,1.0,0.0,0.0
2016-01-22,10:15:00,169.71,175.45,167.99,174.56,746865.0,1.0,0.0,0.0
2016-01-22,15:16:00,174.69,177.555,173.0,176.11,1025416.0,1.0,0.0,0.0
2016-01-25,13:52:00,176.081,179.06,173.68,177.26,809049.0,1.0,0.0,0.0
2016-01-26,12:25:00,177.245,177.99,168.58,171.82299999999998,873325.0,1.0,0.0,0.0
2016-01-27,10:58:00,172.07,174.7,167.51,169.79,1016212.0,1.0,0.0,0.0
2016-01-28,09:32:00,169.81,170.78,161.13,163.3,1762044.0,1.0,0.0,0.0
2016-01-28,14:32:00,163.19,163.5,152.46,155.89,2781346.0,1.0,0.0,0.0
2016-01-29,13:04:00,155.89,159.28,153.49,157.59,2263699.0,1.0,0.0,0.0
2016-02-01,11:34:00,157.62,158.84,155.32,156.62,1783605.0,1.0,0.0,0.0
2016-02-02,10:07:00,156.62,160.26,154.75,157.45,1126405.0,1.0,0.0,0.0
2016-02-02,15:09:00,157.89,159.9,152.78,153.791,929796.0,1.0,0.0,0.0
2016-02-03,13:39:00,153.71,156.0,140.1,144.88,2922683.0,1.0,0.0,0.0
2016-02-04,12:09:00,145.06,149.86,140.92,144.87,1739949.0,1.0,0.0,0.0
2016-02-05,10:40:00,144.81,145.21,138.0,138.18,1333993.0,1.0,0.0,0.0
2016-02-05,15:40:00,138.32,139.14,134.74,134.875,1292366.0,1.0,0.0,0.0
2016-02-08,14:12:00,134.82,136.16,130.37,133.85,1420251.0,1.0,0.0,0.0
2016-02-09,12:42:00,133.8,141.629,131.63,140.01,1721412.0,1.0,0.0,0.0
2016-02-10,11:14:00,140.05,145.75,138.26,143.55,1089204.0,1.0,0.0,0.0
2016-02-11,09:44:00,143.65,144.07,135.0,137.98,958628.0,1.0,0.0,0.0
2016-02-11,14:46:00,137.98,140.09,135.37,138.22,646272.0,1.0,0.0,0.0
2016-02-12,13:19:00,138.32,142.42,137.05,141.38,777464.0,1.0,0.0,0.0
2016-02-16,11:49:00,141.24,148.32,140.92,147.66,924598.0,1.0,0.0,0.0
2016-02-17,10:19:00,147.57,152.46,147.45,152.41,1141877.0,1.0,0.0,0.0
2016-02-17,15:20:00,152.21,156.38,151.77,155.01,774779.0,1.0,0.0,0.0
