Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:34:00,547.16,548.55,542.0,542.81,41761.0,1.0,0.0,0.0
2016-01-04,09:39:00,542.15,543.85,538.8,540.45,32824.0,1.0,0.0,0.0
2016-01-04,09:44:00,541.15,543.96,540.25,543.36,10512.0,1.0,0.0,0.0
2016-01-04,09:49:00,542.05,542.45,541.07,541.13,7068.0,1.0,0.0,0.0
2016-01-04,09:54:00,541.13,543.18,540.82,542.85,10139.0,1.0,0.0,0.0
2016-01-04,09:59:00,542.83,544.639,542.05,542.16,5472.0,1.0,0.0,0.0
2016-01-04,10:04:00,542.25,543.9,542.15,543.53,6961.0,1.0,0.0,0.0
2016-01-04,10:09:00,543.53,544.79,542.87,544.455,8424.0,1.0,0.0,0.0
2016-01-04,10:14:00,543.88,545.44,543.67,545.44,13899.0,1.0,0.0,0.0
2016-01-04,10:19:00,544.9259999999999,547.8,544.9259999999999,546.48,14766.0,1.0,0.0,0.0
2016-01-04,10:24:00,546.61,548.56,546.61,547.986,9088.0,1.0,0.0,0.0
2016-01-04,10:29:00,548.05,549.83,547.8,548.3,3148.0,1.0,0.0,0.0
2016-01-04,10:34:00,548.41,548.52,546.12,546.33,7450.0,1.0,0.0,0.0
2016-01-04,10:39:00,546.63,547.36,546.39,547.35,8150.0,1.0,0.0,0.0
2016-01-04,10:44:00,547.2,548.0,546.572,547.78,7759.0,1.0,0.0,0.0
2016-01-04,10:49:00,547.38,547.95,546.86,546.86,7440.0,1.0,0.0,0.0
2016-01-04,10:54:00,546.86,546.98,545.32,546.013,7958.0,1.0,0.0,0.0
2016-01-04,10:59:00,546.5,546.5,544.26,544.88,4778.0,1.0,0.0,0.0
2016-01-04,11:04:00,544.88,545.1,543.86,543.86,10317.0,1.0,0.0,0.0
2016-01-04,11:09:00,543.52,543.95,542.883,543.846,3200.0,1.0,0.0,0.0
2016-01-04,11:14:00,543.38,544.04,542.38,543.2,5708.0,1.0,0.0,0.0
2016-01-04,11:19:00,543.85,544.85,543.55,544.3,9897.0,1.0,0.0,0.0
2016-01-04,11:24:00,544.86,545.81,542.91,545.67,5993.0,1.0,0.0,0.0
2016-01-04,11:29:00,546.175,547.2,545.61,547.2,4203.0,1.0,0.0,0.0
2016-01-04,11:34:00,546.87,547.35,546.33,546.68,12571.0,1.0,0.0,0.0
2016-01-04,11:39:00,546.65,546.96,546.05,546.12,4591.0,1.0,0.0,0.0
2016-01-04,11:44:00,546.11,546.56,545.06,546.25,5782.0,1.0,0.0,0.0
2016-01-04,11:49:00,545.81,546.79,545.81,546.28,2514.0,1.0,0.0,0.0
2016-01-04,11:54:00,546.335,546.67,545.54,546.191,6065.0,1.0,0.0,0.0
2016-01-04,12:01:00,546.19,546.315,545.11,545.11,2874.0,1.0,0.0,0.0
2016-01-04,12:06:00,545.14,545.86,545.14,545.14,3704.0,1.0,0.0,0.0
2016-01-04,12:11:00,544.95,546.17,544.95,545.91,9077.0,1.0,0.0,0.0
2016-01-04,12:16:00,546.0,546.85,545.02,545.02,12097.0,1.0,0.0,0.0
2016-01-04,12:22:00,545.59,545.96,544.79,545.35,1531.0,1.0,0.0,0.0
2016-01-04,12:27:00,545.58,546.55,545.57,546.51,1930.0,1.0,0.0,0.0
2016-01-04,12:32:00,546.51,546.9,545.585,545.585,6056.0,1.0,0.0,0.0
