Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,6.53,7.23,6.51,7.0,51545316.0,1,0,0
2016-01-11,7.12,7.37,7.05,7.295,52540960.0,1,0,0
2016-01-14,7.35,7.47,7.09,7.31,51332701.0,1,0,0
2016-01-20,7.11,7.21,6.0,6.3,57560907.0,1,0,0
2016-01-25,6.29,6.93,6.28,6.645,29032732.0,1,0,0
2016-01-28,6.7,7.15,6.6,6.83,28348863.0,1,0,0
2016-02-02,6.95,7.71,6.95,7.455,32511829.0,1,0,0
2016-02-05,7.45,7.79,7.2,7.4,36165923.0,1,0,0
2016-02-10,7.29,7.58,7.19,7.5,24265172.0,1,0,0
2016-02-16,7.39,7.49,6.88,7.43,30415890.0,1,0,0
2016-02-19,7.45,7.84,7.26,7.33,38782303.0,1,0,0
2016-02-24,7.35,7.74,7.15,7.695,32131265.0,1,0,0
2016-02-29,7.83,10.23,7.74,10.2,129424933.0,1,0,0
2016-03-03,10.2,10.92,9.9,10.835,57269089.0,1,0,0
2016-03-08,11.11,11.99,10.88,11.865,77487569.0,1,0,0
2016-03-11,11.9,11.92,11.16,11.2299,40996056.0,1,0,0
2016-03-16,11.12,11.72,10.94,11.225,36693912.0,1,0,0
2016-03-21,11.2,11.85,11.0501,11.53,23737317.0,1,0,0
2016-03-24,11.45,11.5101,10.54,10.91,29036622.0,1,0,0
